season,week,player_id,xfp_24,fpoe_24,xfp_roll3_24,xfp_roll5_24,fpoe_roll3_24,fpoe_roll5_24
2020,1,00-0019596,NA,NA,NA,NA,NA,NA
2020,2,00-0019596,NA,NA,NA,NA,NA,NA
2020,3,00-0019596,NA,NA,NA,NA,NA,NA
2020,4,00-0019596,NA,NA,NA,NA,NA,NA
2020,5,00-0019596,NA,NA,NA,NA,NA,NA
2020,6,00-0019596,NA,NA,NA,NA,NA,NA
2020,7,00-0019596,NA,NA,NA,NA,NA,NA
2020,8,00-0019596,NA,NA,NA,NA,NA,NA
2020,9,00-0019596,NA,NA,NA,NA,NA,NA
2020,10,00-0019596,NA,NA,NA,NA,NA,NA
2020,11,00-0019596,NA,NA,NA,NA,NA,NA
2020,12,00-0019596,NA,NA,NA,NA,NA,NA
2020,14,00-0019596,NA,NA,NA,NA,NA,NA
2020,15,00-0019596,NA,NA,NA,NA,NA,NA
2020,16,00-0019596,NA,NA,NA,NA,NA,NA
2020,17,00-0019596,NA,NA,NA,NA,NA,NA
2020,18,00-0019596,NA,NA,NA,NA,NA,NA
2020,19,00-0019596,NA,NA,NA,NA,NA,NA
2020,20,00-0019596,NA,NA,NA,NA,NA,NA
2020,21,00-0019596,NA,NA,NA,NA,NA,NA
2021,1,00-0019596,NA,NA,NA,NA,NA,NA
2021,2,00-0019596,NA,NA,NA,NA,NA,NA
2021,3,00-0019596,NA,NA,NA,NA,NA,NA
2021,4,00-0019596,NA,NA,NA,NA,NA,NA
2021,5,00-0019596,NA,NA,NA,NA,NA,NA
2021,6,00-0019596,NA,NA,NA,NA,NA,NA
2021,7,00-0019596,NA,NA,NA,NA,NA,NA
2021,8,00-0019596,NA,NA,NA,NA,NA,NA
2021,10,00-0019596,NA,NA,NA,NA,NA,NA
2021,11,00-0019596,NA,NA,NA,NA,NA,NA
2021,12,00-0019596,NA,NA,NA,NA,NA,NA
2021,13,00-0019596,NA,NA,NA,NA,NA,NA
2021,14,00-0019596,NA,NA,NA,NA,NA,NA
2021,15,00-0019596,NA,NA,NA,NA,NA,NA
2021,16,00-0019596,NA,NA,NA,NA,NA,NA
2021,17,00-0019596,NA,NA,NA,NA,NA,NA
2021,18,00-0019596,NA,NA,NA,NA,NA,NA
2021,19,00-0019596,NA,NA,NA,NA,NA,NA
2021,20,00-0019596,NA,NA,NA,NA,NA,NA
2022,1,00-0019596,NA,NA,NA,NA,NA,NA
2022,2,00-0019596,NA,NA,NA,NA,NA,NA
2022,3,00-0019596,NA,NA,NA,NA,NA,NA
2022,4,00-0019596,NA,NA,NA,NA,NA,NA
2022,5,00-0019596,NA,NA,NA,NA,NA,NA
2022,6,00-0019596,NA,NA,NA,NA,NA,NA
2022,7,00-0019596,NA,NA,NA,NA,NA,NA
2022,8,00-0019596,NA,NA,NA,NA,NA,NA
2022,9,00-0019596,NA,NA,NA,NA,NA,NA
2022,10,00-0019596,NA,NA,NA,NA,NA,NA
2022,12,00-0019596,NA,NA,NA,NA,NA,NA
2022,13,00-0019596,NA,NA,NA,NA,NA,NA
2022,14,00-0019596,NA,NA,NA,NA,NA,NA
2022,15,00-0019596,NA,NA,NA,NA,NA,NA
2022,16,00-0019596,NA,NA,NA,NA,NA,NA
2022,17,00-0019596,NA,NA,NA,NA,NA,NA
2022,18,00-0019596,NA,NA,NA,NA,NA,NA
2022,19,00-0019596,NA,NA,NA,NA,NA,NA
2020,1,00-0020531,NA,NA,NA,NA,NA,NA
2020,2,00-0020531,NA,NA,NA,NA,NA,NA
2020,3,00-0020531,NA,NA,NA,NA,NA,NA
2020,4,00-0020531,NA,NA,NA,NA,NA,NA
2020,5,00-0020531,NA,NA,NA,NA,NA,NA
2020,7,00-0020531,NA,NA,NA,NA,NA,NA
2020,8,00-0020531,NA,NA,NA,NA,NA,NA
2020,9,00-0020531,NA,NA,NA,NA,NA,NA
2020,10,00-0020531,NA,NA,NA,NA,NA,NA
2020,15,00-0020531,NA,NA,NA,NA,NA,NA
2020,16,00-0020531,NA,NA,NA,NA,NA,NA
2020,17,00-0020531,NA,NA,NA,NA,NA,NA
2020,18,00-0020531,NA,NA,NA,NA,NA,NA
2020,19,00-0020531,NA,NA,NA,NA,NA,NA
2020,1,00-0022127,NA,NA,NA,NA,NA,NA
