player_id,player_display_name,position,season,games,fantasy_points,attempts,carries,targets,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,team,fppg,targets_pg,carries_pg,pass_attempts_pg,rec_yd_pg,rush_yd_pg,pass_yd_pg,catch_rate,yards_per_target,yards_per_carry,yards_per_attempt,pass_td_rate,rush_td_rate,rec_td_rate,birth_date,height,weight,rookie_season,latest_team_meta,draft_round,draft_pick,prior_season_raw,two_year_season_raw,prior_fppg_raw,two_year_fppg_raw,prior_fantasy_points_raw,prior_games_raw,two_year_games_raw,prior_targets_pg_raw,two_year_targets_pg_raw,prior_carries_pg_raw,two_year_carries_pg_raw,prior_pass_attempts_pg_raw,two_year_pass_attempts_pg_raw,prior_rec_yd_pg_raw,prior_rush_yd_pg_raw,prior_pass_yd_pg_raw,prior_catch_rate_raw,prior_yards_per_target_raw,prior_yards_per_carry_raw,prior_yards_per_attempt_raw,prior_target_share_raw,prior_air_yards_share_raw,prior_wopr_raw,prior_pass_td_rate_raw,prior_rush_td_rate_raw,prior_rec_td_rate_raw,career_fppg_before,peak_fppg_before,career_games_before,seasons_before,consecutive_prior,consecutive_two_year,prior_fppg,two_year_fppg,prior_fantasy_points,prior_games,two_year_games,prior_targets_pg,two_year_targets_pg,prior_carries_pg,two_year_carries_pg,prior_pass_attempts_pg,two_year_pass_attempts_pg,prior_rec_yd_pg,prior_rush_yd_pg,prior_pass_yd_pg,prior_catch_rate,prior_yards_per_target,prior_yards_per_carry,prior_yards_per_attempt,prior_target_share,prior_air_yards_share,prior_wopr,prior_pass_td_rate,prior_rush_td_rate,prior_rec_td_rate,recent_weighted_fppg,fppg_trend,experience,is_rookie,years_since_last_season,age,age_squared,draft_capital_score,target_fppg,target_fantasy_points,team_prior_pass_yd_pg,team_prior_rush_yd_pg,team_prior_pass_attempts_pg,team_prior_carries_pg,team_prior_points_pg,team_prior_pass_rate,team_prior_rush_rate,team_prior_neutral_pass_rate,team_prior_neutral_rush_rate,team_prior_plays_pg,team_prior_redzone_pass_rate,team_prior_redzone_rush_rate,team_prior_deep_throw_rate,team_prior_left_throw_rate,team_prior_middle_throw_rate,team_prior_right_throw_rate,team_prior_shotgun_rate,team_prior_no_huddle_rate,team_prior_avg_air_yards,receiver_context_available,rec_prior_avg_depth_target,rec_prior_deep_target_rate,rec_prior_short_target_rate,rec_prior_left_target_rate,rec_prior_middle_target_rate,rec_prior_right_target_rate,rec_prior_redzone_target_rate,rec_prior_route_vertical,rec_prior_route_in_break,rec_prior_route_out_break,rec_prior_route_screen,rec_prior_route_hitch,rec_prior_ngs_avg_cushion,rec_prior_ngs_avg_separation,prior_primary_qb_id,qb_context_available,qb_prior_avg_air_yards,qb_prior_deep_throw_rate,qb_prior_left_throw_rate,qb_prior_middle_throw_rate,qb_prior_right_throw_rate,qb_prior_redzone_throw_rate,qb_prior_wr_target_rate,qb_prior_te_target_rate,qb_prior_rb_target_rate,qb_prior_route_vertical,qb_prior_route_in_break,qb_prior_route_out_break,qb_prior_route_screen,qb_prior_route_hitch,qb_prior_ngs_time_to_throw,qb_prior_ngs_aggressiveness,qb_prior_ngs_cpoe,player_qb_context_available,player_qb_prior_avg_air_yards,player_qb_prior_deep_throw_rate,player_qb_prior_left_throw_rate,player_qb_prior_middle_throw_rate,player_qb_prior_right_throw_rate,player_qb_prior_redzone_throw_rate,player_qb_prior_wr_target_rate,player_qb_prior_te_target_rate,player_qb_prior_rb_target_rate,player_qb_prior_route_vertical,player_qb_prior_route_in_break,player_qb_prior_route_out_break,player_qb_prior_route_screen,player_qb_prior_route_hitch,player_qb_prior_ngs_time_to_throw,player_qb_prior_ngs_aggressiveness,player_qb_prior_ngs_cpoe,rec_prior_slot_rate,rec_prior_wide_rate,rec_prior_inline_rate,alignment_available,context_available,qb_receiver_depth_fit,qb_receiver_location_fit,qb_receiver_route_fit,qb_position_target_fit,team_target_opportunity,rb_prior_team_carry_share,rb_prior_touch_opportunity,rb_receiving_fit,wr_context_fit_score,te_middle_fit,te_redzone_fit,te_route_fit,te_context_fit_score,qb_team_continuity,career_attempts_before,career_carries_before,career_targets_before,career_completions_before,career_pass_yards_before,career_interceptions_before,career_rush_yards_before,career_rec_yards_before,career_pass_tds_before,career_rush_tds_before,career_rec_tds_before,prior_int_rate_raw20,prior_actual_season20,career_yards_per_attempt,career_interception_rate,career_yards_per_carry,career_catch_rate,career_yards_per_target,career_pass_td_rate,career_rush_td_rate,career_rec_td_rate,prior_interception_rate,prior_attempts_n,prior_carries_n,prior_targets_n,raw_target_share_20,raw_carry_share_20,team_attempts_total,team_carries_total,team_projected_pass_attempts_pg,team_projected_carries_pg,prior_teammate_max_target_share,prior_teammate_top2_target_share,prior_teammate_target_hhi,prior_teammate_max_carry_share,prior_teammate_top2_carry_share,prior_teammate_carry_hhi,target_attempts_n,target_carries_n,target_targets_n,target_pass_attempts_pg,target_carries_pg,target_target_share,target_carry_share,target_catch_rate,target_yards_per_target,target_yards_per_carry,target_yards_per_attempt,target_interception_rate,target_pass_td_rate,target_rush_td_rate,target_rec_td_rate,target_competition_index,carry_competition_index,team_pass_opportunity_index,team_rush_opportunity_index
00-0019596,Tom Brady,QB,2016,12,258.56,432,28,0,3554,28,2,64,0,0,0,0,0,0,0,NA,21.546666666666667,0,2.3333333333333335,36,0,5.333333333333333,296.1666666666667,0,0,2.2857142857142856,8.226851851851851,0.06481481481481481,0,0,1977-08-03,76,225,2000,TB,6,199,2015,2014,21.512500000000003,17.37875,344.20000000000005,16,16,0.0625,0,2.125,2.25,39,36.375,2.25,3.3125,298.125,1,36,1.5588235294117647,7.644230769230769,0.0016025641025641,0.00141843971631205,0.00339675395526459,0.05769230769230769,0.08823529411764706,0,19.445625,21.512500000000003,32,2,TRUE,TRUE,21.512500000000003,17.37875,344.20000000000005,16,16,0.0625,0,2.125,2.25,39,36.375,2.25,3.3125,298.125,1,36,1.5588235294117647,7.644230769230769,0.0016025641025641,0.00141843971631205,0.00339675395526459,0.05769230769230769,0.08823529411764706,0,20.272375,4.133750000000003,16,0,0,39.08008213552361,1527.2528197192717,0.07088812050083358,21.546666666666667,258.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,624,34,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,432,28,0,36,2.3333333333333335,0,0,NA,NA,2.2857142857142856,8.226851851851851,0.004629629629629629,0.06481481481481481,0,NA,0,0,0,0
00-0019596,Tom Brady,QB,2017,16,295.88000000000005,581,25,0,4577,32,8,28,0,0,0,0,0,0,0,NA,18.492500000000003,0,1.5625,36.3125,0,1.75,286.0625,0,0,1.12,7.877796901893287,0.05507745266781411,0,0,1977-08-03,76,225,2000,TB,6,199,2016,2015,21.546666666666667,21.512500000000003,258.56,12,16,0,0.0625,2.3333333333333335,2.125,36,39,0,5.333333333333333,296.1666666666667,0,0,2.2857142857142856,8.226851851851851,0,0,0,0.06481481481481481,0,0,20.145972222222223,21.546666666666667,44,3,TRUE,TRUE,21.546666666666667,21.512500000000003,258.56,12,16,0,0.0625,2.3333333333333335,2.125,36,39,0,5.333333333333333,296.1666666666667,0,0,2.2857142857142856,8.226851851851851,0,0,0,0.06481481481481481,0,0,21.536416666666668,0.03416666666666401,17,0,0,40.07939767282683,1606.3581178165966,0.07088812050083358,18.492500000000003,295.88000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3333333333333335,0,0,0,0,0,0,0,432,28,0,0,3554,2,64,0,28,0,0,0.004629629629629629,2016,8.226851851851851,0.004629629629629629,2.2857142857142856,0,0,0.06481481481481481,0,0,0.004629629629629629,432,28,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,581,25,0,36.3125,1.5625,0,0,NA,NA,1.12,7.877796901893287,0.013769363166953529,0.055077452667814115,0,NA,0,0,0,0
00-0019596,Tom Brady,QB,2018,16,280.80000000000007,570,23,1,4355,29,11,35,2,1,6,0,0.00179856115107913,0,0.0026978417266187,NA,17.550000000000004,0.0625,1.4375,35.625,0.375,2.1875,272.1875,1,6,1.5217391304347827,7.640350877192983,0.05087719298245614,0.08695652173913043,0,1977-08-03,76,225,2000,TB,6,199,2017,2016,18.492500000000003,21.546666666666667,295.88000000000005,16,12,0,0,1.5625,2.3333333333333335,36.3125,36,0,1.75,286.0625,0,0,1.12,7.877796901893287,0,0,0,0.05507745266781411,0,0,19.73260416666667,21.546666666666667,60,4,TRUE,TRUE,18.492500000000003,21.546666666666667,295.88000000000005,16,12,0,0,1.5625,2.3333333333333335,36.3125,36,0,1.75,286.0625,0,0,1.12,7.877796901893287,0,0,0,0.05507745266781411,0,0,19.40875,-3.0541666666666636,18,0,0,41.07871321013005,1687.4606790001128,0.07088812050083358,17.550000000000004,280.80000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,1013,53,0,0,8131,10,92,0,60,0,0,0.013769363166953529,2017,8.026653504442251,0.009871668311944718,1.7358490566037736,0,0,0.059230009871668314,0,0,0.013769363166953529,581,25,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,570,23,1,35.625,1.4375,0.00179856115107913,0,NA,NA,1.5217391304347827,7.640350877192983,0.01929824561403509,0.05087719298245614,0.08695652173913043,NA,0,0,0,0
00-0019596,Tom Brady,QB,2019,16,263.67999999999995,613,26,0,4057,24,8,34,3,0,0,0,0,0,0,NA,16.479999999999997,0,1.625,38.3125,0,2.125,253.5625,0,0,1.3076923076923077,6.618270799347472,0.03915171288743882,0.1153846153846154,0,1977-08-03,76,225,2000,TB,6,199,2018,2017,17.550000000000004,18.492500000000003,280.80000000000007,16,16,0.0625,0,1.4375,1.5625,35.625,36.3125,0.375,2.1875,272.1875,1,6,1.5217391304347827,7.640350877192983,0.00179856115107913,0,0.0026978417266187,0.05087719298245614,0.08695652173913043,0,19.296083333333335,21.546666666666667,76,5,TRUE,TRUE,17.550000000000004,18.492500000000003,280.80000000000007,16,16,0.0625,0,1.4375,1.5625,35.625,36.3125,0.375,2.1875,272.1875,1,6,1.5217391304347827,7.640350877192983,0.00179856115107913,0,0.0026978417266187,0.05087719298245614,0.08695652173913043,0,17.832750000000004,-0.942499999999999,19,0,0,42.078028747433265,1770.5605032698202,0.07088812050083358,16.479999999999997,263.67999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.871929824561404,0.1858108108108108,0.375,0.25,0.3344594594594595,0.15878378378378377,0.4918625678119349,0.14647377938517178,0.3616636528028933,0.18840579710144928,0.06521739130434782,0,0.09963768115942027,0,2.615713028169014,13.859649122807015,-1.5629724798756683,0,0,0,0,0,0,0,0,0,0,0,1.5,0.35,0,0,0,0,0,0,1583,76,1,1,12486,21,127,6,89,2,0,0.01929824561403509,2018,7.8875552747946935,0.013265950726468731,1.6710526315789473,1,6,0.05622236260265319,0.02631578947368421,0,0.01929824561403509,570,23,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,613,26,0,38.3125,1.625,0,0,NA,NA,1.3076923076923077,6.618270799347472,0.013050570962479609,0.03915171288743882,0.11538461538461539,NA,0,0,0,0
00-0019596,Tom Brady,QB,2020,16,337.92,610,30,0,4633,40,12,6,3,0,0,0,0,0,0,NA,21.12,0,1.875,38.125,0,0.375,289.5625,0,0,0.2,7.595081967213115,0.06557377049180328,0.1,0,1977-08-03,76,225,2000,TB,6,199,2019,2018,16.479999999999997,17.550000000000004,263.67999999999995,16,16,0,0.0625,1.625,1.4375,38.3125,35.625,0,2.125,253.5625,0,0,1.3076923076923077,6.618270799347472,0,0,0,0.03915171288743882,0.1153846153846154,0,18.826736111111114,21.546666666666667,92,6,TRUE,TRUE,16.479999999999997,17.550000000000004,263.67999999999995,16,16,0,0.0625,1.625,1.4375,38.3125,35.625,0,2.125,253.5625,0,0,1.3076923076923077,6.618270799347472,0,0,0,0.03915171288743882,0.1153846153846154,0,16.801,-1.0700000000000074,20,0,0,43.08008213552361,1855.8934768034603,0.07088812050083358,21.12,337.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.525285481239805,0.16666666666666666,0.3722741433021806,0.21806853582554517,0.3644859813084112,0.16510903426791276,0.5859106529209622,0.1323024054982818,0.2800687285223368,0.17677642980935876,0.05199306759098787,0,0.09705372616984402,0,2.745391517128874,15.171288743882544,-2.997041299079818,0,0,0,0,0,0,0,0,0,0,0,1.625,0,0,0,0,0,0,0,2196,102,1,1,16543,29,161,6,113,5,0,0.013050570962479609,2019,7.533242258652095,0.013205828779599272,1.5784313725490196,1,6,0.05145719489981785,0.049019607843137254,0,0.013050570962479609,613,26,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,610,30,0,38.125,1.875,0,0,NA,NA,0.2,7.5950819672131145,0.019672131147540985,0.06557377049180328,0.1,NA,0,0,0,0
00-0019596,Tom Brady,QB,2021,17,374.74,719,28,0,5316,43,12,81,2,0,0,0,0,0,0,NA,22.043529411764705,0,1.6470588235294117,42.294117647058826,0,4.764705882352941,312.70588235294116,0,0,2.892857142857143,7.393602225312935,0.05980528511821974,0.07142857142857142,0,1977-08-03,76,225,2000,TB,6,199,2020,2019,21.12,16.479999999999997,337.92,16,16,0,0,1.875,1.625,38.125,38.3125,0,0.375,289.5625,0,0,0.2,7.595081967213115,0,0,0,0.06557377049180328,0.1,0,19.15434523809524,21.546666666666667,108,7,TRUE,TRUE,21.12,16.479999999999997,337.92,16,16,0,0,1.875,1.625,38.125,38.3125,0,0.375,289.5625,0,0,0.2,7.595081967213115,0,0,0,0.06557377049180328,0.1,0,19.728,4.640000000000004,21,0,0,44.07939767282683,1942.9932991992112,0.07088812050083358,22.043529411764705,374.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.068852459016393,0.22274881516587677,0.3759873617693522,0.23854660347551343,0.3412322274881517,0.15955766192733015,0.5709459459459459,0.23141891891891891,0.19763513513513511,0.21694915254237288,0.05593220338983051,0,0.10508474576271186,0,2.5707062706270625,14.754098360655735,1.626994895947277,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,2806,132,1,1,21176,41,167,6,153,8,0,0.019672131147540985,2020,7.546685673556664,0.014611546685673557,1.2651515151515151,1,6,0.05452601568068425,0.06060606060606061,0,0.019672131147540985,610,30,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,719,28,0,42.294117647058826,1.6470588235294117,0,0,NA,NA,2.892857142857143,7.393602225312935,0.016689847009735744,0.059805285118219746,0.07142857142857142,NA,0,0,0,0
00-0019596,Tom Brady,QB,2022,17,271.65999999999997,733,29,1,4694,25,9,-1,1,0,0,0,0.00138121546961325,0.00309957380860131,0.00424152487044081,NA,15.98,0.0588235294117647,1.7058823529411764,43.11764705882353,0,-0.0588235294117647,276.11764705882354,0,0,-0.03448275862068965,6.403819918144611,0.03410641200545702,0.03448275862068965,0,1977-08-03,76,225,2000,TB,6,199,2021,2020,22.043529411764705,21.12,374.74,17,16,0,0,1.6470588235294117,1.875,42.294117647058826,38.125,0,4.764705882352941,312.70588235294116,0,0,2.892857142857143,7.393602225312935,0,0,0,0.05980528511821974,0.07142857142857142,0,19.51549325980392,22.043529411764705,125,8,TRUE,TRUE,22.043529411764705,21.12,374.74,17,16,0,0,1.6470588235294117,1.875,42.294117647058826,38.125,0,4.764705882352941,312.70588235294116,0,0,2.892857142857143,7.393602225312935,0,0,0,0.05980528511821974,0.07142857142857142,0,21.766470588235293,0.9235294117647044,22,0,0,45.07871321013005,2032.0903846811532,0.07088812050083358,15.98,271.65999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.072322670375522,0.2088948787061995,0.3665768194070081,0.2574123989218329,0.3423180592991914,0.1792452830188679,0.5673758865248227,0.23829787234042552,0.19432624113475175,0.2159090909090909,0.07386363636363637,0,0.12926136363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6470588235294117,0,0,0,0,0,0,0,3525,160,1,1,26492,53,248,6,196,10,0,0.016689847009735744,2021,7.515460992907801,0.015035460992907802,1.55,1,6,0.05560283687943263,0.0625,0,0.016689847009735744,719,28,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,733,29,1,43.11764705882353,1.7058823529411764,0.00138121546961325,0,NA,NA,-0.034482758620689655,6.403819918144611,0.01227830832196453,0.034106412005457026,0.034482758620689655,NA,0,0,0,0
00-0020337,Steve Smith,WR,2016,14,148.9,0,0,101,0,0,0,0,0,70,799,5,0.1518796992481203,0.17314557715192383,0.34902145287852715,NA,10.635714285714286,7.214285714285714,0,0,57.07142857142857,0,0,0.693069306930693,7.910891089108911,0,0,0,0,0.04950495049504951,1979-05-12,69,195,2001,BAL,3,74,2015,2014,15.428571428571429,11.25,108,7,16,10.428571428571429,8.375,0,0,0,0,95.71428571428572,0,0,0.6301369863013698,9.178082191780822,0,0,0.1092814371257485,0.14145189848514655,0.26293848462822533,0,0,0.0410958904109589,13.339285714285715,15.428571428571429,23,2,TRUE,TRUE,15.428571428571429,11.25,108,7,16,10.428571428571429,8.375,0,0,0,0,95.71428571428572,0,0,0.6301369863013698,9.178082191780822,0,0,0.1092814371257485,0.14145189848514655,0.26293848462822533,0,0,0.0410958904109589,14.175,4.178571428571429,15,0,0,37.308692676249144,1391.9385492108065,0.11624763874381928,10.635714285714286,148.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,73,0.1487481590574374,0,NA,NA,0,0,0,0,0,0,0,0,0,0,101,0,0,0.1518796992481203,0,0.693069306930693,7.910891089108911,NA,NA,NA,NA,NA,0.04950495049504951,0,0,0,0
00-0020531,Drew Brees,QB,2016,16,332.32,673,23,0,5208,37,15,20,2,0,0,0,0,0,0,NA,20.77,0,1.4375,42.0625,0,1.25,325.5,0,0,0.8695652173913043,7.738484398216939,0.0549777117384844,0.08695652173913043,0,1979-01-15,72,209,2001,NO,2,32,2015,2014,20.28,18.967500000000005,304.2,15,16,0,0.0625,1.6,1.6875,41.8,41.1875,0,0.9333333333333332,324.6666666666667,0,0,0.5833333333333334,7.767145135566188,0,0,0,0.05103668261562998,0.04166666666666666,0,19.62375,20.28,31,2,TRUE,TRUE,20.28,18.967500000000005,304.2,15,16,0,0.0625,1.6,1.6875,41.8,41.1875,0,0.9333333333333332,324.6666666666667,0,0,0.5833333333333334,7.767145135566188,0,0,0,0.05103668261562998,0.04166666666666666,0,19.88625,1.312499999999993,15,0,0,37.6290212183436,1415.943237850553,0.1767766952966369,20.77,332.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,627,24,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,673,23,0,42.0625,1.4375,0,0,NA,NA,0.8695652173913043,7.738484398216939,0.022288261515601784,0.0549777117384844,0.08695652173913043,NA,0,0,0,0
00-0020531,Drew Brees,QB,2017,16,262.56,536,33,0,4334,23,8,12,2,0,0,0,0,0,0,NA,16.41,0,2.0625,33.5,0,0.75,270.875,0,0,0.3636363636363637,8.085820895522389,0.04291044776119403,0.06060606060606061,0,1979-01-15,72,209,2001,NO,2,32,2016,2015,20.77,20.28,332.32,16,15,0,0,1.4375,1.6,42.0625,41.8,0,1.25,325.5,0,0,0.8695652173913043,7.738484398216939,0,0,0,0.0549777117384844,0.08695652173913043,0,20.00583333333333,20.77,47,3,TRUE,TRUE,20.77,20.28,332.32,16,15,0,0,1.4375,1.6,42.0625,41.8,0,1.25,325.5,0,0,0.8695652173913043,7.738484398216939,0,0,0,0.0549777117384844,0.08695652173913043,0,20.623,0.490000000000002,16,0,0,38.62833675564682,1492.1484005076552,0.1767766952966369,16.41,262.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4375,0,0,0,0,0,0,0,673,23,0,0,5208,15,20,0,37,2,0,0.022288261515601784,2016,7.738484398216939,0.022288261515601784,0.8695652173913043,0,0,0.0549777117384844,0.08695652173913043,0,0.022288261515601784,673,23,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,536,33,0,33.5,2.0625,0,0,NA,NA,0.36363636363636365,8.085820895522389,0.014925373134328358,0.04291044776119403,0.06060606060606061,NA,0,0,0,0
