player_id,roster_name,position,current_team,current_status,roster_birth_date,roster_height,roster_weight,roster_years_exp,hist_name,source_season,hist_fppg,hist_fantasy_points,hist_games,hist_targets_pg,hist_carries_pg,hist_pass_attempts_pg,hist_rec_yd_pg,hist_rush_yd_pg,hist_pass_yd_pg,hist_catch_rate,hist_yards_per_target,hist_yards_per_carry,hist_yards_per_attempt,hist_target_share,hist_air_yards_share,hist_wopr,hist_pass_td_rate,hist_rush_td_rate,hist_rec_td_rate,hist_career_fppg,hist_peak_fppg,hist_career_games,hist_two_year_fppg,hist_two_year_games,hist_two_year_targets_pg,hist_two_year_carries_pg,hist_two_year_pass_attempts_pg,hist_experience,hist_prior_season_raw,birth_date,height,weight,rookie_season,latest_team_meta,draft_round,draft_pick,player_display_name,prior_fppg,two_year_fppg,recent_weighted_fppg,fppg_trend,prior_fantasy_points,prior_games,two_year_games,prior_targets_pg,two_year_targets_pg,prior_carries_pg,two_year_carries_pg,prior_pass_attempts_pg,two_year_pass_attempts_pg,prior_rec_yd_pg,prior_rush_yd_pg,prior_pass_yd_pg,prior_catch_rate,prior_yards_per_target,prior_yards_per_carry,prior_yards_per_attempt,prior_target_share,prior_air_yards_share,prior_wopr,prior_pass_td_rate,prior_rush_td_rate,prior_rec_td_rate,career_fppg_before,peak_fppg_before,career_games_before,experience,is_rookie,years_since_last_season,birth_date_final,age,age_squared,draft_capital_score,team_prior_pass_yd_pg,team_prior_rush_yd_pg,team_prior_pass_attempts_pg,team_prior_carries_pg,team_prior_points_pg,team_prior_pass_rate,team_prior_rush_rate,team_prior_neutral_pass_rate,team_prior_neutral_rush_rate,team_prior_plays_pg,team_prior_redzone_pass_rate,team_prior_redzone_rush_rate,team_prior_deep_throw_rate,team_prior_left_throw_rate,team_prior_middle_throw_rate,team_prior_right_throw_rate,team_prior_shotgun_rate,team_prior_no_huddle_rate,team_prior_avg_air_yards,receiver_context_available,rec_prior_avg_depth_target,rec_prior_deep_target_rate,rec_prior_short_target_rate,rec_prior_left_target_rate,rec_prior_middle_target_rate,rec_prior_right_target_rate,rec_prior_redzone_target_rate,rec_prior_route_vertical,rec_prior_route_in_break,rec_prior_route_out_break,rec_prior_route_screen,rec_prior_route_hitch,rec_prior_ngs_avg_cushion,rec_prior_ngs_avg_separation,prior_primary_qb_id,qb_context_available,qb_prior_avg_air_yards,qb_prior_deep_throw_rate,qb_prior_left_throw_rate,qb_prior_middle_throw_rate,qb_prior_right_throw_rate,qb_prior_redzone_throw_rate,qb_prior_wr_target_rate,qb_prior_te_target_rate,qb_prior_rb_target_rate,qb_prior_route_vertical,qb_prior_route_in_break,qb_prior_route_out_break,qb_prior_route_screen,qb_prior_route_hitch,qb_prior_ngs_time_to_throw,qb_prior_ngs_aggressiveness,qb_prior_ngs_cpoe,player_qb_context_available,player_qb_prior_avg_air_yards,player_qb_prior_deep_throw_rate,player_qb_prior_left_throw_rate,player_qb_prior_middle_throw_rate,player_qb_prior_right_throw_rate,player_qb_prior_redzone_throw_rate,player_qb_prior_wr_target_rate,player_qb_prior_te_target_rate,player_qb_prior_rb_target_rate,player_qb_prior_route_vertical,player_qb_prior_route_in_break,player_qb_prior_route_out_break,player_qb_prior_route_screen,player_qb_prior_route_hitch,player_qb_prior_ngs_time_to_throw,player_qb_prior_ngs_aggressiveness,player_qb_prior_ngs_cpoe,prior_primary_qb_name,rec_prior_slot_rate,rec_prior_wide_rate,rec_prior_inline_rate,alignment_available,context_available,qb_receiver_depth_fit,qb_receiver_location_fit,qb_receiver_route_fit,qb_position_target_fit,team_target_opportunity,rb_prior_team_carry_share,rb_prior_touch_opportunity,rb_receiving_fit,wr_context_fit_score,te_middle_fit,te_redzone_fit,te_route_fit,te_context_fit_score,qb_team_continuity,team_projected_pass_attempts_pg,team_projected_carries_pg,prior_teammate_max_target_share,prior_teammate_top2_target_share,prior_teammate_target_hhi,prior_teammate_max_carry_share,prior_teammate_top2_carry_share,prior_teammate_carry_hhi,career_attempts_before,career_carries_before,career_targets_before,career_pass_yards_before,career_interceptions_before,career_rush_yards_before,career_rec_yards_before,career_pass_tds_before,career_rush_tds_before,career_rec_tds_before,career_yards_per_attempt,career_interception_rate,career_yards_per_carry,career_catch_rate,career_yards_per_target,career_pass_td_rate,career_rush_td_rate,career_rec_td_rate,prior_interception_rate,prior_attempts_n,prior_carries_n,prior_targets_n,target_competition_index,carry_competition_index,team_pass_opportunity_index,team_rush_opportunity_index
00-0023459,Aaron Rodgers,QB,PIT,ACT,1983-12-02,74,225,21,Aaron Rodgers,2025,14.16125,226.58,16,0.0625,1.3125,31.125,-0.5625,3.8125,207.625,1,-9,2.9047619047619047,6.670682730923695,0.00191570881226053,-0.00274390243902439,9.528315110737316e-4,0.04819277108433735,0.04761904761904761,0,17.35075542717087,23.9225,170,15.092941176470587,17,0,1.2941176470588236,34.35294117647059,21,2025,1983-12-02,74,225,2005,PIT,1,24,Aaron Rodgers,14.16125,15.092941176470587,14.440757352941173,-0.9316911764705882,226.58,16,17,0.0625,0,1.3125,1.2941176470588236,31.125,34.35294117647059,-0.5625,3.8125,207.625,1,-9,2.9047619047619047,6.670682730923695,0.00191570881226053,-0.00274390243902439,9.528315110737316e-4,0.04819277108433735,0.04761904761904761,0,17.35075542717087,23.9225,170,21,0,0,1983-12-02,42.74880219028063,1827.4600887037416,0.2041241452319315,213.64705882352945,103.29411764705884,32.35294117647059,23.941176470588236,30.64,0.602020202020202,0.397979797979798,0.5309168443496801,0.4690831556503199,58.23529411764706,0.536144578313253,0.463855421686747,0.1423670668953688,0.3619210977701543,0.1835334476843911,0.3945111492281303,0.6575757575757576,0.11616161616161616,5.963636363636364,1,-9,0,1,0,1,0,0,1,0,0,0,0,0,0,00-0023459,1,6.040160642570281,0.14177693761814744,0.3553875236294896,0.1890359168241966,0.3931947069943289,0.15311909262759923,0.4409282700421941,0.2974683544303797,0.25738396624472576,0.2055084745762712,0.1843220338983051,0.2521186440677966,0.2309322033898305,0.1271186440677966,2.5922096774193553,14.457831325301203,-0.9491365461847608,1,6.040160642570281,0.14177693761814744,0.3553875236294896,0.1890359168241966,0.3931947069943289,0.15311909262759923,0.4409282700421941,0.2974683544303797,0.25738396624472576,0.2055084745762712,0.1843220338983051,0.2521186440677966,0.2309322033898305,0.1271186440677966,2.5922096774193553,14.457831325301203,-0.9491365461847608,Aaron Rodgers,0,0,0,0,1,0,0,0,0,0.06197881451431126,0.05482186732186732,1.375,0.5172995780590717,0.08818565400843882,0,0,0,0.05949367088607595,1,34.30251698094728,26.21288628885187,0.18,0.33454545454545453,0.10743801652892561,0.5184275184275184,0.7985257985257985,0.35246817064998887,4695,328,3,33875,58,1459,-19,270,15,0,7.215122470713525,0.01235356762513312,4.448170731707317,1,-6.333333333333333,0.05750798722044728,0.04573170731707317,0,0.014056224899598393,498,21,1,0.33454545454545453,0.7985257985257985,0.34302516980947284,1.4370393742506322
00-0026158,Joe Flacco,QB,CIN,ACT,1985-01-16,78,245,18,Joe Flacco,2025,11.281538461538462,146.66,13,0,1.6153846153846154,32,0,2.6923076923076925,190.69230769230768,0,0,1.6666666666666667,5.959134615384615,0,0,0,0.0360576923076923,0.04761904761904761,0,13.607328601953602,20.168,112,14.148571428571428,7,0,1.2857142857142858,35.42857142857143,18,2025,1985-01-16,78,245,2008,CIN,1,18,Joe Flacco,11.281538461538462,14.148571428571428,12.14164835164835,-2.8670329670329657,146.66,13,7,0,0,1.6153846153846154,1.2857142857142858,32,35.42857142857143,0,2.6923076923076925,190.69230769230768,0,0,1.6666666666666667,5.959134615384615,0,0,0,0.0360576923076923,0.04761904761904761,0,13.607328601953602,20.168,112,18,0,0,1985-01-16,41.62354551676933,1732.5195413865686,0.23570226039551587,249.64705882352945,93.58823529411764,37.64705882352941,22.41176470588235,31.69764705882353,0.6534839924670434,0.34651600753295664,0.5754060324825986,0.4245939675174014,62.47058823529411,0.6038961038961039,0.39610389610389607,0.17205882352941176,0.3323529411764706,0.24411764705882352,0.3602941176470588,0.8097928436911488,0.02919020715630885,7.3546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0036442,1,7.212355212355212,0.1510791366906475,0.3705035971223022,0.17625899280575538,0.3848920863309353,0.15827338129496402,0.5622489959839357,0.23694779116465864,0.19678714859437751,0.194331983805668,0.2145748987854251,0.2631578947368421,0.13765182186234817,0.1902834008097166,2.801617760617761,17.374517374517374,1.9825868725868645,1,7.34375,0.19101123595505615,0.299625468164794,0.3333333333333333,0.3146067415730337,0.1348314606741573,0.6446280991735537,0.18181818181818185,0.17355371900826447,0.17842323651452285,0.25311203319502074,0.23236514522821575,0.12033195020746888,0.2157676348547718,2.727747572815534,16.105769230769234,-0.6558413461538493,Joe Burrow,0,0,0,0,1,0,0,0,0,0,0.07207752877044216,1.6153846153846154,0.12791164658634538,0.11244979919678716,0,0,0,0.04738955823293173,0,33.660053894954345,25.650894837423007,0.2890625,0.4421875,0.14742431640625,0.6089238845144357,0.8293963254593175,0.42134595380301876,3055,125,0,19516,70,268,-3,107,4,0,6.388216039279869,0.022913256955810146,2.144,0,0,0.03502454991816694,0.032,0,0.02403846153846154,416,21,0,0.4421875,0.8293963254593175,0.33660053894954345,1.848853110631943
00-0026498,Matthew Stafford,QB,LA,ACT,1988-02-07,75,220,17,Matthew Stafford,2025,20.610588235294117,350.38,17,0,1.7058823529411764,35.11764705882353,0,0.0588235294117647,276.88235294117646,0,0,0.03448275862068965,7.884422110552764,0,0,0,0.07705192629815745,0,0,16.707370642701523,20.82,178,13.41125,16,0,1.875,32.3125,17,2025,1988-02-07,75,220,2009,LA,1,1,Matthew Stafford,20.610588235294117,13.41125,18.45078676470588,7.1993382352941175,350.38,17,16,0,0,1.7058823529411764,1.875,35.11764705882353,32.3125,0,0.0588235294117647,276.88235294117646,0,0,0.03448275862068965,7.884422110552764,0,0,0,0.07705192629815745,0,0,16.707370642701523,20.82,178,17,0,0,1988-02-07,38.56536618754278,1487.287469179268,1,276.88235294117646,126.58823529411764,35.1764705882353,27.352941176470587,40.557647058823534,0.578268876611418,0.421731123388582,0.5724137931034483,0.4275862068965517,63.88235294117647,0.5686274509803921,0.43137254901960786,0.2560386473429952,0.3526570048309179,0.20450885668276972,0.3993558776167472,0.3987108655616942,0.06721915285451197,9.244147157190636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0026498,1,9.25963149078727,0.2564516129032258,0.3532258064516129,0.20483870967741935,0.4,0.18225806451612905,0.6316695352839932,0.25817555938037867,0.11015490533562824,0.2616984402079723,0.22530329289428075,0.2512998266897747,0.09705372616984402,0.16464471403812825,0,0,0,1,9.25963149078727,0.2564516129032258,0.3532258064516129,0.20483870967741935,0.4,0.18225806451612905,0.6316695352839932,0.25817555938037867,0.11015490533562824,0.2616984402079723,0.22530329289428075,0.2512998266897747,0.09705372616984402,0.16464471403812825,0,0,0,Matthew Stafford,0,0,0,0,1,0,0,0,0,0,0.06236559139784946,1.7058823529411764,0.07160068846815835,0.12633390705679864,0,0,0,0.05163511187607574,1,35.55846991366327,26.833847785180506,0.27759197324414714,0.4682274247491639,0.1435917942752318,0.556989247311828,0.8688172043010753,0.408357035495433,5072,265,1,38540,98,713,0,260,3,0,7.598580441640379,0.019321766561514197,2.690566037735849,0,0,0.051261829652996846,0.011320754716981131,0,0.01340033500837521,597,29,0,0.4682274247491639,0.8688172043010753,0.35558469913663265,1.6735087866026552
00-0027973,Andy Dalton,QB,PHI,ACT,1987-10-29,74,220,15,Andy Dalton,2025,2.3800000000000003,9.52,4,0,1.25,9.25,0,-0.5,73.25,0,0,-0.4,7.918918918918919,0,0,0,0.02702702702702703,0,0,12.767142614330112,18.784615384615385,130,9.826666666666666,6,0,1.8333333333333333,26.666666666666668,15,2025,1987-10-29,74,220,2011,PHI,2,35,Andy Dalton,2.3800000000000003,9.826666666666666,4.614,-7.446666666666665,9.52,4,6,0,0,1.25,1.8333333333333333,9.25,26.666666666666668,0,-0.5,73.25,0,0,-0.4,7.918918918918919,0,0,0,0.02702702702702703,0,0,12.767142614330112,18.784615384615385,130,15,0,0,1987-10-29,38.84188911704312,1508.692350180673,0.1690308509457033,205.76470588235293,116.94117647058825,29.235294117647054,28.11764705882353,32.042352941176475,0.5695952615992103,0.43040473840078974,0.5362997658079626,0.46370023419203743,59.588235294117645,0.4545454545454546,0.5454545454545454,0.21161048689138576,0.38764044943820225,0.15355805243445692,0.3857677902621723,0.7611056268509379,0.19151036525172752,9.020120724346077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0036389,1,8.969162995594713,0.20901639344262296,0.39959016393442626,0.15163934426229508,0.375,0.11475409836065574,0.627039627039627,0.22144522144522144,0.15151515151515152,0.1756440281030445,0.21311475409836064,0.30210772833723654,0.09836065573770492,0.2107728337236534,2.9762831858407077,17.841409691629956,3.0481718061674172,1,9.405405405405403,0.2,0.35555555555555557,0.06666666666666667,0.4,0.15555555555555556,0.75,0.2222222222222222,0.02777777777777777,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.2777777777777778,0,0,0,Jalen Hurts,0,0,0,0,1,0,0,0,0,0,0.04445606694560669,1.25,0.0984848484848485,0.12540792540792542,0,0,0,0.04428904428904429,0,32.28582432134078,28.71256454814589,0.24346076458752516,0.4708249496981891,0.15582428170633458,0.5857740585774058,0.7175732217573222,0.3619903363036361,3096,222,2,21424,78,731,-7,128,8,0,6.919896640826873,0.025193798449612403,3.2927927927927927,1,-3.5,0.041343669250646,0.036036036036036036,0,0.02702702702702703,37,5,0,0.4708249496981891,0.7175732217573222,0.32285824321340784,1.2764476917324272
00-0028118,Tyrod Taylor,QB,GB,ACT,1989-08-03,73,215,15,Tyrod Taylor,2025,9.909999999999998,59.459999999999994,6,0,4.5,22.333333333333332,0,23.833333333333332,129.83333333333334,0,0,5.296296296296297,5.813432835820896,0,0,0,0.03731343283582089,0.03703703703703703,0,9.691412698412698,19.364285714285717,81,10.03,2,0,1.5,11,15,2025,1989-08-03,73,215,2011,GB,6,180,Tyrod Taylor,9.909999999999998,10.03,9.945999999999998,-0.120000000000001,59.459999999999994,6,2,0,0,4.5,1.5,22.333333333333332,11,0,23.833333333333332,129.83333333333334,0,0,5.296296296296297,5.813432835820896,0,0,0,0.03731343283582089,0.03703703703703703,0,9.691412698412698,19.364285714285717,81,15,0,0,1989-08-03,37.07871321013005,1374.8309733190724,0.07453559924999299,226.1764705882353,119.82352941176472,28.764705882352946,28.941176470588236,33.5,0.5484189723320159,0.45158102766798414,0.4978813559322034,0.5021186440677966,59.52941176470589,0.49122807017543857,0.5087719298245614,0.2230769230769231,0.3326923076923077,0.18653846153846151,0.4192307692307693,0.6185770750988142,0.08695652173913043,8.758691206543967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0036264,1,8.817767653758542,0.22943722943722944,0.341991341991342,0.19264069264069264,0.4134199134199134,0.1471861471861472,0.6029055690072639,0.2179176755447942,0.1791767554479419,0.1926829268292683,0.18048780487804875,0.3073170731707317,0.14390243902439023,0.17560975609756097,2.890995433789954,16.173120728929387,3.9293849658314386,1,8.544776119402986,0.16891891891891891,0.33783783783783783,0.13513513513513514,0.42567567567567566,0.10135135135135136,0.6220472440944882,0.2125984251968504,0.16535433070866143,0.176,0.216,0.344,0.064,0.2,0,0,0,Jordan Love,0,0,0,0,1,0,0,0,0,0,0.15548780487804878,4.5,0.11646489104116224,0.12058111380145278,0,0,0,0.04358353510895884,0,33.097149236393534,28.055023411471595,0.1738241308793456,0.28629856850715746,0.0869183384144429,0.47560975609756095,0.7296747967479675,0.29483111904289777,1411,289,1,9414,25,1630,0,49,15,0,6.671863926293409,0.01771793054571226,5.640138408304498,0,0,0.03472714386959603,0.05190311418685121,0,0.03731343283582089,134,27,0,0.28629856850715746,0.7296747967479675,0.33097149236393536,4.362214006051985
00-0028986,Case Keenum,QB,CHI,ACT,1988-02-17,73,220,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-02-17,73,220,2012,CHI,8,300,Case Keenum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1988-02-17,38.53798767967146,1485.1764943985092,0.05773502691896257,234.76470588235293,144.47058823529412,33.76470588235294,29.705882352941178,37.131764705882354,0.5825067628494139,0.41749323715058606,0.5321888412017167,0.4678111587982833,65.23529411764706,0.4891304347826087,0.5108695652173914,0.24086378737541528,0.287375415282392,0.21096345514950168,0.45182724252491696,0.5121731289449954,0.05049594229035167,8.613240418118467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0039918,1,8.625,0.24161073825503357,0.28859060402684567,0.21140939597315436,0.44966442953020136,0.13758389261744966,0.5943396226415094,0.25660377358490566,0.1490566037735849,0.16380952380952382,0.24761904761904763,0.2838095238095238,0.14095238095238094,0.16380952380952382,3.1954999999999996,11.267605633802818,-6.665792253521133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caleb Williams,0,0,0,0,1,0,0,0,0,0,0,0,0.0968867924528302,0.11886792452830187,0,0,0,0.05132075471698114,0,32.723362421948096,27.959809822837975,0.156794425087108,0.3048780487804878,0.10788039189500905,0.4415841584158416,0.7762376237623763,0.30819723556514067,1708,107,0,11807,39,338,0,63,5,0,6.912763466042154,0.022833723653395786,3.1588785046728973,0,0,0.036885245901639344,0.04672897196261682,0,0,0,0,0,0.3048780487804878,0.7762376237623763,0.327233624219481,0.2795980982283798
00-0029604,Kirk Cousins,QB,LV,ACT,1988-08-19,75,202,14,Kirk Cousins,2025,10.354,103.54,10,0,1.4,26.9,0,0.7,172.1,0,0,0.5,6.397769516728625,0,0,0,0.03717472118959108,0.07142857142857142,0,16.65640003501401,19.137500000000003,166,12.594285714285714,14,0,1.6428571428571428,32.357142857142854,14,2025,1988-08-19,75,202,2012,LV,4,102,Kirk Cousins,10.354,12.594285714285714,11.026085714285712,-2.2402857142857133,103.54,10,14,0,0,1.4,1.6428571428571428,26.9,32.357142857142854,0,0.7,172.1,0,0,0.5,6.397769516728625,0,0,0,0.03717472118959108,0.07142857142857142,0,16.65640003501401,19.137500000000003,166,14,0,0,1988-08-19,38.03422313483915,1446.602129470734,0.09901475429766744,195,77.47058823529412,30.294117647058822,21.705882352941178,22.01764705882353,0.6340694006309149,0.3659305993690851,0.5415617128463476,0.4584382871536524,55.94117647058823,0.6410256410256411,0.3589743589743589,0.14457831325301204,0.3304647160068847,0.16695352839931152,0.3838209982788296,0.655099894847529,0.08937960042060988,6.229126213592233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0030565,1,6.165178571428571,0.1485148514851485,0.33861386138613864,0.17623762376237623,0.3683168316831683,0.1306930693069307,0.4813953488372093,0.3302325581395349,0.18604651162790695,0.18457943925233644,0.1705607476635514,0.2616822429906542,0.1658878504672897,0.21728971962616825,2.802056053811659,15.401785714285715,1.5631919642857213,1,6.951672862453532,0.18661971830985916,0.38028169014084506,0.2112676056338028,0.34507042253521125,0.13028169014084506,0.45525291828793774,0.2918287937743191,0.2490272373540856,0.20078740157480315,0.2204724409448819,0.21653543307086617,0.2125984251968504,0.14960629921259844,2.7773496240601503,17.472118959107807,-1.732379182156123,Geno Smith,0,0,0,0,1,0,0,0,0,0,0.06449864498644986,1.4,0.12093023255813952,0.09627906976744188,0,0,0,0.06604651162790698,0,35.04306553172879,25.12940592464983,0.1786407766990291,0.34563106796116505,0.10893015364313317,0.7208672086720868,0.7804878048780488,0.5255469627867011,4949,301,2,37504,101,861,-1,251,15,0,7.578096585168721,0.02040816326530612,2.86046511627907,0.5,-0.5,0.050717316629622144,0.04983388704318937,0,0.01858736059479554,269,14,0,0.34563106796116505,0.7804878048780488,0.35043065531728795,1.6208126314543791
00-0029892,Kyle Juszczyk,RB,SF,ACT,1991-04-23,74,235,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-23,74,235,2013,SF,4,130,Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1991-04-23,35.35934291581109,1250.28313143792,0.08770580193070293,254,106.88235294117646,33.76470588235294,28.294117647058822,33.90705882352942,0.5814167433302668,0.4185832566697332,0.5543478260869565,0.44565217391304346,63.94117647058823,0.5343137254901961,0.46568627450980393,0.17326732673267323,0.3696369636963696,0.24752475247524752,0.3250825082508251,0.5280588776448942,0.03863845446182153,7.484320557491289,1,4.285714285714286,0.07142857142857142,0.6785714285714286,0.5,0.14285714285714285,0.35714285714285715,0.17857142857142858,0.10714285714285714,0.25,0.5,0.03571428571428571,0.10714285714285714,0,0,00-0036972,1,7.349480968858131,0.17263843648208468,0.3713355048859935,0.250814332247557,0.30944625407166126,0.14006514657980457,0.4785714285714286,0.20357142857142857,0.3142857142857143,0.17921146953405018,0.27598566308243727,0.2867383512544803,0.1039426523297491,0.15412186379928317,2.7146433566433568,16.955017301038062,3.530657439446358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mac Jones,0,0,0,0,1,0.8987901349464867,0.8578408562121917,0.7867383512544803,0.3142857142857143,0,0,0,0.4417857142857143,0.7764961280648998,0.8920428106095859,0.961493718008376,0.9058713090971156,0.7751683856735343,0,34.73180162746606,26.744292528876038,0.22473867595818817,0.38153310104529614,0.11794789301800435,0.64656964656964655,0.8378378378378378,0.454679051352648,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.38153310104529614,0.8378378378378378,0.34731801627466063,0.2674429252887604
00-0030279,Keenan Allen,WR,IND,ACT,1992-04-27,74,211,13,Keenan Allen,2025,8.36470588235294,142.2,17,7.176470588235294,0,0,45.705882352941174,0,0,0.6639344262295082,6.368852459016393,0,0,0.22426470588235295,0.2259128904531456,0.49453608214073136,0,0,0.03278688524590164,12.693503802161892,17.29692307692308,155,9.96,15,8.066666666666666,0,0.06666666666666667,13,2025,1992-04-27,74,211,2013,IND,3,76,Keenan Allen,8.36470588235294,9.96,8.843294117647057,-1.595294117647061,142.2,17,15,7.176470588235294,8.066666666666666,0,0,0,0.06666666666666667,45.705882352941174,0,0,0.6639344262295082,6.368852459016393,0,0,0.22426470588235295,0.2259128904531456,0.49453608214073136,0,0,0.03278688524590164,12.693503802161892,17.29692307692308,155,13,0,0,1992-04-27,34.34633812457221,1179.6709425674428,0.11470786693528089,240.2941176470588,118.05882352941175,32.1764705882353,26,36.82941176470588,0.5921951219512195,0.4078048780487805,0.5825688073394495,0.4174311926605505,60.294117647058826,0.5076923076923077,0.49230769230769234,0.2027491408934708,0.3883161512027491,0.19072164948453607,0.35738831615120276,0.7073170731707317,0.05268292682926829,8.007312614259599,1,8.418032786885245,0.1557377049180328,0.319672131147541,0.3442622950819672,0.19672131147540983,0.45901639344262296,0.13114754098360656,0.1652892561983471,0.2809917355371901,0.2231404958677686,0.03305785123966942,0.2975206611570248,6.187372881355931,2.630383049245497,00-0035710,1,8.002604166666666,0.19951338199513385,0.3990267639902677,0.18004866180048662,0.35036496350364965,0.1605839416058394,0.6164021164021164,0.24338624338624337,0.13756613756613756,0.17866666666666667,0.256,0.28533333333333333,0.09066666666666667,0.18933333333333333,2.7010026178010476,17.708333333333336,3.622552083333346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Jones,0,0,0,0,1,0.9562243229228988,0.9099557257389016,0.8668209366391184,0.6164021164021164,7.216046712802769,0,7.176470588235294,0.2013032353196287,0.8543418857517979,0.9833273503250768,0.97056359937776715,0.8728080808080808,0.8045183738212336,0,32.42028546810324,26.52811250986194,0.20475319926873858,0.4076782449725777,0.145496960318707,0.7307692307692307,0.7895927601809954,0.5391576749042811,5,18,1230,49,1,113,9434,1,0,54,9.8,0.2,6.277777777777778,0.6780487804878049,7.669918699186992,0.2,0,0.04390243902439024,0,0,0,122,0.4076782449725777,0.7895927601809954,7.2707257851260945,0.2652811250986194
00-0030506,Travis Kelce,TE,KC,ACT,1989-10-05,77,260,13,Travis Kelce,2025,9.129411764705884,155.20000000000002,17,6.352941176470588,0.0588235294117647,0,50.05882352941177,0.0588235294117647,0,0.7037037037037037,7.87962962962963,1,0,0.19672131147540983,0.16214427531436135,0.4085829599331677,0,0,0.04629629629629629,12.23509027777778,17.350666666666665,191,9.18125,16,8.3125,0.0625,0,13,2025,1989-10-05,77,260,2013,KC,3,63,Travis Kelce,9.129411764705884,9.18125,9.14496323529412,-0.05183823529411668,155.20000000000002,17,16,6.352941176470588,8.3125,0.0588235294117647,0.0625,0,0,50.05882352941177,0.0588235294117647,0,0.7037037037037037,7.87962962962963,1,0,0.19672131147540983,0.16214427531436135,0.4085829599331677,0,0,0.04629629629629629,12.23509027777778,17.350666666666665,191,13,0,0,1989-10-05,36.90622861054072,1362.0697102534946,0.1259881576697424,232.1764705882353,106.58823529411764,34.35294117647059,25.294117647058822,30.651764705882357,0.650375939849624,0.34962406015037595,0.6061855670103092,0.3938144329896908,62.588235294117645,0.5978835978835979,0.4021164021164021,0.19400630914826497,0.3722397476340694,0.15772870662460567,0.3864353312302839,0.7951127819548872,0.02725563909774436,7.761986301369863,1,6.805555555555555,0.13761467889908258,0.4128440366972478,0.3577981651376147,0.23853211009174313,0.3944954128440367,0.11926605504587157,0.1559633027522936,0.25688073394495414,0.2018348623853211,0.08256880733944955,0.30275229357798167,5.738837209302326,3.1840548101898025,00-0033873,1,8.06772908366534,0.20593692022263452,0.3747680890538033,0.16697588126159554,0.38589981447124305,0.1725417439703154,0.592436974789916,0.2605042016806723,0.14495798319327732,0.20042194092827004,0.2468354430379747,0.17721518987341772,0.2046413502109705,0.17088607594936708,2.790962,13.346613545816732,-2.67731075697209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patrick Mahomes,0,0,0,0,1,0.931677758676448,0.9514391244404352,0.8334688189525026,0.2605042016806723,6.757955641272902,0.00232558139534883,6.411764705882352,0.23871810191966697,0.844217708409152,0.9284437711698524,0.946724311075556,0.8240106323952566,0.7733177075547933,0,34.37566829070718,26.149275484411124,0.13356164383561644,0.26027397260273977,0.07094729311315444,0.37906976744186044,0.6534883720930232,0.23159004867495944,3,10,1318,4,1,16,11265,0,2,72,1.3333333333333333,0.3333333333333333,1.6,0.7139605462822458,8.547040971168437,0,0.2,0.054628224582701064,0,0,0.9999999999999999,108,0.26027397260273977,0.6534883720930232,6.762426548991576,0.2614927548441112
