player_id,player_name,name_key_24,position,birth_date_24,rookie_year_24,draft_year_meta_24,draft_overall_meta_24,draft_round_meta_24,pfr_id_24,college_name_meta_24,c_name_key,c_position,c_school,c_draft_year,c_draft_round,c_draft_overall,c_height,c_weight,c_forty,c_bench,c_vertical,c_broad,c_cone,c_shuttle,draft_year_24,draft_round_24,draft_overall_24,draft_capital_log_24,combine_height_in_24,combine_weight_24,combine_forty_24,combine_vertical_24,combine_broad_24,combine_cone_24,combine_shuttle_24,combine_bmi_24,combine_speed_score_24,age_at_draft_24,early_declare_heuristic_24,combine_athleticism_z_24,combine_missing_24,college_seasons_24,college_games_24,college_starts_24,college_career_pass_att_24,college_career_pass_yd_24,college_career_pass_td_24,college_career_int_24,college_career_rush_att_24,college_career_rush_yd_24,college_career_rush_td_24,college_career_rec_24,college_career_rec_yd_24,college_career_rec_td_24,college_final_pass_att_24,college_final_pass_yd_24,college_final_pass_td_24,college_final_int_24,college_final_rush_att_24,college_final_rush_yd_24,college_final_rush_td_24,college_final_rec_24,college_final_rec_yd_24,college_final_rec_td_24,college_final_pass_share_24,college_final_rush_share_24,college_final_rec_yd_share_24,college_peak_pass_share_24,college_peak_rush_share_24,college_peak_rec_yd_share_24,college_final_ypa_24,college_final_ypc_24,college_final_ypr_24,college_breakout_age_24,college_production_score_z_24,college_missing_24,college_production_raw_24,talent_prior_fppg_24,talent_prior_source_24,talent_profile_available_24
00-0038389,Israel Abanikanda,israelabanikanda,RB,2002-10-05,NA,2023,143,5,AbanIs00,Pittsburgh,israelabanikanda,RB,Pittsburgh,2023,5,143,5-10,216,NA,NA,NA,NA,NA,NA,2023,5,143,-4.969813299576001,70,216,NA,NA,NA,NA,NA,30.98938775510204,NA,20.906228610540726,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2.8804557869318472,college_combine_draft_ridge,1
00-0031021,Jared Abbrederis,jaredabbrederis,WR,1990-12-17,NA,2014,176,5,AbbrJa00,Wisconsin,jaredabbrederis,WR,Wisconsin,2014,5,176,6-1,195,4.5,4,30.5,117,6.8,4.08,2014,5,176,-5.176149732573829,73,195,4.5,30.5,117,6.8,4.08,25.724338525051603,95.10745313214449,23.707049965776864,0,-0.5215016078759445,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2.151141886934255,college_combine_draft_ridge,1
00-0032104,Ameer Abdullah,ameerabdullah,RB,1993-06-13,NA,2015,54,2,AbduAm00,Nebraska,ameerabdullah,RB,Nebraska,2015,2,54,5-9,205,4.6,24,42.5,130,6.79,3.95,2015,2,54,-4.007333185232471,69,205,4.6,42.5,130,6.79,3.95,30.269901281243435,91.56985573950925,22.217659137577,0,1.4739821150497086,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,8.857285766780127,college_combine_draft_ridge,1
00-0000007,Rabih Abdullah,rabihabdullah,RB,1975-04-27,NA,NA,NA,NA,AbduRa00,Lehigh University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.707110264748875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1.0660732003645745,college_combine_draft_ridge,0
ABE498348,Walter Abercrombie,walterabercrombie,RB,1959-09-26,NA,1982,12,1,AberWa00,Baylor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,1,12,-2.5649493574615367,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.93223819301848,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,12.03784013148067,college_combine_draft_ridge,1
00-0023322,Rob Abiamiri,robabiamiri,TE,1982-12-21,NA,NA,NA,NA,,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.707110264748875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,5.742844805435145,college_combine_draft_ridge,0
00-0022830,Derek Abney,derekabney,WR,1980-12-19,NA,NA,NA,NA,,Kentucky,NA,NA,Kentucky,2004,7,244,5-9,179,4.58,NA,33.5,120,6.89,4.08,2004,7,244,-5.501258210544727,69,179,4.58,33.5,120,6.89,4.08,26.430791850451588,81.36190613613354,23.701574264202602,0,-0.4191268290075675,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1.0927239130437698,college_combine_draft_ridge,1
ABR166116,Danny Abramowicz,dannyabramowicz,WR,1945-07-13,NA,NA,NA,NA,AbraDa00,"Xavier University, Ohio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.707110264748875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,6.578642434311455,college_combine_draft_ridge,0
ABR390978,Josh Abrams,joshabrams,RB,1986-01-18,NA,NA,NA,NA,,Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.707110264748875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1.0660732003645745,college_combine_draft_ridge,0
00-0039040,De'Von Achane,devonachane,RB,2001-10-13,NA,2023,84,3,AchaDe00,Texas A&M,devonachane,RB,Texas A&M,2023,3,84,5-9,188,4.32,NA,33,NA,NA,NA,2023,3,84,-4.442651256490317,69,188,4.32,33,NA,NA,NA,27.759714345725687,107.95750962947908,21.883641341546884,0,-0.14012786533500243,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,5.53675189527749,college_combine_draft_ridge,1
