player_id,player_name,position,draft_year_24,age_at_draft_24,early_declare_heuristic_24,combine_height_in_24,combine_weight_24,combine_forty_24,combine_vertical_24,combine_broad_24,combine_cone_24,combine_shuttle_24,combine_speed_score_24,combine_bmi_24,combine_athleticism_z_24,draft_round_24,draft_overall_24,draft_capital_log_24,college_seasons_24,college_games_24,college_starts_24,college_career_pass_att_24,college_career_pass_yd_24,college_career_pass_td_24,college_career_int_24,college_career_rush_att_24,college_career_rush_yd_24,college_career_rush_td_24,college_career_rec_24,college_career_rec_yd_24,college_career_rec_td_24,college_final_pass_att_24,college_final_pass_yd_24,college_final_pass_td_24,college_final_int_24,college_final_rush_att_24,college_final_rush_yd_24,college_final_rush_td_24,college_final_rec_24,college_final_rec_yd_24,college_final_rec_td_24,college_final_pass_share_24,college_final_rush_share_24,college_final_rec_yd_share_24,college_peak_pass_share_24,college_peak_rush_share_24,college_peak_rec_yd_share_24,college_final_ypa_24,college_final_ypc_24,college_final_ypr_24,college_breakout_age_24,college_production_score_z_24,combine_missing_24,college_missing_24,games,fantasy_points,rookie_fppg_24
00-0038389,Israel Abanikanda,RB,2023,20.906228610540726,1,70,216,NA,NA,NA,NA,NA,NA,30.98938775510204,NA,5,143,-4.969813299576001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,6,14.8,2.466666666666667
00-0031021,Jared Abbrederis,WR,2014,23.707049965776864,0,73,195,4.5,30.5,117,6.8,4.08,95.10745313214449,25.724338525051603,-0.5215016078759445,5,176,-5.176149732573829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
00-0032104,Ameer Abdullah,RB,2015,22.217659137577,0,69,205,4.6,42.5,130,6.79,3.95,91.56985573950925,30.269901281243435,1.4739821150497086,2,54,-4.007333185232471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,16,104.5,6.53125
00-0039040,De'Von Achane,RB,2023,21.883641341546884,0,69,188,4.32,33,NA,NA,NA,107.95750962947908,27.759714345725687,-0.14012786533500243,3,84,-4.442651256490317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,11,177.2,16.10909090909091
00-0031381,Davante Adams,WR,2014,21.686516084873375,1,73,212,4.56,39.5,123,6.82,4.3,98.06329593943771,27.96697316569713,0.09723001354254303,2,53,-3.9889840465642745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,14,81.6,5.828571428571428
00-0032429,Jerell Adams,TE,2016,23.668720054757017,0,77,247,4.64,32.5,117,7.05,4.31,106.57492279412287,29.286726260752236,0.1437601714423192,6,184,-5.220355825078325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,10,26.200000000000003,2.62
00-0033957,Rodney Adams,WR,2017,22.962354551676935,0,73,189,4.44,29.5,125,6.98,4.28,97.26574540109767,24.932820416588477,-0.7023513277600042,5,170,-5.14166355650266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
00-0038994,Jordan Addison,WR,2023,21.593429158110883,1,71,173,4.49,34,122,NA,NA,85.13158804117087,24.125967070025787,-1.1232773352950975,1,23,-3.1780538303479458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,17,186.3,10.958823529411765
00-0031549,Nelson Agholor,WR,2015,22.272416153319643,0,72,198,4.42,NA,NA,NA,NA,103.75430091812777,26.850694444444443,0.1187955229181897,1,20,-3.044522437723423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,13,45.8,3.523076923076923
00-0033572,Jamal Agnew,WR,2017,22.414784394250514,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,165,-5.111987788356544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,13,3.7,0.2846153846153846
