season,team,team_pass_attempts_pg,team_carries_pg,team_pass_yd_pg,team_rush_yd_pg,team_points_proxy_pg,team_attempts_total,team_carries_total,prior_season,team_prior_pass_attempts_pg,team_prior_carries_pg,team_prior_pass_yd_pg,team_prior_rush_yd_pg,team_prior_points_pg,target_team_pass_attempts_pg,target_team_carries_pg,team_prior_pass_rate,team_prior_neutral_pass_rate,team_prior_plays_pg,team_prior_redzone_pass_rate,team_prior_redzone_rush_rate,team_prior_deep_throw_rate,team_prior_shotgun_rate,team_prior_no_huddle_rate,team_prior_avg_air_yards
2015,ARI,35.125,28.25,298.4375,119.8125,38.66875,562,452,2014,35.5,24.8125,249.375,81.75,25.65,35.125,28.25,0,0,0,0,0,0,0,0,0
2016,ARI,40.375,24.9375,276.5625,108.25,36.3875,646,399,2015,35.125,28.25,298.4375,119.8125,38.66875,40.375,24.9375,0,0,0,0,0,0,0,0,0
2017,ARI,37.375,25.5625,248.6875,86.625,26.11,598,409,2016,40.375,24.9375,276.5625,108.25,36.3875,37.375,25.5625,0,0,0,0,0,0,0,0,0
2018,ARI,30.9375,22.1875,180.25,83.875,22.722500000000004,495,355,2017,37.375,25.5625,248.6875,86.625,26.11,30.9375,22.1875,0,0,0,0,0,0,0,0,0
2019,ARI,34.625,24.75,237.3125,124.375,33.68,554,396,2018,30.9375,22.1875,180.25,83.875,22.722500000000004,34.625,24.75,0.6232044198895028,0.4702194357366771,56.5625,0.5760869565217391,0.42391304347826086,0.1912568306010929,0.569060773480663,0.0707182320441989,8.038383838383838
2020,ARI,35.9375,29.9375,256.375,139.8125,39.236250000000005,575,479,2019,34.625,24.75,237.3125,124.375,33.68,35.9375,29.9375,0.6350947158524427,0.5773672055427251,62.6875,0.5973154362416108,0.40268456375838924,0.18451400329489293,0.8733798604187437,0.28414755732801594,7.572202166064982
2021,ARI,34.76470588235294,29.176470588235293,271.70588235294116,122.11764705882354,37.55058823529412,591,496,2020,35.9375,29.9375,256.375,139.8125,39.236250000000005,34.76470588235294,29.176470588235293,0.6040515653775322,0.5610278372591007,67.875,0.4418604651162791,0.5581395348837209,0.17491749174917492,0.9079189686924494,0.3821362799263352,7.782608695652174
2022,ARI,39.05882352941177,25.529411764705884,233.2941176470588,110.17647058823529,29.64352941176471,664,434,2021,34.76470588235294,29.176470588235293,271.70588235294116,122.11764705882354,37.55058823529412,39.05882352941177,25.529411764705884,0.5899025686448184,0.6026315789473684,66.41176470588235,0.5,0.5,0.18641390205371247,0.9007971656333038,0.366696191319752,7.487309644670051
2023,ARI,32.64705882352941,27.705882352941178,201.76470588235293,139.11764705882354,32.21764705882353,555,471,2022,39.05882352941177,25.529411764705884,233.2941176470588,110.17647058823529,29.64352941176471,32.64705882352941,27.705882352941178,0.6565481352992194,0.5737704918032787,67.82352941176471,0.5496688741721855,0.45033112582781454,0.16875871687587168,0.8933217692974849,0.32784041630529054,6.933734939759036
2024,ARI,31.941176470588236,27.235294117647058,227,144.1764705882353,34.79176470588236,543,463,2023,32.64705882352941,27.705882352941178,201.76470588235293,139.11764705882354,32.21764705882353,31.941176470588236,27.235294117647058,0.5892691951896393,0.4588235294117647,63.588235294117645,0.5319148936170213,0.46808510638297873,0.18543046357615897,0.7030527289546716,0.1026827012025902,7.542342342342343
2025,ARI,38.1764705882353,21.529411764705884,256.11764705882354,93.11764705882354,29.556470588235292,649,366,2024,31.941176470588236,27.235294117647058,227,144.1764705882353,34.79176470588236,38.1764705882353,21.529411764705884,0.5898174831892411,0.5714285714285714,61.23529411764706,0.49375,0.50625,0.1849912739965096,0.7079731027857828,0.10470701248799232,6.808471454880294
2015,ATL,38.8125,26.25,287.625,100.375,31.667500000000004,621,420,2014,39.5,23.25,297.375,93.625,32.3825,38.8125,26.25,0,0,0,0,0,0,0,0,0
2016,ATL,33.5625,26.3125,310,120.5,41.45,537,421,2015,38.8125,26.25,287.625,100.375,31.667500000000004,33.5625,26.3125,0,0,0,0,0,0,0,0,0
