season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_target_pos_OTHER,qb_route_in_break,qb_route_other,qb_route_screen,qb_route_vertical,qb_route_out_break,qb_route_hitch
2021,00-0019596,TB,742,742,155,272,191,254,133,8.072322670375522,0.20889487870619947,0.3665768194070081,0.2574123989218329,0.3423180592991914,0.1792452830188679,0.19432624113475178,0.23829787234042554,0.5673758865248227,0,0.07386363636363637,0.5809659090909091,0.12926136363636365,0.2159090909090909,0,0
2021,00-0022824,ARI,1,1,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021,00-0022924,PIT,648,648,100,227,150,226,97,6.725619834710744,0.15432098765432098,0.35030864197530864,0.23148148148148148,0.3487654320987654,0.14969135802469136,0.16805324459234608,0.18302828618968386,0.64891846921797,0,0.09395973154362416,0.6208053691275168,0.09899328859060402,0.18624161073825504,0,0
2021,00-0023459,GB,562,562,104,200,103,225,118,7.70566037735849,0.18505338078291814,0.35587188612099646,0.18327402135231316,0.400355871886121,0.2099644128113879,0.1917808219178082,0.1761252446183953,0.6301369863013698,0.0019569471624266144,0.09430255402750491,0.6110019646365422,0.09823182711198428,0.19646365422396855,0,0
2021,00-0023682,WAS,7,7,0,0,1,5,1,1.5,0,0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.6666666666666666,0,0.3333333333333333,0,0,0.6666666666666666,0.3333333333333333,0,0,0
2021,00-0024417,BAL,1,1,0,1,0,0,0,10,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0
2021,00-0026035,HOU,1,1,0,0,0,1,0,14,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,00-0026143,ATL,602,602,85,189,153,217,94,7.146428571428571,0.14119601328903655,0.313953488372093,0.2541528239202658,0.36046511627906974,0.15614617940199335,0.26838235294117646,0.2849264705882353,0.44669117647058826,0,0.08839779005524862,0.6703499079189686,0.06813996316758748,0.17311233885819521,0,0
2021,00-0026158,NYJ,44,44,10,10,5,27,8,8,0.22727272727272727,0.22727272727272727,0.11363636363636363,0.6136363636363636,0.18181818181818182,0.10526315789473684,0.10526315789473684,0.7894736842105263,0,0.05263157894736842,0.6578947368421053,0.02631578947368421,0.2631578947368421,0,0
2021,00-0026197,KC,16,16,2,4,6,6,1,7.8125,0.125,0.25,0.375,0.375,0.0625,0.2,0.26666666666666666,0.5333333333333333,0,0,0.9333333333333333,0.06666666666666667,0,0,0
2021,00-0026300,BAL,41,41,5,10,12,18,4,7.025,0.12195121951219512,0.24390243902439024,0.2926829268292683,0.43902439024390244,0.0975609756097561,0.08108108108108109,0.2702702702702703,0.6486486486486487,0,0.21621621621621623,0.5945945945945946,0,0.1891891891891892,0,0
2021,00-0026300,NYJ,47,47,8,18,10,17,10,7.533333333333333,0.1702127659574468,0.3829787234042553,0.2127659574468085,0.3617021276595745,0.2127659574468085,0.13333333333333333,0.2,0.6666666666666666,0,0.1111111111111111,0.5777777777777777,0.15555555555555556,0.15555555555555556,0,0
2021,00-0026498,LA,634,634,130,222,146,233,124,8.475873544093178,0.20504731861198738,0.3501577287066246,0.2302839116719243,0.3675078864353312,0.19558359621451105,0.12687813021702837,0.15525876460767946,0.7178631051752922,0,0.07046979865771812,0.6241610738255033,0.11073825503355705,0.19463087248322147,0,0
2021,00-0026625,NE,11,11,2,3,3,5,2,8.818181818181818,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.6363636363636364,0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.18181818181818182,0,0
2021,00-0027688,ARI,105,105,14,28,29,42,11,5.171717171717172,0.13333333333333333,0.26666666666666666,0.2761904761904762,0.4,0.10476190476190476,0.17346938775510204,0.23469387755102042,0.5918367346938775,0,0.08163265306122448,0.6326530612244898,0.17346938775510204,0.11224489795918367,0,0
2021,00-0027939,CAR,137,137,16,41,32,53,8,6.968253968253968,0.11678832116788321,0.29927007299270075,0.23357664233576642,0.38686131386861317,0.058394160583941604,0.208,0.136,0.656,0,0.12096774193548387,0.6048387096774194,0.10483870967741936,0.1693548387096774,0,0
2021,00-0027948,TB,12,12,3,6,2,3,1,8.181818181818182,0.25,0.5,0.16666666666666666,0.25,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.8181818181818182,0,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.18181818181818182,0,0
2021,00-0027973,CHI,257,257,43,68,57,110,31,6.961864406779661,0.16731517509727625,0.26459143968871596,0.22178988326848248,0.4280155642023346,0.12062256809338522,0.1565217391304348,0.21739130434782608,0.6260869565217392,0,0.06607929515418502,0.7224669603524229,0.0881057268722467,0.12334801762114538,0,0
2021,00-0028118,HOU,163,163,23,48,27,74,25,7.429530201342282,0.1411042944785276,0.294478527607362,0.1656441717791411,0.4539877300613497,0.15337423312883436,0.19444444444444445,0.20833333333333334,0.5972222222222222,0,0.034722222222222224,0.7152777777777778,0.06944444444444445,0.18055555555555555,0,0
2021,00-0028872,LA,1,1,0,0,0,1,1,-4,0,0,0,1,1,0,1,0,0,NA,NA,NA,NA,0,0
2021,00-0028986,CLE,77,77,9,30,7,35,13,5.833333333333333,0.11688311688311688,0.38961038961038963,0.09090909090909091,0.45454545454545453,0.16883116883116883,0.18571428571428572,0.21428571428571427,0.6,0,0.11428571428571428,0.6285714285714286,0.12857142857142856,0.12857142857142856,0,0
2021,00-0029000,BUF,1,1,1,0,0,1,1,19,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
2021,00-0029263,SEA,435,435,104,179,64,157,54,9.8875,0.23908045977011494,0.4114942528735632,0.1471264367816092,0.36091954022988504,0.12413793103448276,0.13917525773195877,0.21649484536082475,0.6417525773195877,0.002577319587628866,0.07272727272727272,0.6103896103896104,0.1038961038961039,0.21298701298701297,0,0
2021,00-0029567,CHI,40,40,5,13,9,13,11,5.6571428571428575,0.125,0.325,0.225,0.325,0.275,0.3333333333333333,0.19444444444444445,0.4722222222222222,0,0.05714285714285714,0.8,0.05714285714285714,0.08571428571428572,0,0
2021,00-0029604,MIN,592,592,118,225,116,215,85,8.166071428571428,0.19932432432432431,0.38006756756756754,0.19594594594594594,0.36317567567567566,0.14358108108108109,0.1925925925925926,0.16296296296296298,0.6444444444444445,0,0.06517690875232775,0.6610800744878957,0.1154562383612663,0.15828677839851024,0,0
2021,00-0029701,TEN,579,579,89,155,163,212,92,7.446327683615819,0.153713298791019,0.26770293609671847,0.2815198618307427,0.36614853195164077,0.15889464594127806,0.19807692307692307,0.20576923076923076,0.5961538461538461,0,0.08670520231213873,0.6570327552986512,0.10789980732177264,0.14836223506743737,0,0
2021,00-0029747,ARI,1,1,1,0,1,0,0,19,1,0,1,0,0,1,0,0,0,NA,NA,NA,NA,0,0
2021,00-0030279,LAC,2,2,0,0,0,1,2,14,0,0,0,0.5,1,0,0,0.5,0.5,0,0,0,1,0,0
2021,00-0030288,HOU,1,1,0,0,0,1,0,7,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021,00-0030520,NYG,177,177,27,67,35,62,16,7.245508982035928,0.15254237288135594,0.3785310734463277,0.1977401129943503,0.3502824858757062,0.0903954802259887,0.2903225806451613,0.23225806451612904,0.4774193548387097,0,0.11038961038961038,0.6038961038961039,0.11038961038961038,0.17532467532467533,0,0
