season,week,player_id,xfp_24,fpoe_24
2023,1,00-0037077,NA,NA
2023,1,00-0037741,NA,NA
2023,1,00-0031260,NA,NA
2023,1,00-0033282,NA,NA
2023,1,00-0033949,NA,NA
2023,1,00-0030061,NA,NA
2023,1,00-0033251,NA,NA
2023,1,00-0037746,NA,NA
2023,1,00-0033553,NA,NA
2023,1,00-0036936,NA,NA
2023,1,00-0035662,NA,NA
2023,1,00-0035659,NA,NA
2023,1,00-0037078,NA,NA
2023,1,00-0037744,NA,NA
2023,1,00-0038559,NA,NA
2023,1,00-0036328,NA,NA
2023,1,00-0034857,NA,NA
2023,1,00-0031588,NA,NA
2023,1,00-0035215,NA,NA
2023,1,00-0023459,NA,NA
2023,1,00-0037013,NA,NA
2023,1,00-0037740,NA,NA
2023,1,00-0036924,NA,NA
2023,1,00-0035689,NA,NA
2023,1,00-0035657,NA,NA
2023,1,00-0033893,NA,NA
2023,1,00-0034521,NA,NA
2023,1,00-0037248,NA,NA
2023,1,00-0038933,NA,NA
2023,1,00-0036196,NA,NA
2023,1,00-0034270,NA,NA
2023,1,00-0028002,NA,NA
2023,1,00-0038120,NA,NA
2023,1,00-0030513,NA,NA
2023,1,00-0038122,NA,NA
2023,1,00-0039150,NA,NA
2023,1,00-0036955,NA,NA
2023,1,00-0036268,NA,NA
2023,1,00-0038542,NA,NA
2023,1,00-0034830,NA,NA
2023,1,00-0036555,NA,NA
2023,1,00-0037238,NA,NA
2023,1,00-0033555,NA,NA
2023,1,00-0030035,NA,NA
2023,1,00-0039062,NA,NA
2023,1,00-0035956,NA,NA
2023,1,00-0036970,NA,NA
2023,1,00-0037263,NA,NA
2023,1,00-0035243,NA,NA
2023,1,00-0036442,NA,NA
2023,1,00-0036410,NA,NA
2023,1,00-0033897,NA,NA
2023,1,00-0036900,NA,NA
2023,1,00-0033537,NA,NA
2023,1,00-0031544,NA,NA
2023,1,00-0034791,NA,NA
2023,1,00-0034970,NA,NA
2023,1,00-0030068,NA,NA
2023,1,00-0033009,NA,NA
2023,1,00-0036980,NA,NA
2023,1,00-0033885,NA,NA
2023,1,00-0036233,NA,NA
2023,1,00-0037257,NA,NA
2023,1,00-0036232,NA,NA
2023,1,00-0036857,NA,NA
2023,1,00-0035100,NA,NA
2023,1,00-0034364,NA,NA
2023,1,00-0035710,NA,NA
2023,1,00-0034844,NA,NA
2023,1,00-0035535,NA,NA
2023,1,00-0031610,NA,NA
2023,1,00-0033077,NA,NA
2023,1,00-0038041,NA,NA
2023,1,00-0036358,NA,NA
2023,1,00-0037801,NA,NA
2023,1,00-0031236,NA,NA
2023,1,00-0035261,NA,NA
2023,1,00-0036165,NA,NA
2023,1,00-0035639,NA,NA
2023,1,00-0034764,NA,NA
2023,1,00-0038938,NA,NA
2023,1,00-0037569,NA,NA
2023,1,00-0038115,NA,NA
2023,1,00-0032385,NA,NA
2023,1,00-0036145,NA,NA
2023,1,00-0033308,NA,NA
2023,1,00-0033662,NA,NA
2023,1,00-0037666,NA,NA
2023,1,00-0028118,NA,NA
2023,1,00-0036569,NA,NA
2023,1,00-0033106,NA,NA
2023,1,00-0033943,NA,NA
2023,1,00-0033873,NA,NA
2023,1,00-0031376,NA,NA
2023,1,00-0036637,NA,NA
2023,1,00-0029293,NA,NA
2023,1,00-0036963,NA,NA
2023,1,00-0034386,NA,NA
2023,1,00-0037197,NA,NA
2023,1,00-0034272,NA,NA
2023,1,00-0039067,NA,NA
2023,1,00-0036913,NA,NA
2023,1,00-0036754,NA,NA
2023,1,00-0039065,NA,NA
2023,1,00-0039139,NA,NA
2023,1,00-0034286,NA,NA
2023,1,00-0032062,NA,NA
2023,1,00-0038090,NA,NA
2023,1,00-0032464,NA,NA
2023,1,00-0036360,NA,NA
2023,1,00-0037216,NA,NA
2023,1,00-0036945,NA,NA
2023,1,00-0036906,NA,NA
2023,1,00-0038941,NA,NA
2023,1,00-0036264,NA,NA
2023,1,00-0037816,NA,NA
2023,1,00-0038393,NA,NA
2023,1,00-0033293,NA,NA
2023,1,00-0036309,NA,NA
2023,1,00-0033925,NA,NA
2023,1,00-0036326,NA,NA
2023,1,00-0038465,NA,NA
2023,1,00-0039144,NA,NA
2023,1,00-0034827,NA,NA
2023,1,00-0036290,NA,NA
2023,1,00-0039146,NA,NA
2023,1,00-0035099,NA,NA
2023,1,00-0036265,NA,NA
2023,1,00-0037098,NA,NA
2023,1,00-0039021,NA,NA
2023,1,00-0034796,NA,NA
2023,1,00-0037838,NA,NA
2023,1,00-0039163,NA,NA
2023,1,00-0037258,NA,NA
2023,1,00-0039064,NA,NA
2023,1,00-0036550,NA,NA
2023,1,00-0034383,NA,NA
2023,1,00-0033591,NA,NA
2023,1,00-0036158,NA,NA
2023,1,00-0036554,NA,NA
2023,1,00-0030431,NA,NA
2023,1,00-0031235,NA,NA
2023,1,00-0038977,NA,NA
2023,1,00-0034208,NA,NA
2023,1,00-0038046,NA,NA
2023,1,00-0037277,NA,NA
2023,1,00-0038618,NA,NA
