season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_target_pos_OTHER,qb_route_in_break,qb_route_other,qb_route_screen,qb_route_vertical,qb_route_out_break,qb_route_hitch,qb_ngs_time_to_throw,qb_ngs_avg_depth,qb_ngs_aggressiveness,qb_ngs_cpoe
2018,00-0019596,NE,592,592,110,222,148,198,94,7.871929824561404,0.1858108108108108,0.375,0.25,0.3344594594594595,0.15878378378378377,0.3616636528028933,0.14647377938517178,0.4918625678119349,0,0.06521739130434782,0.6467391304347826,0.09963768115942029,0.18840579710144928,0,0,2.615713028169014,7.653932980599647,13.859649122807017,-1.5629724798756683
2018,00-0020531,NO,508,508,90,189,86,214,97,7.161554192229039,0.17716535433070865,0.3720472440944882,0.16929133858267717,0.421259842519685,0.19094488188976377,0.2892561983471074,0.18181818181818182,0.5268595041322314,0.002066115702479339,0.06444906444906445,0.6715176715176715,0.08731808731808732,0.17671517671517672,0,0,2.5861881390593044,7.113394683026585,15.541922290388548,7.159069046408604
2018,00-0021206,NYJ,117,117,20,39,26,44,13,7.318181818181818,0.17094017094017094,0.3333333333333333,0.2222222222222222,0.37606837606837606,0.1111111111111111,0.26666666666666666,0.24761904761904763,0.4857142857142857,0,0.047619047619047616,0.7238095238095238,0.09523809523809523,0.13333333333333333,0,0,0,0,0,0
2018,00-0022787,ATL,7,7,0,1,3,3,0,4.571428571428571,0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0,0.8333333333333334,0,0.16666666666666666,0,0,0,0,0,0
2018,00-0022803,NYG,628,628,115,209,118,248,95,7.342013888888889,0.18312101910828024,0.3328025477707006,0.18789808917197454,0.39490445859872614,0.15127388535031847,0.263986013986014,0.19755244755244755,0.5367132867132867,0.0017482517482517483,0.06537102473498234,0.6731448763250883,0.0706713780918728,0.19081272084805653,0,0,2.646937391304348,7.197756521739132,18.75,-1.4492557026743356
2018,00-0022921,ARI,1,1,1,0,0,1,0,28,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,00-0022924,PIT,704,704,133,224,216,232,100,7.783703703703703,0.18892045454545456,0.3181818181818182,0.3068181818181818,0.32954545454545453,0.14204545454545456,0.1631736526946108,0.1781437125748503,0.657185628742515,0.0014970059880239522,0.07401812688821752,0.6042296072507553,0.13897280966767372,0.18277945619335348,0,0,2.552903273809524,7.670119047619047,16.88888888888889,0.5292071600755008
2018,00-0022942,LAC,547,547,104,177,139,192,82,7.771653543307087,0.19012797074954296,0.3235831809872029,0.25411334552102377,0.3510054844606947,0.14990859232175502,0.27647058823529413,0.14705882352941177,0.5764705882352941,0,0.06560636182902585,0.6322067594433399,0.06958250497017893,0.23260437375745527,0,0,2.617966535433071,7.9059251968503945,15.748031496062993,2.5163754454161165
2018,00-0023436,WAS,351,351,64,125,95,105,37,8.103975535168196,0.18233618233618235,0.3561253561253561,0.2706552706552707,0.29914529914529914,0.10541310541310542,0.2310126582278481,0.29430379746835444,0.47468354430379744,0,0.09206349206349207,0.6412698412698413,0.08571428571428572,0.18095238095238095,0,0,2.7897638036809815,8.068707692307692,17.682926829268293,0.6149468392633395
2018,00-0023459,GB,649,649,140,251,108,236,79,8.77889447236181,0.21571648690292758,0.386748844375963,0.16640986132511557,0.36363636363636365,0.12172573189522343,0.13321799307958476,0.20242214532871972,0.6643598615916955,0,0.0817391304347826,0.6052173913043478,0.10956521739130434,0.20347826086956522,0,0,2.9496672268907567,8.795344537815126,13.735343383584588,-1.0418312262175817
2018,00-0023645,BUF,75,75,18,28,14,28,4,8.82857142857143,0.24,0.37333333333333335,0.18666666666666668,0.37333333333333335,0.05333333333333334,0.3188405797101449,0.21739130434782608,0.463768115942029,0,0.043478260869565216,0.6376811594202898,0.07246376811594203,0.2463768115942029,0,0,0,0,0,0
2018,00-0023662,DET,18,18,2,4,5,8,0,7.294117647058823,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.4444444444444444,0,0.1875,0.1875,0.625,0,0.125,0.75,0,0.125,0,0,0,0,0,0
2018,00-0023682,TB,261,261,71,100,58,88,43,10.34959349593496,0.2720306513409962,0.3831417624521073,0.2222222222222222,0.3371647509578544,0.16475095785440613,0.17073170731707318,0.18699186991869918,0.6422764227642277,0,0.05714285714285714,0.6285714285714286,0.061224489795918366,0.2530612244897959,0,0,2.645369918699187,10.194227642276424,20.32520325203252,4.202117684592551
2018,00-0023853,DET,1,1,0,1,0,0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,00-0024417,BAL,1,1,1,0,1,0,0,19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,00-0026035,MIA,1,1,1,0,0,1,0,25,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,00-0026143,ATL,656,656,127,248,144,215,92,8.554276315789474,0.19359756097560976,0.3780487804878049,0.21951219512195122,0.3277439024390244,0.1402439024390244,0.14666666666666667,0.175,0.6783333333333333,0,0.0907563025210084,0.6571428571428571,0.08907563025210084,0.16302521008403362,0,0,2.6803855024711694,8.50196046128501,16.776315789473685,4.670736469683774
2018,00-0026158,BAL,397,397,79,93,139,144,49,8.54089709762533,0.19899244332493704,0.23425692695214106,0.3501259445843829,0.36272040302267,0.12342569269521411,0.18059299191374664,0.21293800539083557,0.601078167115903,0.005390835579514825,0.08152173913043478,0.6195652173913043,0.07336956521739131,0.22554347826086957,0,0,2.7133590425531913,8.402906666666667,16.886543535620053,-2.7092036601254676
2018,00-0026197,KC,3,3,0,0,2,1,0,6,0,0,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0
2018,00-0026300,WAS,102,102,22,32,23,35,12,9.322222222222223,0.21568627450980393,0.3137254901960784,0.22549019607843138,0.3431372549019608,0.11764705882352941,0.25842696629213485,0.15730337078651685,0.5842696629213483,0,0.034482758620689655,0.6896551724137931,0.06896551724137931,0.20689655172413793,0,0,0,0,0,0
2018,00-0026498,DET,598,598,88,197,131,226,80,6.911711711711711,0.14715719063545152,0.3294314381270903,0.21906354515050167,0.3779264214046823,0.13377926421404682,0.25045703839122485,0.11517367458866545,0.6252285191956124,0.009140767824497258,0.04604051565377532,0.6832412523020258,0.09760589318600368,0.17311233885819521,0,0,2.6367870036101078,7.003182640144667,16.036036036036037,0.33447467428338484
2018,00-0026544,CHI,86,86,15,17,11,48,12,8.526315789473685,0.1744186046511628,0.19767441860465115,0.12790697674418605,0.5581395348837209,0.13953488372093023,0.38961038961038963,0.14285714285714285,0.4675324675324675,0,0.039473684210526314,0.5789473684210527,0.11842105263157894,0.2631578947368421,0,0,0,0,0,0
2018,00-0026625,NE,2,2,0,1,1,0,0,2,0,0.5,0.5,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0
2018,00-0026898,WAS,42,42,4,17,9,9,0,6.285714285714286,0.09523809523809523,0.40476190476190477,0.21428571428571427,0.21428571428571427,0,0.23529411764705882,0.2647058823529412,0.5,0,0.058823529411764705,0.6470588235294118,0.14705882352941177,0.14705882352941177,0,0,0,0,0,0
2018,00-0027150,NE,2,2,0,1,0,1,0,-1,0,0.5,0,0.5,0,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0
2018,00-0027685,DEN,1,1,1,0,0,1,0,28,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018,00-0027688,WAS,60,60,15,22,15,15,8,8.87037037037037,0.25,0.36666666666666664,0.25,0.25,0.13333333333333333,0.11538461538461539,0.28846153846153844,0.5961538461538461,0,0.11538461538461539,0.5192307692307693,0.11538461538461539,0.25,0,0,0,0,0,0
2018,00-0027793,PIT,1,1,0,1,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,00-0027854,ARI,87,87,13,33,16,31,7,6.4,0.14942528735632185,0.3793103448275862,0.1839080459770115,0.3563218390804598,0.08045977011494253,0.30864197530864196,0.19753086419753085,0.49382716049382713,0,0.075,0.725,0.0625,0.1375,0,0,0,0,0,0
2018,00-0027939,CAR,504,504,88,183,106,179,65,7.176220806794055,0.1746031746031746,0.3630952380952381,0.21031746031746032,0.3551587301587302,0.12896825396825398,0.24890829694323144,0.1703056768558952,0.5807860262008734,0,0.07488986784140969,0.698237885462555,0.0881057268722467,0.13876651982378854,0,0,2.693275641025641,7.100942184154176,17.197452229299362,2.9816739537976673
2018,00-0027948,TEN,106,106,17,36,24,41,9,7.02970297029703,0.16037735849056603,0.33962264150943394,0.22641509433962265,0.3867924528301887,0.08490566037735849,0.15151515151515152,0.29292929292929293,0.5555555555555556,0,0.030303030303030304,0.6262626262626263,0.12121212121212122,0.2222222222222222,0,0,0,0,0,0
2018,00-0027973,CIN,387,387,73,124,87,151,50,8.073972602739726,0.18863049095607234,0.32041343669250644,0.2248062015503876,0.39018087855297157,0.12919896640826872,0.2011173184357542,0.18435754189944134,0.6145251396648045,0,0.08123249299719888,0.6190476190476191,0.0700280112044818,0.22969187675070027,0,0,2.608201657458564,8.367611111111112,17.26027397260274,-0.5741770167465035
2018,00-0028118,CLE,98,98,27,26,18,40,3,9.952941176470588,0.2755102040816326,0.2653061224489796,0.1836734693877551,0.40816326530612246,0.030612244897959183,0.15853658536585366,0.21951219512195122,0.6219512195121951,0,0.04878048780487805,0.5487804878048781,0.13414634146341464,0.2682926829268293,0,0,0,0,0,0
2018,00-0028872,LA,4,4,1,0,0,4,0,12.75,0.25,0,0,1,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0
2018,00-0028986,DEN,622,622,101,211,114,259,74,7.455631399317406,0.16237942122186494,0.3392282958199357,0.1832797427652733,0.41639871382636656,0.1189710610932476,0.225177304964539,0.19148936170212766,0.5833333333333334,0,0.0693950177935943,0.6903914590747331,0.06405693950177936,0.17615658362989323,0,0,2.6845205479452052,7.453825042881647,16.040955631399317,-1.5079217091991026
2018,00-0029000,DAL,1,1,0,1,0,0,1,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018,00-0029263,SEA,479,479,105,167,87,165,72,8.976580796252927,0.21920668058455114,0.348643006263048,0.18162839248434237,0.3444676409185804,0.15031315240083507,0.2119700748129676,0.17955112219451372,0.6034912718204489,0.004987531172069825,0.05025125628140704,0.5954773869346733,0.06281407035175879,0.2914572864321608,0,0,3.016260143198091,9.242511961722487,14.285714285714285,4.046339977017887
