game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2026_01_NE_SEA,2026,REG,1,2026-09-09,Wednesday,20:20:00,NE,NA,SEA,NA,Home,NA,NA,NA,2026090900,NA,NA,202609090sea,NA,401872656,NA,7,7,145,-175,3.5,-118,-102,44.5,-115,-105,0,outdoors,fieldturf,NA,NA,00-0039851,00-0034869,Drake Maye,Sam Darnold,Mike Vrabel,Mike Macdonald,NA,SEA00,Lumen Field
2026_01_SF_LA,2026,REG,1,2026-09-10,Thursday,20:35:00,SF,NA,LA,NA,Neutral,NA,NA,NA,2026091000,NA,NA,202609100ram,NA,401872657,NA,7,7,154,-185,3.5,-112,-108,48.5,-115,-105,1,dome,matrixturf,NA,NA,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,NA,MEL00,Melbourne Cricket Ground
2026_01_CHI_CAR,2026,REG,1,2026-09-13,Sunday,13:00:00,CHI,NA,CAR,NA,Home,NA,NA,NA,2026091300,NA,NA,202609130car,NA,401872661,NA,7,7,-148,124,-3,-102,-118,47.5,-108,-112,0,outdoors,grass,NA,NA,00-0039918,00-0039150,Caleb Williams,Bryce Young,Ben Johnson,Dave Canales,NA,CAR00,Bank of America Stadium
2026_01_TB_CIN,2026,REG,1,2026-09-13,Sunday,13:00:00,TB,NA,CIN,NA,Home,NA,NA,NA,2026091301,NA,NA,202609130cin,NA,401872925,NA,7,7,170,-205,3.5,-105,-115,50.5,-112,-108,0,outdoors,fieldturf,NA,NA,00-0034855,00-0036442,Baker Mayfield,Joe Burrow,Todd Bowles,Zac Taylor,NA,CIN00,Paycor Stadium
2026_01_NO_DET,2026,REG,1,2026-09-13,Sunday,13:00:00,NO,NA,DET,NA,Home,NA,NA,NA,2026091302,NA,NA,202609130det,NA,401872923,NA,7,7,245,-305,7,-115,-105,49.5,-102,-118,0,dome,fieldturf,NA,NA,00-0040743,00-0033106,Tyler Shough,Jared Goff,Kellen Moore,Dan Campbell,NA,DET00,Ford Field
2026_01_BUF_HOU,2026,REG,1,2026-09-13,Sunday,13:00:00,BUF,NA,HOU,NA,Home,NA,NA,NA,2026091303,NA,NA,202609130htx,NA,401872660,NA,7,7,-110,-110,1.5,-122,102,44.5,-110,-110,0,NA,astroturf,NA,NA,00-0034857,00-0039163,Josh Allen,C.J. Stroud,Sean McDermott,DeMeco Ryans,NA,HOU00,Reliant Stadium
2026_01_BAL_IND,2026,REG,1,2026-09-13,Sunday,13:00:00,BAL,NA,IND,NA,Home,NA,NA,NA,2026091304,NA,NA,202609130clt,NA,401872659,NA,7,7,-175,145,-3.5,-105,-115,47.5,-105,-115,0,NA,fieldturf,NA,NA,00-0034796,00-0035710,Lamar Jackson,Daniel Jones,Jesse Minter,Shane Steichen,NA,IND00,Lucas Oil Stadium
2026_01_CLE_JAX,2026,REG,1,2026-09-13,Sunday,13:00:00,CLE,NA,JAX,NA,Home,NA,NA,NA,2026091305,NA,NA,202609130jax,NA,401872922,NA,7,7,340,-440,8.5,-112,-108,40.5,-110,-110,0,outdoors,grass,NA,NA,00-0033537,00-0036971,Deshaun Watson,Trevor Lawrence,Todd Monken,Liam Coen,NA,JAX00,EverBank Stadium
2026_01_ATL_PIT,2026,REG,1,2026-09-13,Sunday,13:00:00,ATL,NA,PIT,NA,Home,NA,NA,NA,2026091306,NA,NA,202609130pit,NA,401872658,NA,7,7,154,-185,3.5,-118,-102,42.5,-115,-105,0,outdoors,grass,NA,NA,00-0036212,00-0023459,Tua Tagovailoa,Aaron Rodgers,Raheem Morris,Mike McCarthy,NA,PIT00,Acrisure Stadium
2026_01_NYJ_TEN,2026,REG,1,2026-09-13,Sunday,13:00:00,NYJ,NA,TEN,NA,Home,NA,NA,NA,2026091307,NA,NA,202609130oti,NA,401872924,NA,7,7,105,-125,1.5,-110,-110,39.5,-110,-110,0,outdoors,grass,NA,NA,00-0030565,00-0040676,Geno Smith,Cam Ward,Aaron Glenn,Robert Saleh,NA,NAS00,Nissan Stadium
