season,week,player_id,offense_snaps,offense_pct
2020,1,00-0019596,70,1
2020,1,00-0020531,66,0.97
2020,1,00-0022127,28,0.44
2020,1,00-0022455,0,0
2020,1,00-0022531,68,1
2020,1,00-0022824,0,0
2020,1,00-0022921,65,0.79
2020,1,00-0022924,64,1
2020,1,00-0022942,73,0.99
2020,1,00-0023252,0,0
2020,1,00-0023298,0,0
2020,1,00-0023459,76,0.97
2020,1,00-0023500,14,0.25
2020,1,00-0023516,63,1
2020,1,00-0023534,0,0
2020,1,00-0023682,62,1
2020,1,00-0023853,0,0
2020,1,00-0024239,0,0
2020,1,00-0024243,32,0.41
2020,1,00-0024270,73,1
2020,1,00-0024333,0,0
2020,1,00-0024417,0,0
2020,1,00-0025394,24,0.31
2020,1,00-0025396,28,0.43
2020,1,00-0025418,41,0.66
2020,1,00-0025565,0,0
2020,1,00-0025580,0,0
2020,1,00-0025630,0,0
2020,1,00-0025825,0,0
2020,1,00-0026027,0,0
2020,1,00-0026035,43,0.55
2020,1,00-0026143,79,0.99
2020,1,00-0026166,62,1
2020,1,00-0026189,37,0.54
2020,1,00-0026190,0,0
2020,1,00-0026293,1,0.02
2020,1,00-0026498,78,1
2020,1,00-0026516,0,0
2020,1,00-0026564,0,0
2020,1,00-0026714,0,0
2020,1,00-0026858,0,0
2020,1,00-0026968,0,0
2020,1,00-0026990,0,0
2020,1,00-0026997,79,0.99
2020,1,00-0027029,25,0.36
2020,1,00-0027061,44,0.65
2020,1,00-0027103,0,0
2020,1,00-0027114,0,0
2020,1,00-0027136,0,0
2020,1,00-0027150,37,0.58
2020,1,00-0027224,0,0
2020,1,00-0027539,0,0
2020,1,00-0027557,0,0
2020,1,00-0027647,0,0
2020,1,00-0027648,81,1
2020,1,00-0027656,54,0.77
2020,1,00-0027662,0,0
2020,1,00-0027685,33,0.49
2020,1,00-0027686,0,0
2020,1,00-0027691,2,0.02
2020,1,00-0027696,52,0.8
2020,1,00-0027701,0,0
2020,1,00-0027743,0,0
2020,1,00-0027778,15,0.24
2020,1,00-0027855,0,0
2020,1,00-0027857,62,1
2020,1,00-0027859,67,1
2020,1,00-0027860,0,0
2020,1,00-0027862,0,0
2020,1,00-0027865,0,0
2020,1,00-0027867,0,0
2020,1,00-0027869,49,0.79
2020,1,00-0027870,64,1
2020,1,00-0027872,0,0
2020,1,00-0027875,74,1
2020,1,00-0027881,0,0
2020,1,00-0027882,0,0
2020,1,00-0027885,0,0
2020,1,00-0027914,0,0
2020,1,00-0027939,64,1
2020,1,00-0027942,45,0.66
2020,1,00-0027943,0,0
2020,1,00-0027944,65,0.81
2020,1,00-0027945,0,0
2020,1,00-0027947,72,1
2020,1,00-0027949,0,0
2020,1,00-0027954,0,0
2020,1,00-0027958,0,0
2020,1,00-0027960,74,1
2020,1,00-0027962,0,0
2020,1,00-0027963,62,0.78
2020,1,00-0027965,0,0
2020,1,00-0027966,21,0.36
2020,1,00-0027969,0,0
2020,1,00-0027981,32,0.62
2020,1,00-0027986,58,0.91
2020,1,00-0027993,63,1
2020,1,00-0028002,46,0.78
2020,1,00-0028008,0,0
2020,1,00-0028015,0,0
2020,1,00-0028024,0,0
2020,1,00-0028037,0,0
2020,1,00-0028042,26,0.33
2020,1,00-0028063,0,0
2020,1,00-0028074,11,0.16
2020,1,00-0028075,0,0
2020,1,00-0028087,6,0.09
2020,1,00-0028092,0,0
2020,1,00-0028103,0,0
2020,1,00-0028118,74,1
2020,1,00-0028129,68,1
2020,1,00-0028142,24,0.32
2020,1,00-0028149,11,0.22
2020,1,00-0028171,0,0
2020,1,00-0028180,0,0
2020,1,00-0028224,0,0
2020,1,00-0028237,51,0.91
2020,1,00-0028240,0,0
2020,1,00-0028278,0,0
2020,1,00-0028284,0,0
2020,1,00-0028292,1,0.02
2020,1,00-0028339,0,0
2020,1,00-0028374,0,0
2020,1,00-0028394,0,0
2020,1,00-0028411,36,0.51
2020,1,00-0028660,0,0
2020,1,00-0028664,0,0
2020,1,00-0028834,0,0
2020,1,00-0028845,1,0.01
2020,1,00-0028872,0,0
2020,1,00-0028899,0,0
2020,1,00-0028908,0,0
2020,1,00-0028924,0,0
2020,1,00-0028932,0,0
2020,1,00-0028946,0,0
2020,1,00-0029000,55,0.63
2020,1,00-0029008,0,0
2020,1,00-0029061,0,0
2020,1,00-0029119,0,0
2020,1,00-0029134,0,0
2020,1,00-0029144,0,0
2020,1,00-0029146,82,1
2020,1,00-0029193,0,0
2020,1,00-0029212,0,0
2020,1,00-0029249,0,0
2020,1,00-0029253,69,1
2020,1,00-0029255,0,0
2020,1,00-0029259,69,1
2020,1,00-0029261,0,0
2020,1,00-0029263,62,1
2020,1,00-0029278,72,1
2020,1,00-0029284,0,0
2020,1,00-0029293,71,0.91
2020,1,00-0029316,82,1
2020,1,00-0029329,0,0
2020,1,00-0029410,0,0
2020,1,00-0029412,0,0
2020,1,00-0029413,81,1
2020,1,00-0029419,81,1
2020,1,00-0029421,0,0
2020,1,00-0029528,65,1
2020,1,00-0029530,0,0
2020,1,00-0029542,0,0
2020,1,00-0029546,0,0
2020,1,00-0029560,0,0
2020,1,00-0029562,0,0
2020,1,00-0029568,0,0
2020,1,00-0029570,0,0
2020,1,00-0029577,0,0
2020,1,00-0029585,0,0
2020,1,00-0029586,0,0
2020,1,00-0029592,68,1
2020,1,00-0029597,0,0
2020,1,00-0029604,52,1
2020,1,00-0029606,0,0
2020,1,00-0029607,0,0
2020,1,00-0029608,59,0.8
2020,1,00-0029621,0,0
2020,1,00-0029627,0,0
2020,1,00-0029630,0,0
2020,1,00-0029641,0,0
2020,1,00-0029643,0,0
2020,1,00-0029647,0,0
2020,1,00-0029653,0,0
2020,1,00-0029657,0,0
2020,1,00-0029665,6,0.1
2020,1,00-0029672,52,1
2020,1,00-0029681,0,0
2020,1,00-0029685,56,1
2020,1,00-0029688,0,0
2020,1,00-0029692,0,0
2020,1,00-0029693,0,0
2020,1,00-0029701,81,1
2020,1,00-0029709,1,0.01
2020,1,00-0029738,25,0.42
2020,1,00-0029747,0,0
2020,1,00-0029764,0,0
2020,1,00-0029822,0,0
2020,1,00-0029869,0,0
2020,1,00-0029890,0,0
2020,1,00-0029892,36,0.58
2020,1,00-0029893,46,0.59
2020,1,00-0029895,70,1
2020,1,00-0029946,0,0
2020,1,00-0029955,0,0
2020,1,00-0030010,0,0
2020,1,00-0030023,0,0
2020,1,00-0030035,50,0.96
2020,1,00-0030041,0,0
2020,1,00-0030060,0,0
2020,1,00-0030061,58,0.85
2020,1,00-0030062,0,0
2020,1,00-0030063,0,0
2020,1,00-0030064,0,0
2020,1,00-0030066,1,0.01
2020,1,00-0030067,68,1
2020,1,00-0030069,0,0
2020,1,00-0030070,0,0
2020,1,00-0030074,78,1
2020,1,00-0030076,73,1
2020,1,00-0030083,8,0.1
2020,1,00-0030085,22,0.37
2020,1,00-0030089,1,0.02
2020,1,00-0030090,0,0
2020,1,00-0030092,0,0
2020,1,00-0030098,0,0
2020,1,00-0030108,18,0.32
2020,1,00-0030114,0,0
2020,1,00-0030140,0,0
2020,1,00-0030148,0,0
2020,1,00-0030155,26,0.4
2020,1,00-0030161,0,0
2020,1,00-0030181,54,0.73
2020,1,00-0030196,0,0
2020,1,00-0030216,36,0.53
2020,1,00-0030228,0,0
2020,1,00-0030273,63,0.81
2020,1,00-0030279,70,0.95
2020,1,00-0030288,19,0.3
2020,1,00-0030380,0,0
2020,1,00-0030382,0,0
2020,1,00-0030383,0,0
2020,1,00-0030386,0,0
2020,1,00-0030387,0,0
2020,1,00-0030404,12,0.24
2020,1,00-0030411,0,0
2020,1,00-0030421,0,0
2020,1,00-0030431,61,0.84
2020,1,00-0030434,0,0
2020,1,00-0030442,0,0
2020,1,00-0030443,24,0.35
2020,1,00-0030448,0,0
2020,1,00-0030449,0,0
2020,1,00-0030456,20,0.29
2020,1,00-0030459,0,0
2020,1,00-0030463,0,0
2020,1,00-0030470,38,0.59
2020,1,00-0030472,10,0.16
2020,1,00-0030496,32,0.57
2020,1,00-0030500,0,0
2020,1,00-0030503,0,0
2020,1,00-0030505,24,0.41
2020,1,00-0030506,61,0.88
2020,1,00-0030511,0,0
2020,1,00-0030513,23,0.34
2020,1,00-0030541,0,0
2020,1,00-0030549,28,0.56
2020,1,00-0030558,0,0
2020,1,00-0030562,0,0
2020,1,00-0030564,77,0.94
2020,1,00-0030566,0,0
2020,1,00-0030572,0,0
2020,1,00-0030573,0,0
2020,1,00-0030575,0,0
2020,1,00-0030578,10,0.15
2020,1,00-0030584,69,1
2020,1,00-0030585,82,1
2020,1,00-0030615,0,0
2020,1,00-0030648,64,1
2020,1,00-0030663,39,0.66
2020,1,00-0030665,0,0
2020,1,00-0030670,7,0.1
2020,1,00-0030706,0,0
2020,1,00-0030725,0,0
2020,1,00-0030761,0,0
2020,1,00-0030781,68,1
2020,1,00-0030792,1,0.01
2020,1,00-0030827,0,0
2020,1,00-0030869,0,0
2020,1,00-0030946,0,0
2020,1,00-0030957,0,0
2020,1,00-0030968,13,0.16
2020,1,00-0030997,59,1
2020,1,00-0031015,0,0
2020,1,00-0031017,52,1
2020,1,00-0031019,78,1
2020,1,00-0031040,0,0
2020,1,00-0031041,0,0
2020,1,00-0031045,21,0.34
2020,1,00-0031051,81,0.93
2020,1,00-0031054,0,0
2020,1,00-0031061,0,0
2020,1,00-0031062,19,0.3
2020,1,00-0031067,68,1
2020,1,00-0031079,0,0
2020,1,00-0031095,65,1
2020,1,00-0031097,0,0
2020,1,00-0031101,0,0
2020,1,00-0031105,0,0
2020,1,00-0031120,0,0
2020,1,00-0031122,50,1
2020,1,00-0031127,0,0
2020,1,00-0031130,0,0
2020,1,00-0031136,0,0
2020,1,00-0031142,64,1
2020,1,00-0031156,0,0
2020,1,00-0031166,5,0.07
2020,1,00-0031170,0,0
2020,1,00-0031177,0,0
2020,1,00-0031181,0,0
2020,1,00-0031203,0,0
2020,1,00-0031209,0,0
2020,1,00-0031218,0,0
2020,1,00-0031235,55,0.75
2020,1,00-0031236,31,0.53
2020,1,00-0031237,67,1
2020,1,00-0031241,0,0
2020,1,00-0031242,0,0
2020,1,00-0031253,0,0
2020,1,00-0031254,0,0
2020,1,00-0031256,0,0
2020,1,00-0031258,0,0
2020,1,00-0031260,52,0.74
2020,1,00-0031261,0,0
2020,1,00-0031269,0,0
2020,1,00-0031270,0,0
2020,1,00-0031273,7,0.1
2020,1,00-0031279,80,1
2020,1,00-0031280,63,1
2020,1,00-0031297,0,0
2020,1,00-0031298,0,0
2020,1,00-0031300,0,0
2020,1,00-0031308,0,0
2020,1,00-0031319,6,0.1
2020,1,00-0031325,55,0.8
2020,1,00-0031330,70,1
2020,1,00-0031331,0,0
2020,1,00-0031338,0,0
2020,1,00-0031345,62,1
2020,1,00-0031346,0,0
2020,1,00-0031348,0,0
2020,1,00-0031349,67,1
2020,1,00-0031353,67,1
2020,1,00-0031357,0,0
2020,1,00-0031360,0,0
2020,1,00-0031361,0,0
2020,1,00-0031364,0,0
2020,1,00-0031367,63,1
2020,1,00-0031369,50,1
2020,1,00-0031372,0,0
2020,1,00-0031376,19,0.31
2020,1,00-0031380,0,0
2020,1,00-0031381,70,0.9
2020,1,00-0031382,52,0.71
2020,1,00-0031384,2,0.03
2020,1,00-0031387,40,0.63
2020,1,00-0031388,0,0
2020,1,00-0031389,0,0
2020,1,00-0031402,72,1
2020,1,00-0031404,0,0
2020,1,00-0031408,65,0.93
2020,1,00-0031410,40,0.59
2020,1,00-0031411,0,0
2020,1,00-0031412,0,0
2020,1,00-0031426,73,1
2020,1,00-0031428,53,0.82
2020,1,00-0031442,70,0.86
2020,1,00-0031484,36,0.54
2020,1,00-0031492,0,0
2020,1,00-0031500,0,0
2020,1,00-0031543,0,0
2020,1,00-0031544,68,0.94
2020,1,00-0031547,23,0.37
2020,1,00-0031549,12,0.19
2020,1,00-0031550,0,0
2020,1,00-0031553,0,0
2020,1,00-0031554,0,0
2020,1,00-0031555,0,0
2020,1,00-0031557,0,0
2020,1,00-0031558,43,0.52
2020,1,00-0031559,0,0
2020,1,00-0031561,62,1
2020,1,00-0031566,0,0
2020,1,00-0031567,87,1
2020,1,00-0031576,0,0
2020,1,00-0031580,64,1
2020,1,00-0031581,74,1
2020,1,00-0031583,0,0
2020,1,00-0031584,0,0
2020,1,00-0031585,31,0.38
2020,1,00-0031587,0,0
2020,1,00-0031588,82,0.94
2020,1,00-0031595,17,0.25
2020,1,00-0031597,0,0
2020,1,00-0031598,39,0.66
2020,1,00-0031608,0,0
2020,1,00-0031610,56,0.89
2020,1,00-0031619,0,0
2020,1,00-0031622,68,1
2020,1,00-0031628,0,0
2020,1,00-0031632,45,0.71
2020,1,00-0031687,37,0.6
2020,1,00-0031690,2,0.03
2020,1,00-0031713,0,0
2020,1,00-0031740,0,0
2020,1,00-0031763,13,0.22
2020,1,00-0031765,68,1
2020,1,00-0031779,0,0
2020,1,00-0031785,0,0
2020,1,00-0031796,0,0
2020,1,00-0031799,0,0
2020,1,00-0031806,44,0.6
2020,1,00-0031838,0,0
2020,1,00-0031844,0,0
2020,1,00-0031852,64,1
2020,1,00-0031868,56,0.88
2020,1,00-0031870,0,0
2020,1,00-0031893,62,1
2020,1,00-0031898,0,0
2020,1,00-0031904,0,0
2020,1,00-0031911,0,0
2020,1,00-0031921,16,0.22
2020,1,00-0031933,0,0
2020,1,00-0031935,0,0
2020,1,00-0031936,87,1
2020,1,00-0031941,48,0.86
2020,1,00-0031947,0,0
