season,overall_pick,round,pick_in_round,pick_label,pick_value,valuation_source
2026,1,1,1,1.01,6344.809908944301,rookie_expected_value_with_selection_uncertainty
2026,2,1,2,1.02,1950.7621587075503,rookie_expected_value_with_selection_uncertainty
2026,3,1,3,1.03,1516.785685345573,rookie_expected_value_with_selection_uncertainty
2026,4,1,4,1.04,1196.3819972166546,rookie_expected_value_with_selection_uncertainty
2026,5,1,5,1.05,1133.597335550293,rookie_expected_value_with_selection_uncertainty
2026,6,1,6,1.06,1090.9254705159233,rookie_expected_value_with_selection_uncertainty
2026,7,1,7,1.07,1026.147459270353,rookie_expected_value_with_selection_uncertainty
2026,8,1,8,1.08,983.4446233479965,rookie_expected_value_with_selection_uncertainty
2026,9,1,9,1.09,935.0056264839965,rookie_expected_value_with_selection_uncertainty
2026,10,1,10,1.10,925.6189274118684,rookie_expected_value_with_selection_uncertainty
2026,11,1,11,1.11,904.8169348539693,rookie_expected_value_with_selection_uncertainty
2026,12,1,12,1.12,856.943555445017,rookie_expected_value_with_selection_uncertainty
2026,13,2,1,2.01,722.2024504506204,rookie_expected_value_with_selection_uncertainty
2026,14,2,2,2.02,709.6127398208899,rookie_expected_value_with_selection_uncertainty
2026,15,2,3,2.03,687.9682133169856,rookie_expected_value_with_selection_uncertainty
2026,16,2,4,2.04,676.7194481197669,rookie_expected_value_with_selection_uncertainty
2026,17,2,5,2.05,665.1010242948392,rookie_expected_value_with_selection_uncertainty
2026,18,2,6,2.06,652.9250321597897,rookie_expected_value_with_selection_uncertainty
2026,19,2,7,2.07,585.9691433871316,rookie_expected_value_with_selection_uncertainty
2026,20,2,8,2.08,574.6306630332653,rookie_expected_value_with_selection_uncertainty
2026,21,2,9,2.09,563.9788318603069,rookie_expected_value_with_selection_uncertainty
2026,22,2,10,2.10,557.7646625764971,rookie_expected_value_with_selection_uncertainty
2026,23,2,11,2.11,541.1428148474129,rookie_expected_value_with_selection_uncertainty
2026,24,2,12,2.12,508.0907619207759,rookie_expected_value_with_selection_uncertainty
2026,25,3,1,3.01,416.71076034476863,rookie_expected_value_with_selection_uncertainty
2026,26,3,2,3.02,382.1104974352886,rookie_expected_value_with_selection_uncertainty
2026,27,3,3,3.03,350,rookie_expected_value_with_selection_uncertainty
2026,28,3,4,3.04,350,rookie_expected_value_with_selection_uncertainty
2026,29,3,5,3.05,350,rookie_expected_value_with_selection_uncertainty
2026,30,3,6,3.06,350,rookie_expected_value_with_selection_uncertainty
2026,31,3,7,3.07,350,rookie_expected_value_with_selection_uncertainty
2026,32,3,8,3.08,350,rookie_expected_value_with_selection_uncertainty
2026,33,3,9,3.09,350,rookie_expected_value_with_selection_uncertainty
2026,34,3,10,3.10,350,rookie_expected_value_with_selection_uncertainty
2026,35,3,11,3.11,350,rookie_expected_value_with_selection_uncertainty
2026,36,3,12,3.12,350,rookie_expected_value_with_selection_uncertainty
2026,37,4,1,4.01,350,rookie_expected_value_with_selection_uncertainty
2026,38,4,2,4.02,350,rookie_expected_value_with_selection_uncertainty
2026,39,4,3,4.03,350,rookie_expected_value_with_selection_uncertainty
2026,40,4,4,4.04,350,rookie_expected_value_with_selection_uncertainty
2026,41,4,5,4.05,350,rookie_expected_value_with_selection_uncertainty
2026,42,4,6,4.06,350,rookie_expected_value_with_selection_uncertainty
2026,43,4,7,4.07,350,rookie_expected_value_with_selection_uncertainty
2026,44,4,8,4.08,350,rookie_expected_value_with_selection_uncertainty
2026,45,4,9,4.09,350,rookie_expected_value_with_selection_uncertainty
2026,46,4,10,4.10,350,rookie_expected_value_with_selection_uncertainty
2026,47,4,11,4.11,350,rookie_expected_value_with_selection_uncertainty
2026,48,4,12,4.12,350,rookie_expected_value_with_selection_uncertainty
