feature,importance,importance_pct,position,model_type
recent_weighted_fppg,7167.6049562780745,9.913340461106865,QB,FPPG regression
prior_fantasy_points,7101.681601831579,9.82216346949631,QB,FPPG regression
career_fppg_before,6837.548362471389,9.456847196509038,QB,FPPG regression
prior_fppg,6678.795729150763,9.237280282204399,QB,FPPG regression
prior_pass_yd_pg,5802.69865864131,8.025571686387973,QB,FPPG regression
prior_games,4782.835028246446,6.615023050731204,QB,FPPG regression
prior_pass_attempts_pg,4337.273316835879,5.998777461222597,QB,FPPG regression
peak_fppg_before,4303.151969012115,5.951585053154329,QB,FPPG regression
two_year_fppg,2210.2349343743217,3.0569222965187626,QB,FPPG regression
draft_capital_score,1854.8434104119092,2.565388904887695,QB,FPPG regression
draft_pick,1828.973901148269,2.529609414464245,QB,FPPG regression
draft_round,1413.5765636283493,1.9550834384106448,QB,FPPG regression
age_squared,1408.868991242934,1.9485725092946296,QB,FPPG regression
age,1392.9487582725428,1.9265536214487822,QB,FPPG regression
career_games_before,1316.2255283140641,1.82043958412478,QB,FPPG regression
prior_pass_td_rate,1190.3877782274146,1.6463964459945208,QB,FPPG regression
experience,928.1351801968644,1.28368124238812,QB,FPPG regression
prior_yards_per_attempt,874.603926601925,1.2096434647157233,QB,FPPG regression
prior_carries_pg,764.0485605804458,1.0567370210907505,QB,FPPG regression
prior_rush_yd_pg,730.0001905061548,1.0096455467766472,QB,FPPG regression
two_year_carries_pg,662.7105670833937,0.916578901703634,QB,FPPG regression
weight,651.888712625351,0.9016114574433085,QB,FPPG regression
player_qb_prior_avg_air_yards,617.1847603396615,0.8536132632832479,QB,FPPG regression
two_year_pass_attempts_pg,538.8929931959026,0.7453298202458397,QB,FPPG regression
is_rookie,493.0411338883624,0.6819132264375715,QB,FPPG regression
prior_yards_per_carry,468.7113091781645,0.6482632363526707,QB,FPPG regression
player_qb_prior_deep_throw_rate,465.40539521537494,0.6436909069834922,QB,FPPG regression
player_qb_prior_te_target_rate,463.6933673816563,0.6413230428366715,QB,FPPG regression
player_qb_prior_rb_target_rate,456.253984836873,0.6310338133887992,QB,FPPG regression
fppg_trend,421.46431763953643,0.5829170690146944,QB,FPPG regression
player_qb_prior_middle_throw_rate,411.34947901458503,0.5689274811942231,QB,FPPG regression
player_qb_context_available,407.8196597966372,0.5640454739006954,QB,FPPG regression
height,399.06608491827865,0.551938616930997,QB,FPPG regression
two_year_games,387.1304742916597,0.5354307635441775,QB,FPPG regression
player_qb_prior_wr_target_rate,331.82690278179706,0.458941735976854,QB,FPPG regression
player_qb_prior_ngs_aggressiveness,328.486046505619,0.45432107874205907,QB,FPPG regression
