generated_at,status,reason,completed_games,latest_actual_week,projection_week,duration_sec
2026-09-17 20:27:51 +0000,refreshed,forced,16,1,1,856.9
2026-09-18 10:13:39 +0000,refreshed,completed_game,17,2,1,815.2
2026-09-18 20:18:08 +0000,refreshed,future_context,17,2,1,535.7
2026-09-19 14:43:48 +0000,refreshed,future_context,17,2,1,821.9
2026-09-20 10:20:49 +0000,refreshed,future_context,17,2,1,836.5
2026-09-20 14:53:43 +0000,refreshed,future_context,17,2,1,553
2026-09-20 23:47:52 +0000,refreshed,completed_game,29,2,1,799.6
2026-09-21 07:29:54 +0000,refreshed,completed_game,31,2,1,836.3
2026-09-21 11:20:24 +0000,refreshed,future_context,31,2,1,804.9
2026-09-21 17:21:09 +0000,refreshed,future_context,31,2,1,820.3
2026-09-22 10:36:18 +0000,refreshed,completed_game,32,2,1,814.6
2026-09-22 15:41:45 +0000,refreshed,future_context,32,2,1,511.5
2026-09-23 15:38:39 +0000,refreshed,future_context,32,2,1,549.3
