feature,importance,importance_pct,position,component
prior_pass_attempts_pg,17333.09043005014,10.940402963800564,QB,pass_attempts_pg
prior_pass_yd_pg,16107.822037553555,10.167030782606561,QB,pass_attempts_pg
recent_weighted_fppg,15069.612014174418,9.511727213825047,QB,pass_attempts_pg
prior_fppg,13929.699491019035,8.792230457194645,QB,pass_attempts_pg
prior_games,12942.184473869198,8.168924863537024,QB,pass_attempts_pg
two_year_pass_attempts_pg,9654.318553735267,6.093670124494618,QB,pass_attempts_pg
two_year_fppg,8547.106842454827,5.394813660522879,QB,pass_attempts_pg
age,6206.966821733463,3.9177501834857797,QB,pass_attempts_pg
age_squared,5827.722190214188,3.678376304521547,QB,pass_attempts_pg
draft_capital_score,5431.26029059887,3.428135128022193,QB,pass_attempts_pg
draft_pick,5429.410001290965,3.4269672514274343,QB,pass_attempts_pg
career_games_before,5226.183799412339,3.2986937303073804,QB,pass_attempts_pg
two_year_games,5073.302887685499,3.2021974484403493,QB,pass_attempts_pg
draft_round,4202.749737030598,2.6527165403468445,QB,pass_attempts_pg
experience,4060.556280121265,2.5629660296873658,QB,pass_attempts_pg
fppg_trend,2629.2361780356996,1.6595369066351906,QB,pass_attempts_pg
player_qb_prior_rb_target_rate,2617.7966169872707,1.6523164165498316,QB,pass_attempts_pg
player_qb_prior_te_target_rate,2478.788123206007,1.5645762098339318,QB,pass_attempts_pg
player_qb_prior_deep_throw_rate,2332.1297794644115,1.4720075253854312,QB,pass_attempts_pg
player_qb_prior_avg_air_yards,2306.9506546090447,1.4561148158132258,QB,pass_attempts_pg
player_qb_prior_wr_target_rate,1989.3276422666033,1.2556356364293761,QB,pass_attempts_pg
is_rookie,1738.9588595242303,1.097606381126525,QB,pass_attempts_pg
player_qb_prior_middle_throw_rate,1729.2654309946188,1.0914880253351718,QB,pass_attempts_pg
player_qb_prior_redzone_throw_rate,1637.9252695696314,1.0338353997517107,QB,pass_attempts_pg
player_qb_prior_ngs_time_to_throw,1301.5603929465808,0.8215266191579553,QB,pass_attempts_pg
player_qb_prior_ngs_cpoe,1055.6097974640581,0.6662860615306493,QB,pass_attempts_pg
player_qb_prior_ngs_aggressiveness,809.7544979822956,0.5111056533990932,QB,pass_attempts_pg
player_qb_context_available,762.6305290910931,0.4813616668316691,QB,pass_attempts_pg
prior_carries_pg,821.0313999855896,19.501198739509913,QB,carries_pg
prior_rush_yd_pg,736.7149230032635,17.4985075212733,QB,carries_pg
two_year_carries_pg,421.3045682999049,10.006857370405172,QB,carries_pg
