player_id,player_display_name,position,projected_fppg,comp_rank,comp_player_id,comp_player,comp_season,comp_next_season_fppg,similarity_score
00-0034857,Josh Allen,QB,19.124768925675426,1,00-0027939,Cam Newton,2016,16.950666666666667,71
00-0034857,Josh Allen,QB,19.124768925675426,2,00-0027939,Cam Newton,2017,18.7175,67.1
00-0034857,Josh Allen,QB,19.124768925675426,3,00-0027939,Cam Newton,2018,20.185714285714287,66.8
00-0036389,Jalen Hurts,QB,18.595960036247902,1,00-0033873,Patrick Mahomes,2024,17.6575,69.7
00-0036389,Jalen Hurts,QB,18.595960036247902,2,00-0033537,Deshaun Watson,2023,14.466666666666669,69.5
00-0036389,Jalen Hurts,QB,18.595960036247902,3,00-0033869,Mitchell Trubisky,2019,13.521333333333333,64.9
00-0039851,Drake Maye,QB,18.15929001092006,1,00-0033537,Deshaun Watson,2020,23.082500000000003,67
00-0039851,Drake Maye,QB,18.15929001092006,2,00-0039732,Bo Nix,2025,17.931764705882355,63.3
00-0039851,Drake Maye,QB,18.15929001092006,3,00-0039163,C.J. Stroud,2024,12.963529411764709,56.3
00-0036971,Trevor Lawrence,QB,17.0833197450296,1,00-0032268,Marcus Mariota,2018,12.53,69.8
00-0036971,Trevor Lawrence,QB,17.0833197450296,2,00-0036442,Joe Burrow,2023,14.716000000000005,67
00-0036971,Trevor Lawrence,QB,17.0833197450296,3,00-0031503,Jameis Winston,2019,19.085,65.4
00-0033873,Patrick Mahomes,QB,17.073766186628937,1,00-0027973,Andy Dalton,2020,12.4,50.1
00-0033873,Patrick Mahomes,QB,17.073766186628937,2,00-0026498,Matthew Stafford,2016,17.486250000000002,50.1
00-0033873,Patrick Mahomes,QB,17.073766186628937,3,00-0027973,Andy Dalton,2021,10.525,49.3
00-0034796,Lamar Jackson,QB,16.9743460530391,1,00-0034855,Baker Mayfield,2025,15.99529411764706,62.5
00-0034796,Lamar Jackson,QB,16.9743460530391,2,00-0023436,Alex Smith,2016,14.952000000000002,60.8
