position,feature,feature_group
QB,prior_fppg,core
QB,two_year_fppg,core
QB,recent_weighted_fppg,core
QB,fppg_trend,core
QB,prior_fantasy_points,core
QB,prior_games,core
QB,two_year_games,core
QB,prior_targets_pg,core
QB,two_year_targets_pg,core
QB,prior_carries_pg,core
QB,two_year_carries_pg,core
QB,prior_pass_attempts_pg,core
QB,two_year_pass_attempts_pg,core
QB,prior_rec_yd_pg,core
QB,prior_rush_yd_pg,core
QB,prior_pass_yd_pg,core
QB,prior_catch_rate,core
QB,prior_yards_per_target,core
QB,prior_yards_per_carry,core
QB,prior_yards_per_attempt,core
QB,prior_target_share,core
QB,prior_air_yards_share,core
QB,prior_wopr,core
QB,prior_pass_td_rate,core
QB,prior_rush_td_rate,core
QB,prior_rec_td_rate,core
QB,career_fppg_before,core
QB,peak_fppg_before,core
QB,career_games_before,core
QB,experience,core
QB,is_rookie,core
QB,years_since_last_season,core
QB,age,core
QB,age_squared,core
QB,height,core
QB,weight,core
QB,draft_round,core
QB,draft_pick,core
QB,draft_capital_score,core
QB,team_prior_pass_yd_pg,core
QB,team_prior_rush_yd_pg,core
QB,team_prior_pass_attempts_pg,core
QB,team_prior_carries_pg,core
QB,team_prior_points_pg,core
QB,context_available,position_context
QB,team_prior_pass_rate,position_context
QB,team_prior_neutral_pass_rate,position_context
QB,team_prior_plays_pg,position_context
QB,team_prior_redzone_pass_rate,position_context
QB,team_prior_deep_throw_rate,position_context
QB,team_prior_shotgun_rate,position_context
QB,team_prior_no_huddle_rate,position_context
QB,team_prior_avg_air_yards,position_context
QB,player_qb_context_available,position_context
QB,player_qb_prior_avg_air_yards,position_context
QB,player_qb_prior_deep_throw_rate,position_context
QB,player_qb_prior_middle_throw_rate,position_context
QB,player_qb_prior_redzone_throw_rate,position_context
QB,player_qb_prior_wr_target_rate,position_context
QB,player_qb_prior_te_target_rate,position_context
QB,player_qb_prior_rb_target_rate,position_context
QB,player_qb_prior_ngs_time_to_throw,position_context
QB,player_qb_prior_ngs_aggressiveness,position_context
QB,player_qb_prior_ngs_cpoe,position_context
QB,qb_team_continuity,position_context
RB,prior_fppg,core
RB,two_year_fppg,core
RB,recent_weighted_fppg,core
RB,fppg_trend,core
RB,prior_fantasy_points,core
RB,prior_games,core
RB,two_year_games,core
RB,prior_targets_pg,core
RB,two_year_targets_pg,core
RB,prior_carries_pg,core
RB,two_year_carries_pg,core
RB,prior_pass_attempts_pg,core
RB,two_year_pass_attempts_pg,core
RB,prior_rec_yd_pg,core
RB,prior_rush_yd_pg,core
RB,prior_pass_yd_pg,core
RB,prior_catch_rate,core
RB,prior_yards_per_target,core
RB,prior_yards_per_carry,core
RB,prior_yards_per_attempt,core
RB,prior_target_share,core
RB,prior_air_yards_share,core
RB,prior_wopr,core
RB,prior_pass_td_rate,core
RB,prior_rush_td_rate,core
RB,prior_rec_td_rate,core
RB,career_fppg_before,core
