player_id,player_display_name,position,team,actual_points_to_date,projected_remaining_points,projected_full_season_points,remaining_games,ros_position_rank
00-0034857,Josh Allen,QB,BUF,35.66,323.2991448987576,358.9591448987576,16,1
00-0039918,Caleb Williams,QB,CHI,37.26,305.9200696658782,343.1800696658782,16,2
00-0039139,Jahmyr Gibbs,RB,DET,33.1,308.89434881415247,341.9943488141525,16,1
00-0036389,Jalen Hurts,QB,PHI,24.720000000000002,298.5245765463773,323.24457654637735,16,3
00-0034796,Lamar Jackson,QB,BAL,26.96,294.87512425619786,321.83512425619784,16,4
00-0032764,Derrick Henry,RB,BAL,34.8,287.0074054341164,321.8074054341164,16,2
00-0033873,Patrick Mahomes,QB,KC,21.66,294.21064187235726,315.8706418723573,16,5
00-0038542,Bijan Robinson,RB,ATL,27.3,286.17387183694666,313.47387183694667,16,3
00-0036223,Jonathan Taylor,RB,IND,25.6,287.4604798511291,313.0604798511291,16,4
00-0040691,Jaxson Dart,QB,NYG,26.6,284.0014913511975,310.6014913511975,16,6
00-0037834,Brock Purdy,QB,SF,21.1,282.9638422818404,304.06384228184044,16,7
00-0038134,Kenneth Walker III,RB,KC,32.6,267.68672282391617,300.2867228239162,16,5
00-0040122,Ashton Jeanty,RB,LV,29.700000000000003,262.1378941601653,291.83789416016526,16,6
00-0036971,Trevor Lawrence,QB,JAX,26.1,264.1300153310585,290.2300153310585,16,8
00-0036264,Jordan Love,QB,GB,21.48,266.1159818553804,287.59598185538044,16,9
00-0036275,D'Andre Swift,RB,CHI,31.9,255.0098976845408,286.9098976845408,16,7
00-0039150,Bryce Young,QB,CAR,31.439999999999998,249.68478164135576,281.12478164135575,16,10
00-0034855,Baker Mayfield,QB,TB,17.64,262.93413787347276,280.57413787347275,16,11
00-0039851,Drake Maye,QB,NE,9.82,269.5389109243661,279.3589109243661,16,12
00-0033106,Jared Goff,QB,DET,16.44,260.3245707006984,276.7645707006984,16,13
00-0039910,Jayden Daniels,QB,WAS,17.66,256.83800308041293,274.4980030804129,16,14
00-0036442,Joe Burrow,QB,CIN,14.16,258.99193569370476,273.1519356937048,16,15
00-0039163,C.J. Stroud,QB,HOU,20.46,250.87216216097016,271.33216216097014,16,16
00-0033077,Dak Prescott,QB,DAL,14.4,254.55397591397673,268.95397591397676,16,17
00-0040743,Tyler Shough,QB,NO,25.2,243.19158466299038,268.3915846629904,16,18
00-0036997,Javonte Williams,RB,DAL,21.700000000000003,234.9544730035546,256.6544730035546,16,8
00-0039361,Bucky Irving,RB,TB,18.8,233.90738547116104,252.70738547116102,16,9
00-0036355,Justin Herbert,QB,LAC,13.26,239.38787146891497,252.64787146891499,16,19
00-0038597,Chase Brown,RB,CIN,16.3,234.48211405853638,250.78211405853637,16,10
00-0038128,Malik Willis,QB,MIA,16.700000000000003,233.34015398659267,250.04015398659266,16,20
00-0032950,Carson Wentz,QB,MIN,19.22,228.6355634715187,247.8555634715187,16,21
00-0038543,Jaxon Smith-Njigba,WR,SEA,22.200000000000003,225.5435950980931,247.7435950980931,16,1
00-0038120,Breece Hall,RB,NYJ,18.800000000000004,225.84422180500346,244.64422180500347,16,11
00-0035685,David Montgomery,RB,HOU,27.4,213.0823609233369,240.48236092333687,16,12
00-0035710,Daniel Jones,QB,IND,9.040000000000001,230.91919315106284,239.95919315106283,16,22
