player_id,player_name,position,talent_rank_position_24,talent_prior_fppg_24,draft_round_24,draft_overall_24,age_at_draft_24,combine_athleticism_z_24,college_production_score_z_24,college_breakout_age_24,combine_missing_24,college_missing_24
00-0041562,Fernando Mendoza,QB,1,13.250583818532448,1,1,22.91854893908282,NA,0,NA,1,1
00-0041568,Ty Simpson,QB,2,10.666248939643586,1,13,23.696098562628336,NA,0,NA,1,1
00-0041565,Drew Allar,QB,3,7.972896702091074,3,76,22.483230663928815,NA,0,NA,1,1
00-0041561,Carson Beck,QB,4,7.3115482182981815,3,65,24.78302532511978,NA,0,NA,1,1
00-0041056,Cade Klubnik,QB,5,6.485464499302528,4,110,22.89390828199863,NA,0,NA,1,1
00-0041092,Taylen Green,QB,6,4.459537965330149,6,182,23.871321013004792,0.7071067811865474,0,NA,0,1
00-0040891,Cole Payton,QB,7,3.201361870657482,5,178,23.849418206707735,-0.7071067811865477,0,NA,0,1
00-0041123,Behren Morton,QB,8,2.3776072402605672,7,234,24.621492128678987,NA,0,NA,1,1
00-0040906,Garrett Nussmeier,QB,9,2.0261244523718744,7,249,24.566735112936346,NA,0,NA,1,1
00-0041117,Athan Kaliakmanis,QB,10,0.8459994679167105,7,223,23.033538672142367,NA,0,NA,1,1
00-0041027,Jeremiyah Love,RB,1,16.437381453232817,1,3,21.253935660506503,0.8500647681210789,0,NA,0,1
00-0041512,Jadarian Price,RB,2,9.710517227178926,1,32,22.89664613278576,-0.5469605757022509,0,NA,0,1
00-0040878,Mike Washington Jr.,RB,3,5.479059539551129,4,122,23.16495550992471,1.0751108484738157,0,NA,0,1
00-0041052,Kaelon Black,RB,4,4.982865026717259,3,90,24.87337440109514,NA,0,NA,1,1
00-0041496,Jonah Coleman,RB,5,4.36137016679768,4,108,23.033538672142367,NA,0,NA,1,1
00-0040888,Adam Randall,RB,6,4.336086298774829,5,174,22.132785763175907,-0.10134935660069301,0,NA,0,1
00-0041013,Emmett Johnson,RB,7,3.602182580349937,5,161,22.89390828199863,-0.47396858314070334,0,NA,0,1
00-0041125,Seth McGowan,RB,8,3.4192993580108983,7,237,24.856947296372347,0.7795806211480184,0,NA,0,1
00-0041081,Max Bredeson,RB,9,2.715541390370478,5,159,23.90965092402464,NA,0,NA,1,1
00-0041398,Riley Nowakowski,RB,10,2.3338808528737274,5,169,24.17248459958932,NA,0,NA,1,1
00-0040886,Nicholas Singleton,RB,11,2.2823642907859107,5,165,22.652977412731005,NA,0,NA,1,1
00-0041104,Demond Claiborne,RB,12,2.1149460637958635,6,198,22.89664613278576,-0.4970969930223359,0,NA,0,1
00-0041096,Kaytron Allen,RB,13,1.7659459728085394,6,187,23.64681724845996,NA,0,NA,1,1
00-0041490,Eli Heidenreich,RB,14,1.629793236482113,7,230,23.096509240246405,-0.752457442005857,0,NA,0,1
00-0041032,Kenyon Sadiq,TE,1,6.893797272049869,1,16,21.49486652977413,2.0312816931244058,0,NA,0,1
00-0041510,Max Klare,TE,2,4.486779288151391,2,61,23.15126625598905,NA,0,NA,1,1
00-0041041,Oscar Delp,TE,3,4.2066465993258975,3,73,23.077344284736483,NA,0,NA,1,1
00-0041483,Eli Stowers,TE,4,4.182209323689469,2,54,23.381245722108144,1.6870788467981859,0,NA,0,1
00-0041503,Nate Boerkircher,TE,5,4.085053888304122,2,56,24.99110198494182,-0.3382407126012859,0,NA,1,1
00-0041472,Marlin Klein,TE,6,3.6528024449821133,2,59,23.956194387405887,-0.500340247004776,0,NA,0,1
00-0041558,Sam Roush,TE,7,3.620613578834693,3,69,22.986995208761122,0.5929288735602197,0,NA,0,1
00-0041524,Will Kacmarek,TE,8,3.00688039548497,3,87,23.550992470910334,-0.612802403216859,0,NA,0,1
00-0041077,Justin Joly,TE,9,2.946974910427526,5,152,22.146475017111566,NA,0,NA,1,1
00-0041395,Eli Raridon,TE,10,2.5118999737756194,3,95,22.55167693360712,NA,0,NA,1,1
00-0041087,Joe Royer,TE,11,2.2219019992781424,5,170,24.514715947980836,NA,0,NA,1,1
