position,component,kind,context,league_mean,k,recent_weight,context_strength,context_mean_rec_rz,context_mean_team_rz_pass,context_mean_team_rz_rush,context_mean_qb_rz,context_mean_player_qb_rz,context_mean_team_points,validation_MAE,validation_RMSE,n
QB,pass_ypa,efficiency,none,7.042330040845787,320,0.5,0,0.92,0.5,0.5,0.1,0.14230936592320648,15,0.7140307033743905,0.9565203329432489,502
QB,int_rate,efficiency,none,0.023862116864377256,320,0.5,0,0.92,0.5,0.5,0.1,0.14230936592320648,15,0.010098688632552108,0.014436353824596298,502
QB,rush_ypc,efficiency,none,4.3728822340811355,5,0.5,0,0.9230769230769231,0.5,0.5,0.1,0.1415017525440644,15,1.5147380451120196,1.9923738687554629,538
QB,pass_td_rate,td,pass_td,0.04287625371428759,320,0.5,0,0.92,0.5,0.5,0.1,0.14230936592320648,15,0.012371684801693613,0.01616229998865462,502
QB,rush_td_rate,td,rush_td,0.046370654370239885,80,0.8,0,0.9230769230769231,0.5,0.5,0.1,0.1415017525440644,15,0.035021935509885235,0.043002598534957984,538
RB,catch_rate,efficiency,none,0.7683917675697891,320,0.5,0,0.15884262203590568,0.5,0.5,0.1,0.9133333333333333,15,0.0808357864400093,0.10851261261557679,994
RB,ypt,efficiency,none,5.893869937719326,320,0.8,0,0.15884262203590568,0.5,0.5,0.1,0.9133333333333333,15,1.382913933482353,1.836349740337613,994
RB,rush_ypc,efficiency,none,4.268878332529292,320,0.5,0,0.1607380284039603,0.5,0.5,0.1,0.9133333333333333,15,0.7828450866756472,1.095882703529173,1153
RB,rec_td_rate,td,rec_td,0.02997059846353261,320,0.5,0.25,0.15884262203590568,0.5,0.5,0.1,0.9133333333333333,15,0.029887004835689998,0.03829912294665859,994
RB,rush_td_rate,td,rush_td,0.03068682368261462,320,0.5,0,0.1607380284039603,0.5,0.5,0.1,0.9133333333333333,15,0.020922399959030814,0.029366729121959204,1153
WR,catch_rate,efficiency,none,0.6247837929183483,80,0.5,0,0.14107899394169163,0.5,0.5,0.1,0.8464912280701754,15,0.0864741784971462,0.11813759719493296,1751
WR,ypt,efficiency,none,7.943835861547943,160,0.5,0,0.14107899394169163,0.5,0.5,0.1,0.8464912280701754,15,1.7042174288815597,2.3322639784387547,1751
WR,rush_ypc,efficiency,none,5.995589532490444,320,0.8,0,0.13109370662897069,0.5,0.5,0.1,0.9,15,2.8388139169921267,3.8748801947198106,458
WR,rec_td_rate,td,rec_td,0.0484105051790294,320,0.5,0,0.14107899394169163,0.5,0.5,0.1,0.8464912280701754,15,0.03174901362967123,0.04205498761469092,1751
WR,rush_td_rate,td,rush_td,0.042340488091737724,320,0.5,0,0.13109370662897069,0.5,0.5,0.1,0.9,15,0.06308199807356933,0.08790910171563923,458
TE,catch_rate,efficiency,none,0.6890156918687589,160,0.65,0,0.18455968301397632,0.5,0.5,0.1,0.6523518148518148,15,0.0856081248610648,0.11468787352121486,942
TE,ypt,efficiency,none,7.348348513113135,160,0.5,0,0.18455968301397632,0.5,0.5,0.1,0.6523518148518148,15,1.526281500640525,2.039152833273337,942
TE,rec_td_rate,td,rec_td,0.05407110720948096,160,0.5,0,0.18455968301397632,0.5,0.5,0.1,0.6523518148518148,15,0.04083815431807985,0.056866673759826465,942
