position,event,intercept,slope,n
QB,Elite,-0.7718422196871654,0.681854463143583,237
QB,Starter+,-0.5958716028031619,0.5501203718357839,237
QB,Breakout/Upside,-0.6571057654174522,0.4506420369069016,237
RB,Elite,-0.13764812514081526,0.9338552378053245,494
RB,Starter+,-0.09419344236046791,0.9409291558992502,494
RB,Breakout/Upside,-1.0216583726663837,0.5239815098110165,494
WR,Elite,-0.22117686752440838,0.9896918910657103,790
WR,Starter+,-0.2852518982608245,0.9055805182407651,790
WR,Breakout/Upside,-0.767091776979725,0.7424731043542852,790
TE,Elite,0.006263204669575404,1.0896255148591125,415
TE,Starter+,-0.10376122058257942,0.9660812731747385,415
TE,Breakout/Upside,-1.0854161036838657,0.7299691769550797,415
