position,component,kind,MAE,RMSE,correlation,predicted_to_fppg_correlation,n
QB,int_rate,efficiency,0.00987308739315427,0.0132874547364392,0.06377145794871127,-0.1557906619246063,218
QB,pass_td_rate,td,0.01294248850086358,0.01716109042424,0.24419998002790327,0.24688968289323918,218
QB,pass_ypa,efficiency,0.8097894496878718,1.0801535794940724,0.23924611579579255,0.2256257365166545,218
QB,rush_td_rate,td,0.034368998081246244,0.04423758686293028,0.19282636453971821,0.06692691566940116,234
QB,rush_ypc,efficiency,1.4390681696085046,1.9368383874486113,0.4676130642170497,0.2610168551218485,234
RB,catch_rate,efficiency,0.0834214679151289,0.11219340646019355,0.035182407236437806,0.19351466792208158,383
RB,rec_td_rate,td,0.03044905393295852,0.03853951762502913,0.13232846596643785,0.08818539089376146,383
RB,rush_td_rate,td,0.019738350456614057,0.025843720430761996,0.08708469938012998,0.20777749683988958,463
RB,rush_ypc,efficiency,0.7837769864479667,1.0947673086109106,0.1298722086977024,0.2795147718853318,463
RB,ypt,efficiency,1.4536447219000495,1.8905756502193711,0.0958496519394501,0.12128268256041093,383
TE,catch_rate,efficiency,0.08845413326690578,0.11877977765119929,0.06353801161890274,0.07934324476898923,377
TE,rec_td_rate,td,0.04182236200521441,0.05751251454404828,0.17165911888436872,-0.025206464772628053,377
TE,ypt,efficiency,1.5387135450776963,2.077737162280139,0.1762003467567314,0.3083798854250252,377
WR,catch_rate,efficiency,0.08827505281049015,0.12134064168238477,0.29512350864678333,0.2761760303748302,712
WR,rec_td_rate,td,0.031973017728918425,0.04241388865654847,0.07227647207711123,0.22635909041779864,712
WR,rush_td_rate,td,0.06992434654958878,0.09905979348842875,-0.11155064943942745,0.06358564525287357,208
WR,rush_ypc,efficiency,2.608147244577703,3.432660423296843,0.0397555556002602,-0.03251972396049301,208
WR,ypt,efficiency,1.7339163877510884,2.352953932711835,0.16523569293911927,0.3812553214079548,712
