position,method,n,MAE,RMSE,correlation,rank_correlation,bias
QB,2.0/role prior,2624,6.3172924952292195,7.837884350673405,0.5086929511906023,0.5083477557466858,-0.05638237359752686
QB,2.2 neutral direct,2624,6.2201992923864955,7.763717216817305,0.5232222072748993,0.4951450779538416,0.09678792244229421
QB,2.2 structured neutral,2624,6.235030095979079,7.799325235604071,0.5186548519225734,0.49862953957220135,0.42507512165998346
QB,2.2 structured + matchup,2624,6.186929998575946,7.834721439601433,0.5155352324141703,0.49626749281284355,-0.048984244715103105
QB,2.2 full direct,2624,6.127641763535493,7.692944504856346,0.5338594899728041,0.5031976961002373,0.147763841519945
QB,2.2 honest stack,2624,6.086455761173259,7.597597266812038,0.5495064794159725,0.5300006218315946,-0.010404453798936349
RB,2.0/role prior,6166,4.256036238611762,5.936668292071481,0.6082798437923872,0.6751484800624841,-0.031689656787365766
RB,2.2 neutral direct,6166,4.27972864430927,5.871953138394051,0.6196193627830503,0.6924695517550852,0.0978847075135839
RB,2.2 structured neutral,6166,4.3451451435039505,5.909780539848035,0.6147063401522816,0.6868697685462126,0.3985469794185639
RB,2.2 structured + matchup,6166,4.196672116344276,5.937306142964191,0.6091181603235036,0.6822131929801184,-0.16426677805602719
RB,2.2 full direct,6166,4.218759362462933,5.813596471153575,0.629198232532651,0.6961571681880184,0.005638389946263683
RB,2.2 honest stack,6166,4.168010287174353,5.807241244838289,0.6294059262810611,0.6941642918854513,-0.021095829560034012
WR,2.0/role prior,9815,3.963225905314078,5.499504279608883,0.5586760484253921,0.6136001680079893,0.032279340240427425
WR,2.2 neutral direct,9815,3.953064266539685,5.413716268951661,0.5742949062920337,0.63676479341659,0.16593404380951257
WR,2.2 structured neutral,9815,3.9936373916566823,5.481209308029179,0.5606696113593299,0.6217765050849128,0.20564067133280275
WR,2.2 structured + matchup,9815,3.950479687009244,5.511931318116135,0.5541588422658401,0.6164266994646087,-0.03037572412676229
WR,2.2 full direct,9815,3.958743800929974,5.414610904391387,0.5738468335087342,0.6333358548595672,0.11397578115108968
WR,2.2 honest stack,9815,3.9221635395977974,5.421618284521069,0.5721766574767351,0.6328640557120561,0.06520186985284866
TE,2.0/role prior,4905,3.101151806259173,4.394643878272891,0.5027017422038567,0.5411434985504012,-0.006910721881184307
TE,2.2 neutral direct,4905,3.0888968165474275,4.303980492729278,0.525336108440203,0.5670774319900899,0.13513996673896025
TE,2.2 structured neutral,4905,3.064268476557263,4.3629837996620715,0.5071824317412863,0.5495048249757751,-0.05648934707638058
TE,2.2 structured + matchup,4905,3.058402547623722,4.362684893925301,0.507994027263462,0.5420858667955738,-0.21543327810854038
TE,2.2 full direct,4905,3.0424138499770006,4.3025830598320205,0.5251059484665007,0.5655944099303492,-0.03310937752994183
TE,2.2 honest stack,4905,3.0343466031066018,4.298244139251541,0.5268389304485745,0.5625477929568357,-0.06857158205428468
