target_year,position,prior_oof_n,w_prior,w_neutral,w_structured_matchup,w_direct
2022,QB,0,1,0,0,0
2022,RB,0,1,0,0,0
2022,WR,0,1,0,0,0
2022,TE,0,1,0,0,0
2023,QB,633,0.25,0,0.5,0.25
2023,RB,1581,0.25,0,0.5,0.25
2023,WR,2387,0.25,0.25,0.25,0.25
2023,TE,1207,0.25,0,0.5,0.25
2024,QB,1296,0.25,0,0.5,0.25
2024,RB,3055,0.25,0,0.5,0.25
2024,WR,4863,0.25,0,0.5,0.25
2024,TE,2395,0.25,0,0.5,0.25
2025,QB,1960,0.25,0,0.25,0.5
2025,RB,4591,0.25,0,0.5,0.25
2025,WR,7304,0.25,0.25,0.5,0
2025,TE,3618,0.25,0,0.5,0.25
