w_prior,w_neutral,w_structured_matchup,w_direct,MAE,RMSE,correlation,rank_correlation,bias,position
0.25,0,0.25,0.5,6.05111981177024,7.555514417525378,0.556952732126022,0.5335107277492135,0.047540266181815026,QB
0.25,0.25,0.25,0.25,6.053781393634229,7.545840330746469,0.5585978075857986,0.5350855755574134,0.034796286412402296,QB
0,0,0.5,0.5,6.055585754412206,7.615408930191033,0.5465644062062899,0.5198955831209675,0.04938979840242098,QB
0,0.25,0.25,0.5,6.055939928902925,7.586008300631392,0.5514486383448467,0.5233053864611157,0.08583284019177027,QB
0,0.25,0.5,0.25,6.0562392689100655,7.60118585712436,0.5488894449964488,0.52266423516868,0.03664581863300825,QB
0.25,0,0.5,0.25,6.058118402224386,7.580463173240192,0.5523386320734744,0.5306594972700294,-0.001646755376946988,QB
0,0,0.25,0.75,6.065666578050454,7.616823849811416,0.5463155241199599,0.5174834859639131,0.09857681996118299,QB
0.25,0.25,0.5,0,6.0732197327140165,7.587449307037151,0.5511324018703204,0.5296996736135003,-0.014390735146359726,QB
0,0.5,0.25,0.25,6.077451923569977,7.5987970734087,0.549279874360727,0.5217237257373031,0.07308886042235758,QB
0,0.5,0.5,0,6.087051960157747,7.6304834933616945,0.5442162153079906,0.5181183788152426,0.023901838863595544,QB
0.25,0.25,0,0.5,6.08751453436289,7.579832637868874,0.5528799028022684,0.5290128957525151,0.08398330797116436,QB
0.25,0.5,0.25,0,6.088777362814021,7.57999295040635,0.5524963351715882,0.5292159928211314,0.022052306642989565,QB
0.25,0,0,0.75,6.092349809238555,7.606050980419323,0.5482909575896717,0.523994926476363,0.09672728774057703,QB
0.5,0,0.25,0.25,6.094178483012025,7.577401868921923,0.5533515655682542,0.5364916443884424,-0.003496287597552946,QB
0,0,0.75,0.25,6.094969014602111,7.688740989247293,0.5354183082992376,0.5121730683434198,2.0277684365891852e-4,QB
0,0.25,0,0.75,6.104752269624945,7.645969830614699,0.5415170327778811,0.5120358948402141,0.13501986175053235,QB
0,0.25,0.75,0,6.1087171805096006,7.691057673855213,0.5351864277706985,0.5121531026939787,-0.012541202925753779,QB
0.5,0.25,0.25,0,6.108967421111248,7.589026226883217,0.5511883765755822,0.5339119631887567,-0.016240267366965655,QB
0.25,0.5,0,0.25,6.110527353241279,7.597262188898743,0.5497032926198273,0.5265032618265039,0.07123932820175165,QB
0,0.5,0,0.5,6.113380993654445,7.642185079801767,0.5421331250678587,0.5144404501460166,0.12227588198111963,QB
0.5,0,0,0.5,6.116168148068084,7.601582486167324,0.5493027246667299,0.5314594633914502,0.04569073396120909,QB
0.25,0,0.75,0,6.117417773493842,7.680161647972549,0.5362792786221408,0.5183207563250293,-0.05083377693570908,QB
0.5,0,0.5,0,6.12218864714642,7.6284873391123815,0.5442482367591992,0.5298579620628819,-0.05268330915631497,QB
0.5,0.25,0,0.25,6.122468548265158,7.596597883320137,0.5501238859430482,0.5318633288736663,0.03294675419179636,QB
0,0,0,1,6.127641763535493,7.692944504856346,0.5338594899728041,0.5031976961002373,0.147763841519945,QB
0,0.75,0.25,0,6.12793531318588,7.654971628676668,0.5401835608270942,0.5125480993543537,0.060344880652944896,QB
0,0.75,0,0.25,6.15377991681289,7.681654091705976,0.5357611044313156,0.5084490405109707,0.1095319022117069,QB
0.5,0.5,0,0,6.158522554497838,7.635130722857732,0.5431636014670109,0.5246546969497821,0.020202774422383656,QB
0.25,0.75,0,0,6.1623771350147,7.658041614084026,0.5392819121886471,0.5160862329649866,0.058495348432338924,QB
0,0,1,0,6.186929998575946,7.834721439601433,0.5155352324141703,0.49626749281284355,-0.048984244715103105,QB
0.75,0,0,0.25,6.19245192626815,7.679682902737818,0.5354588838711271,0.5261654964005126,-0.005345819818158871,QB
0.75,0,0.25,0,6.192987779800618,7.68177508575842,0.5351175279788472,0.5269977258446827,-0.05453284137692089,QB
0.75,0.25,0,0,6.211398851224235,7.695723773561229,0.5326553280631937,0.522576343657546,-0.018089799587571585,QB
0,1,0,0,6.2201992923864955,7.763717216817305,0.5232222072748993,0.4951450779538416,0.09678792244229421,QB
1,0,0,0,6.3172924952292195,7.837884350673405,0.5086929511906023,0.5083477557466858,-0.05638237359752686,QB
0.25,0,0.5,0.25,4.137241523628277,5.786338945777475,0.633200762694587,0.7031004366652982,-0.08864620573828912,RB
0.25,0,0.25,0.5,4.148332550792221,5.758118818447264,0.6385146005657677,0.70652321681948,-0.046169913737716395,RB
0.5,0,0.25,0.25,4.148349575745467,5.7814566859849865,0.6340698100907918,0.7029665923194562,-0.05550192542112376,RB
0.5,0,0.5,0,4.148415456495874,5.82636217663458,0.6263627219215815,0.6979092874984159,-0.09797821742169646,RB
0.25,0,0.75,0,4.152394122816789,5.854376136443387,0.6219118155268243,0.6947452869039998,-0.1311224977388618,RB
0.25,0.25,0.5,0,4.153986485580771,5.800919746687614,0.6307591650438029,0.701750003082919,-0.06558462634645905,RB
0,0,0.5,0.5,4.156833599940877,5.795888466439024,0.6316985836789064,0.699343212076603,-0.07931419405488176,RB
0.25,0.25,0.25,0.25,4.15844473444516,5.7636643097562406,0.6378049499271973,0.7064818014919222,-0.02310833434588635,RB
0,0,0.75,0.25,4.162026614971105,5.847123731682496,0.6229826994147775,0.6928648255787254,-0.12179048605545445,RB
0.5,0.25,0.25,0,4.164668222159657,5.797353562684844,0.6314258572815136,0.7016548770902821,-0.03244034602929371,RB
0,0.25,0.5,0.25,4.166871045907513,5.800094969639484,0.631095750887559,0.6996696886888837,-0.056252614663051696,RB
0.5,0,0,0.5,4.174006757710339,5.776694737823258,0.6352735156871209,0.7021398391721785,-0.013025633420551037,RB
0,0,0.25,0.75,4.176165426048293,5.784635319591817,0.6340307974920991,0.7009007232636587,-0.03683790205430904,RB
0,0.25,0.75,0,4.1788631870784325,5.860263819908514,0.6206917243007039,0.6920636354917719,-0.0987289066636244,RB
0.25,0.5,0.25,0,4.179867752241158,5.788344573623772,0.6335801096715342,0.704030708047347,-4.675495405628511e-5,RB
0,0.25,0.25,0.5,4.1806196010316,5.779768746084718,0.6352322758876693,0.7024171213818229,-0.013776322662478975,RB
