position,cohort,n,model23_MAE,model232_MAE,model23_RMSE,model232_RMSE,model23_correlation,model232_correlation,model23_rank_correlation,model232_rank_correlation
QB,All,2624,6.081912763841297,6.061696759924365,7.596404340713128,7.612579574567496,0.5496683908757005,0.5478495918832471,0.5327554629368143,0.5290460248456603
QB,Relevant,1728,6.139443487139665,6.170583408589591,7.71889794851611,7.754306142021316,0.31659363276704333,0.30850252128716377,0.3019898307963817,0.29016910977767435
QB,Starter,864,6.592884794254318,6.58378113254249,8.272558041615682,8.290267495880443,0.2320837392919718,0.23097686031137593,0.22926677969388706,0.23258931973587474
RB,All,6166,4.180560245051397,4.146267468224547,5.799371579252324,5.820836712329024,0.6307982814521234,0.6274340837016302,0.6953908872621554,0.6941119951075866
RB,Relevant,4320,4.9523327084552,4.960633598996322,6.554367976154668,6.582965538745238,0.534792177711466,0.5299881018351397,0.5839431242151502,0.5808821125530472
RB,Starter,1728,6.039170936927346,6.097719496963559,7.74193782210512,7.794988270850087,0.27057989964042883,0.2548679748294179,0.27680932474514985,0.26500235452892357
WR,All,9815,3.918635168745684,3.902500132195562,5.409057947041024,5.4341042650431035,0.574702900360504,0.5700368122807858,0.6336527334091879,0.6316660347308011
WR,Relevant,5760,4.902335737413967,4.919990719709638,6.369780404784952,6.404657308655511,0.4363406183721377,0.4283570210025429,0.46453465972566416,0.4603103700600478
WR,Starter,2592,5.831148689306902,5.872913066198334,7.393588989398906,7.447560712181727,0.2388686870443412,0.22217770779402438,0.23245356721271812,0.22472637128344336
TE,All,4905,3.0332823933310054,3.0228955877076835,4.310310414895011,4.291456777549768,0.5229281491466214,0.5289449703134398,0.5623980974411392,0.5675657921613566
TE,Relevant,2592,3.8938844829732187,3.893027816057297,5.219189303752139,5.192288606658941,0.3921948146980519,0.4022025865383288,0.4242251037994873,0.43554591819038196
TE,Starter,864,4.882015193078255,4.855054135383765,6.4337824380248705,6.374244707568917,0.200905517230561,0.2236203803995553,0.18208989857736846,0.21303335087167766
