position,confidence,n,expected_abs_error,q33_risk,q67_risk
QB,High,875,5.774060225635582,2.7143474555566915,4.1013563512251014
QB,Low,875,6.382462858778202,2.7143474555566915,4.1013563512251014
QB,Medium,874,6.02852928967903,2.7143474555566915,4.1013563512251014
RB,High,2056,2.630221149362645,1.3534280717950917,2.8117825713077442
RB,Low,2055,5.657710763890928,1.3534280717950917,2.8117825713077442
RB,Medium,2055,4.151608226855037,1.3534280717950917,2.8117825713077442
WR,High,3272,2.6677338849445835,1.2069592495379082,2.4803671636576032
WR,Low,3272,5.21066096210389,1.2069592495379082,2.4803671636576032
WR,Medium,3271,3.829083111573475,1.2069592495379082,2.4803671636576032
TE,High,1635,2.0221219145803113,0.9510498323215774,1.9974099542076136
TE,Low,1635,4.125637639554982,0.9510498323215774,1.9974099542076136
TE,Medium,1635,2.9209272089877576,0.9510498323215774,1.9974099542076136
