target_year,position,base_column,signal_enabled,signal_lambda,signal_inner_gain,pid_enabled,kp,ki,kd,pid_inner_gain
2022,QB,honest_final_fppg,FALSE,NA,0,FALSE,0,0,0,0
2022,RB,honest_final_fppg,FALSE,NA,0,FALSE,0,0,0,0
2022,WR,honest_final_fppg,FALSE,NA,0,FALSE,0,0,0,0
2022,TE,honest_final_fppg,FALSE,NA,0,FALSE,0,0,0,0
2023,QB,legacy21_honest_fppg,FALSE,NA,0,FALSE,0,0,0,0
2023,RB,legacy21_honest_fppg,FALSE,NA,0,FALSE,0,0,0,0
2023,WR,legacy21_honest_fppg,FALSE,NA,0,FALSE,0,0,0,0
2023,TE,legacy21_honest_fppg,FALSE,NA,0,FALSE,0,0,0,0
2024,QB,honest22_fppg,FALSE,NA,0,TRUE,0.05,0,0,0.0013311486633484286
2024,RB,honest22_fppg,TRUE,100,0.009970628254028025,TRUE,0,0.08,0,0.0015103510742912965
2024,WR,honest22_fppg,TRUE,10,0.0057767236068016325,TRUE,0,0.12,0,0.003742781633417415
2024,TE,honest22_fppg,FALSE,NA,0,FALSE,0,0,0,0
2025,QB,meta_precal_fppg,TRUE,10,0.008161631661390579,TRUE,0.05,0.05,0,0.002339443957451904
2025,RB,honest22_fppg,TRUE,500,0.0015974936086104521,TRUE,0.05,0.12,0,0.004293353711004451
2025,WR,meta_precal_fppg,FALSE,NA,0,TRUE,0,0.12,0,0.0014269574410983809
2025,TE,honest22_fppg,TRUE,250,0.016870850059127925,FALSE,0,0,0,0
