position,cohort,n,MAE,baseline_MAE,legacy21_MAE,model22_MAE,RMSE,correlation,rank_correlation,MAE_improvement_vs_prior_pct
QB,All,2624,6.081912763841297,6.3172924952292195,6.11548786982015,6.086455761173259,7.596404340713128,0.5496683908757005,0.5327554629368143,3.7259590491603802
QB,Relevant,1728,6.139443487139665,6.268744531895567,6.176867829435382,6.141509223490313,7.71889794851611,0.31659363276704333,0.3019898307963817,2.062630628796791
QB,Starter,864,6.592884794254318,6.685997469532166,6.602569278747159,6.580384865042448,8.272558041615682,0.2320837392919718,0.22926677969388706,1.3926519670723538
RB,All,6166,4.180560245051397,4.256036238611762,4.202623972078298,4.168010287174353,5.799371579252324,0.6307982814521234,0.6953908872621554,1.7733870044533344
RB,Relevant,4320,4.9523327084552,5.089036209758322,4.975515427015572,4.94969353539545,6.554367976154668,0.534792177711466,0.5839431242151502,2.686235579165085
RB,Starter,1728,6.039170936927346,6.169917765665046,6.054140655268505,6.053024648014712,7.74193782210512,0.27057989964042883,0.27680932474514985,2.1191016428985914
WR,All,9815,3.918635168745684,3.963225905314078,3.922110446383197,3.9221635395977974,5.409057947041024,0.574702900360504,0.6336527334091879,1.1251121594811035
WR,Relevant,5760,4.902335737413967,5.005607164458756,4.9157747586677045,4.910937349199914,6.369780404784952,0.4363406183721377,0.46453465972566416,2.0631148959919567
WR,Starter,2592,5.831148689306902,5.9595812535353625,5.849206861162183,5.863628389872606,7.393588989398906,0.2388686870443412,0.23245356721271812,2.155060209176128
TE,All,4905,3.0332823933310054,3.101151806259173,3.05693667770053,3.0343466031066018,4.310310414895011,0.5229281491466214,0.5623980974411392,2.1885227543902945
TE,Relevant,2592,3.8938844829732187,4.034542602204601,3.926255253975181,3.9062763570673766,5.219189303752139,0.39219481469805195,0.4242251037994873,3.486346114043318
TE,Starter,864,4.882015193078255,5.1080348136386124,4.9461505516719955,4.8688073143735195,6.4337824380248705,0.200905517230561,0.18208989857736846,4.42478622026769
