position,confidence,n,expected_abs_error,q33_disagreement,q67_disagreement
QB,High,866,5.980945793679473,1.3225637137389437,1.9781249355199941
QB,Low,866,6.257317254074934,1.3225637137389437,1.9781249355199941
QB,Medium,892,6.009644947269335,1.3225637137389437,1.9781249355199941
RB,High,2035,3.0109528980360203,0.6170673441862244,1.1394914432908378
RB,Low,2035,5.339770194966193,0.6170673441862244,1.1394914432908378
RB,Medium,2096,4.1906550461485725,0.6170673441862244,1.1394914432908378
TE,High,1619,2.059672970611988,0.4265101098055379,0.8252308198450724
TE,Low,1619,4.098783132641926,0.4265101098055379,0.8252308198450724
TE,Medium,1667,2.9440370174688026,0.4265101098055379,0.8252308198450724
WR,High,3239,2.953609688195244,0.502974089377787,0.9449505475723119
WR,Low,3239,4.973519690779636,0.502974089377787,0.9449505475723119
WR,Medium,3337,3.83141508023352,0.502974089377787,0.9449505475723119
