position,projection_tier_23,n,MAE,correlation
QB,Fringe,896,5.970960654623017,0.42932077192498935
QB,Relevant,864,5.686002180025011,0.2693708156907189
QB,Starter,864,6.592884794254318,0.2320837392919718
RB,Fringe,1846,2.374462172513787,0.27831278755119226
RB,Relevant,2592,4.227773889473769,0.4045234376958655
RB,Starter,1728,6.039170936927346,0.27057989964042883
TE,Fringe,2313,2.068872269529614,0.288061541875687
TE,Relevant,1728,3.399819127920701,0.32197443078363525
TE,Starter,864,4.882015193078255,0.200905517230561
WR,Fringe,4055,2.5213194411182345,0.3295976512063881
WR,Relevant,3168,4.142397867683384,0.2997487912238324
WR,Starter,2592,5.831148689306902,0.2388686870443412
