season,position,component,n,MAE,RMSE,correlation
2022,QB,pass_attempts,633,8.418439069593948,10.801652827236419,0.5526819470282576
2022,QB,carries,633,1.9745737160714925,2.6089496263755105,0.6012260066666966
2022,RB,carries,1581,3.73618292535928,4.860964255863562,0.7211866264710859
2022,RB,targets,1581,1.415600525415279,1.9082126617172424,0.5509965941255384
2022,WR,targets,2387,1.9903436422848335,2.594964506323037,0.6931678837465339
2022,WR,carries,2387,0.29842341635614433,0.5817645223854188,0.3810257674714657
2022,TE,targets,1207,1.5625903394469098,2.113866957314266,0.6218192386615994
2023,QB,pass_attempts,663,7.917428057707063,10.122248598878329,0.6285429417708978
2023,QB,carries,663,1.8469343246483407,2.4982013011579824,0.5738978578732445
2023,RB,carries,1474,3.6290377214218323,4.865141355692752,0.7113511677651554
2023,RB,targets,1474,1.370446074000907,1.8407165812602093,0.5488186259132368
2023,WR,targets,2476,1.88842319707564,2.5048141411148865,0.7169534591502764
2023,WR,carries,2476,0.2718834442173426,0.499502541987182,0.408576887262628
2023,TE,targets,1188,1.5163116738124611,2.0847498350111606,0.6619176546313267
2024,QB,pass_attempts,664,8.048926569952659,10.391525638431448,0.6131414258037241
2024,QB,carries,664,1.9446266730245372,2.591227348830996,0.5240738478664478
2024,RB,carries,1536,3.591225637965579,4.736655329722072,0.7486553033575418
2024,RB,targets,1536,1.323722851488157,1.706880265546819,0.5576112713033253
2024,WR,targets,2441,1.9578281202656593,2.6025403395184328,0.6916001642631447
2024,WR,carries,2441,0.2533829960764882,0.4871167821529804,0.4303424573382244
2024,TE,targets,1223,1.5776255662448622,2.2175892143664377,0.6536068110603049
2025,QB,pass_attempts,664,7.973299199498189,10.361507580717266,0.6226570911823869
2025,QB,carries,664,1.7730042071929841,2.2971521909875237,0.5252801598883473
2025,RB,carries,1575,3.323488233787608,4.4507403390632545,0.7686451983599286
2025,RB,targets,1575,1.2634779097295523,1.6944516350829095,0.6155867740220956
2025,WR,targets,2511,1.8674323021113934,2.4432057703849606,0.7070750616649022
2025,WR,carries,2511,0.2382281291317218,0.4323653595106085,0.3420579506298897
2025,TE,targets,1287,1.483115506206062,1.9912122098479068,0.6807400121075785
