target_year,position,phase,prior_oof_n,weekly_model_weight,prior_weight
2022,QB,W1-3,0,0,1
2022,QB,W4-7,0,0,1
2022,QB,W8-12,0,0,1
2022,QB,W13-18,0,0,1
2022,RB,W1-3,0,0,1
2022,RB,W4-7,0,0,1
2022,RB,W8-12,0,0,1
2022,RB,W13-18,0,0,1
2022,WR,W1-3,0,0,1
2022,WR,W4-7,0,0,1
2022,WR,W8-12,0,0,1
2022,WR,W13-18,0,0,1
2022,TE,W1-3,0,0,1
2022,TE,W4-7,0,0,1
2022,TE,W8-12,0,0,1
2022,TE,W13-18,0,0,1
2023,QB,W1-3,633,0.75,0.25
2023,QB,W4-7,633,0.5,0.5
2023,QB,W8-12,633,0.25,0.75
2023,QB,W13-18,633,0.25,0.75
2023,RB,W1-3,1581,0.25,0.75
2023,RB,W4-7,1581,0.5,0.5
2023,RB,W8-12,1581,0.5,0.5
2023,RB,W13-18,1581,0.5,0.5
2023,WR,W1-3,2387,0.5,0.5
2023,WR,W4-7,2387,0.5,0.5
2023,WR,W8-12,2387,0.5,0.5
2023,WR,W13-18,2387,0.5,0.5
2023,TE,W1-3,1207,0.75,0.25
2023,TE,W4-7,1207,0.5,0.5
2023,TE,W8-12,1207,0.75,0.25
2023,TE,W13-18,1207,0.75,0.25
2024,QB,W1-3,1296,0.75,0.25
2024,QB,W4-7,1296,0.75,0.25
2024,QB,W8-12,1296,0.5,0.5
2024,QB,W13-18,1296,0.5,0.5
2024,RB,W1-3,3055,0.5,0.5
2024,RB,W4-7,3055,0.5,0.5
2024,RB,W8-12,3055,0.5,0.5
2024,RB,W13-18,3055,0.5,0.5
2024,WR,W1-3,4863,0.5,0.5
2024,WR,W4-7,4863,0.5,0.5
2024,WR,W8-12,4863,0.5,0.5
2024,WR,W13-18,4863,0.5,0.5
2024,TE,W1-3,2395,0.5,0.5
2024,TE,W4-7,2395,0.5,0.5
2024,TE,W8-12,2395,0.75,0.25
2024,TE,W13-18,2395,0.75,0.25
2025,QB,W1-3,1960,0.75,0.25
2025,QB,W4-7,1960,0.75,0.25
2025,QB,W8-12,1960,0.5,0.5
2025,QB,W13-18,1960,0.5,0.5
2025,RB,W1-3,4591,0.5,0.5
2025,RB,W4-7,4591,0.5,0.5
2025,RB,W8-12,4591,0.5,0.5
2025,RB,W13-18,4591,0.5,0.5
2025,WR,W1-3,7304,0.75,0.25
2025,WR,W4-7,7304,0.5,0.5
2025,WR,W8-12,7304,0.5,0.5
2025,WR,W13-18,7304,0.5,0.5
2025,TE,W1-3,3618,0.75,0.25
2025,TE,W4-7,3618,0.5,0.5
2025,TE,W8-12,3618,0.75,0.25
2025,TE,W13-18,3618,0.5,0.5
