target_year,position,positive_slope,negative_slope,overall_slope,n,n_positive,n_negative
2022,QB,0,0,0,0,0,0
2022,RB,0,0,0,0,0,0
2022,WR,0,0,0,0,0,0
2022,TE,0,0,0,0,0,0
2023,QB,0.1918688084335759,0.2938907808949605,0.25917851425347604,633,206,333
2023,RB,0,0.6119922741383089,0.39079094157986133,1581,295,942
2023,WR,0,0.5298806708013702,0.312017628560672,2387,468,963
2023,TE,0.15986359585924836,0.5944447520711402,0.4947123021367584,1207,169,479
2024,QB,0.20187884728349645,0.41291812768126535,0.34257290172810884,1296,414,658
2024,RB,0,0.6519873942515166,0.4704832727016068,3055,525,1847
2024,WR,0,0.5722783460729223,0.3393494842475054,4863,929,1739
2024,TE,0.35081045257297977,0.46691501066449315,0.44434593392443544,2395,370,883
2025,QB,0.2108379611901532,0.5067827964539471,0.4112059670790742,1960,622,997
2025,RB,0,0.6280063420164064,0.43695309334528015,4591,759,2869
2025,WR,0,0.5946503518512682,0.34154121577204916,7304,1248,2364
2025,TE,0.3564332294849932,0.4488041321731251,0.4302773007120507,3618,575,1139
