target_year,position,prior_oof_n,enabled,lambda,validation_gain
2022,QB,0,FALSE,NA,0
2022,RB,0,FALSE,NA,0
2022,WR,0,FALSE,NA,0
2022,TE,0,FALSE,NA,0
2023,QB,633,FALSE,NA,0
2023,RB,1581,FALSE,NA,0
2023,WR,2387,FALSE,NA,0
2023,TE,1207,FALSE,NA,0
2024,QB,1296,FALSE,250,-0.053456956460896876
2024,RB,3055,TRUE,5,0.054983215670878494
2024,WR,4863,TRUE,250,0.011846974654200704
2024,TE,2395,FALSE,10,0.0069260702714575295
2025,QB,1960,FALSE,250,-0.019571143527680412
2025,RB,4591,TRUE,250,0.05367035287097277
2025,WR,7304,FALSE,250,-0.013853175062306544
2025,TE,3618,FALSE,50,0.004623022187566939
