position,phase,w_legacy21,w_prior,w_neutral,w_structured_calibrated,w_direct,selection_MAE,selection_starter_MAE
QB,ALL,0.5,0,0,0.25,0.25,6.031382929968384,6.530718985880927
QB,W1-3,0.25,0,0,0,0.75,6.107534459660364,6.623460507991104
QB,W4-7,0.25,0,0,0.25,0.5,5.82610775910063,5.937388989191054
QB,W8-12,0.25,0,0,0.5,0.25,5.778687853205011,6.510680789721594
QB,W13-18,0.5,0,0,0.5,0,6.247787095222797,6.905400157545218
RB,ALL,0.25,0.25,0,0.25,0.25,4.162127174105932,5.987941584553843
RB,W1-3,0.5,0,0,0.25,0.25,4.015314313888695,5.414190277143694
RB,W4-7,0.25,0.25,0,0.25,0.25,4.423576235030672,6.24448724420481
RB,W8-12,0,0.25,0,0.25,0.5,4.119739008721578,6.02964901327416
RB,W13-18,0,0.25,0,0.5,0.25,4.10026629984569,6.018213787294902
WR,ALL,0,0.25,0.25,0.25,0.25,3.897541260535542,5.766287979704021
WR,W1-3,0,0.25,0.5,0,0.25,4.0489604838421815,5.794496140826009
WR,W4-7,0.5,0,0,0.25,0.25,3.839223148626077,5.6320605088433275
WR,W8-12,0,0.25,0.25,0.5,0,3.7786011969115765,5.388946023292679
WR,W13-18,0,0.25,0,0.25,0.5,3.9185654735932007,6.108509179594813
TE,ALL,0,0.25,0,0.25,0.5,3.007376326525999,4.726041554000997
TE,W1-3,0,0,0.25,0,0.75,2.799249860135087,3.8266699413519922
TE,W4-7,0,0,0.25,0.5,0.25,3.1116423769911608,5.067084821497183
TE,W8-12,0.25,0,0,0.5,0.25,3.0706881802906634,4.986591516871707
TE,W13-18,0,0.25,0,0.25,0.5,2.983557000467696,4.639733288898407
