position,phase,w_legacy21_version,w_22_version,w_23_version,selection_MAE,selection_starter_MAE
QB,ALL,0.25,0.25,0.5,6.070456536270288,6.571591394839029
QB,W1-3,0.5,0.25,0.25,6.197705293138767,6.628817369261209
QB,W4-7,0,0.25,0.75,5.897366405190416,5.971938454006384
QB,W8-12,0.25,0.25,0.5,5.8290798475026095,6.464987533659105
QB,W13-18,0,0.5,0.5,6.2788692178219,7.039635883305196
RB,ALL,0,0.5,0.5,4.160694442457096,6.024612461370759
RB,W1-3,0.25,0.75,0,3.9880879073876536,5.413581811083346
RB,W4-7,0.25,0.25,0.5,4.441448991194541,6.245275819229471
RB,W8-12,0,0,1,4.107517568784621,6.040534259965959
RB,W13-18,0,0.5,0.5,4.105201266915123,6.098589730768719
WR,ALL,0.25,0.25,0.5,3.914130933583254,5.8234000567700415
WR,W1-3,0.25,0,0.75,4.105866656675797,5.793953809861446
WR,W4-7,0.25,0.25,0.5,3.8414686368432087,5.643880874737788
WR,W8-12,0,0.25,0.75,3.8079852235761225,5.471028064072958
WR,W13-18,0.5,0.5,0,3.936296815022981,6.24223051934215
TE,ALL,0,0.5,0.5,3.028911500703642,4.8634865586672325
TE,W1-3,0,0,1,2.815994784543847,4.07621771640592
TE,W4-7,0,1,0,3.122745681101696,5.1746612846339906
TE,W8-12,0.25,0,0.75,3.087946211840413,5.09744774757226
TE,W13-18,0.25,0.5,0.25,3.0209686398638134,4.821984957480119
