position,method,n,MAE,RMSE,correlation,rank_correlation,bias
QB,2.0/role prior,2624,6.3172924952292195,7.837884350673405,0.5086929511906023,0.5083477557466858,-0.05638237359752686
QB,2.1 reconstructed chronological,2624,6.11548786982015,7.6113450194775725,0.5471665854073651,0.5337244311104454,0.02958676151933342
QB,2.2 raw chronological stack,2624,6.086455761173259,7.597597266812038,0.5495064794159725,0.5300006218315946,-0.010404453798936349
QB,2.3 calibrated structured,2624,6.1611942900795285,7.737254559523608,0.5276565263467314,0.5063314273809404,0.19305372477594587
QB,2.3 meta before residual,2624,6.0752844074927586,7.584618975046536,0.5516369949965255,0.534196701259215,0.06007677949748421
QB,2.3 meta + guarded residual,2624,6.0752844074927586,7.584618975046536,0.5516369949965255,0.534196701259215,0.06007677949748421
QB,2.3 final version guardrail,2624,6.081912763841297,7.596404340713128,0.5496683908757005,0.5327554629368143,0.04368818621901093
RB,2.0/role prior,6166,4.256036238611762,5.936668292071481,0.6082798437923872,0.6751484800624841,-0.031689656787365766
RB,2.1 reconstructed chronological,6166,4.202623972078298,5.822968898818222,0.6270042861173623,0.6938411511762325,0.013307890758367035
RB,2.2 raw chronological stack,6166,4.168010287174353,5.807241244838289,0.6294059262810611,0.6941642918854513,-0.021095829560034012
RB,2.3 calibrated structured,6166,4.2276450704503095,5.886717962037743,0.6160901147547221,0.6856295721970376,0.005590656224842642
RB,2.3 meta before residual,6166,4.195745315402082,5.803041997640919,0.6303878700780104,0.6955776532869696,0.023920055205914337
RB,2.3 meta + guarded residual,6166,4.171227819030209,5.787061593069342,0.6328617747874407,0.6961596899600319,-0.006307353346228686
RB,2.3 final version guardrail,6166,4.180560245051397,5.799371579252324,0.6307982814521234,0.6953908872621554,0.025011124979900535
WR,2.0/role prior,9815,3.963225905314078,5.499504279608883,0.5586760484253921,0.6136001680079893,0.032279340240427425
WR,2.1 reconstructed chronological,9815,3.922110446383197,5.415073919644157,0.5734570041932737,0.6343317018795299,0.06434284392373847
WR,2.2 raw chronological stack,9815,3.9221635395977974,5.421618284521069,0.5721766574767351,0.6328640557120561,0.06520186985284866
WR,2.3 calibrated structured,9815,3.9384876190251443,5.463910128917313,0.5629551452293963,0.623840155495313,0.007729009043823172
WR,2.3 meta before residual,9815,3.9163530742689714,5.406793163174384,0.5751205145868123,0.6335731282294199,0.049427204773224945
WR,2.3 meta + guarded residual,9815,3.9197983723155416,5.4111747658937,0.5741457567979589,0.6313585199336822,0.038371669819075735
WR,2.3 final version guardrail,9815,3.918635168745684,5.409057947041024,0.574702900360504,0.6336527334091879,0.05806539225118856
TE,2.0/role prior,4905,3.101151806259173,4.394643878272891,0.5027017422038567,0.5411434985504012,-0.006910721881184307
TE,2.1 reconstructed chronological,4905,3.05693667770053,4.316850414633489,0.5207569295733515,0.5620965795051683,-0.04033706816688127
TE,2.2 raw chronological stack,4905,3.0343466031066018,4.298244139251541,0.5268389304485745,0.5625477929568357,-0.06857158205428468
TE,2.3 calibrated structured,4905,3.047561567632522,4.346801882065752,0.5120188652684522,0.5507447147771167,-0.1369041828961579
TE,2.3 meta before residual,4905,3.0310930178202806,4.309105119393575,0.5232873293137721,0.5634487578479804,-0.09211568820619645
TE,2.3 meta + guarded residual,4905,3.0310930178202806,4.309105119393575,0.5232873293137721,0.5634487578479804,-0.09211568820619645
TE,2.3 final version guardrail,4905,3.0332823933310054,4.310310414895011,0.5229281491466214,0.5623980974411392,-0.0890726918102549
