position,cohort,n,locked_MAE,model24_MAE,locked_RMSE,model24_RMSE,locked_correlation,model24_correlation,locked_rank_correlation,model24_rank_correlation
QB,All,2624,6.081912763841297,6.041765757604815,7.596404340713128,7.592396309327311,0.5496683908757005,0.5513839984430847,0.5327554629368143,0.5304552043282648
QB,Relevant,1728,6.139443487139665,6.183414332265973,7.71889794851611,7.7488406912763,0.31659363276704333,0.31066557809865647,0.3019898307963817,0.2948463136330616
QB,Starter,864,6.592884794254318,6.643133845436161,8.272558041615682,8.318189625271572,0.2320837392919718,0.22061533537472627,0.22926677969388706,0.22093275857769618
RB,All,6166,4.180560245051397,4.161900013580322,5.799371579252324,5.792746853482055,0.6307982814521234,0.6318356698094519,0.6953908872621554,0.6953325929325125
RB,Relevant,4320,4.9523327084552,4.943331215972203,6.554367976154668,6.546265917723552,0.534792177711466,0.5371172986083365,0.5839431242151502,0.5849524267628029
RB,Starter,1728,6.039170936927346,6.064772933391532,7.74193782210512,7.736850128051116,0.27057989964042883,0.2768532802285591,0.27680932474514985,0.2798169045071468
WR,All,9815,3.918635168745684,3.9135150832994445,5.409057947041024,5.412528229604622,0.574702900360504,0.5744973998029647,0.6336527334091879,0.6335787755963307
WR,Relevant,5760,4.902335737413967,4.908544304113425,6.369780404784952,6.375420210646536,0.4363406183721377,0.43601510105707947,0.46453465972566416,0.4649346647099136
WR,Starter,2592,5.831148689306902,5.840540599404029,7.393588989398906,7.395986819339646,0.2388686870443412,0.24063236749493994,0.23245356721271812,0.23544951292390595
TE,All,4905,3.0332823933310054,3.016467807191945,4.310310414895011,4.282400173582694,0.5229281491466214,0.5320008751197419,0.5623980974411392,0.5679639696183184
TE,Relevant,2592,3.8938844829732187,3.8775535374416594,5.219189303752139,5.179928341292967,0.3921948146980519,0.40763533348301606,0.4242251037994873,0.43483133576012506
TE,Starter,864,4.882015193078255,4.818262037182616,6.4337824380248705,6.352791765906347,0.200905517230561,0.23895633873886524,0.18208989857736846,0.22835041897107985
