position,confidence,n,expected_abs_error,q33_risk,q67_risk
QB,High,875,5.9476187270136025,4.250190308581039,5.725881766628114
QB,Low,875,6.3240641397933866,4.250190308581039,5.725881766628114
QB,Medium,874,5.853399129861464,4.250190308581039,5.725881766628114
RB,High,2056,2.6378715248566054,1.9844199578309953,3.311280437321962
RB,Low,2055,5.5348207951961195,1.9844199578309953,3.311280437321962
RB,Medium,2055,4.313749340390783,1.9844199578309953,3.311280437321962
WR,High,3272,2.6127585468302446,1.956060146719763,3.1837417935425942
WR,Low,3272,5.364619679929574,1.956060146719763,3.1837417935425942
WR,Medium,3271,3.763121059194717,1.956060146719763,3.1837417935425942
TE,High,1635,1.9902699491608618,1.494213797946834,2.6294459371918837
TE,Low,1635,4.217192999645614,1.494213797946834,2.6294459371918837
TE,Medium,1635,2.8419404727693593,1.494213797946834,2.6294459371918837
