position,feature,delta_MAE_if_permuted,delta_RMSE_if_permuted,delta_correlation_if_permuted,delta_rank_correlation_if_permuted,target_year
QB,roll3_pass_attempt_share,0.502354287682962,0.43796221193114643,0.07657552391201967,0.05801047549103263,2024
QB,projected_opportunities_232,0.2877687775193847,0.21015901630473177,0.03448269629438653,0.026837575084856142,2024
QB,expected_fppg_232,0.15902525874229725,0.35286425203452093,0.02010023331987132,0.019503702601920154,2024
QB,season_to_date_fppg,0.09646628495233767,0.044448584777938414,0.007446765942766646,0.009750576418847209,2024
QB,roll5_carries,0.07238424352078532,0.056567740973703685,0.009503463168459994,0.010155227704233568,2024
QB,prior_game_fppg,0.05778799746177802,0.03355002484944839,0.005790061935999846,0.0072208611922321975,2024
QB,roll3_ngs_time_to_throw,0.05227124604840908,0.02034432645789182,0.0037394500405220446,0.001643082701636378,2024
QB,tw_draft_capital_log_24,0.04783806627297663,0.03358720208246938,0.005611301070383175,0.0062299169798809935,2024
QB,is_home,0.035193395086541734,0.041295902112520246,0.006173529637659121,0.004691147752189262,2024
QB,roll3_ngs_aggressiveness,0.03451143817095185,0.009379919762759906,0.0018728205769380502,0.002444761631714587,2024
QB,opportunity_per_snap,0.025577382536893307,0.01931025394267157,0.0031359697926426344,0.0030080105709821745,2024
QB,tw_combine_athleticism_z_24,0.016633012384197343,0.019818411126050428,0.0032666649690716496,0.0028549945143930464,2024
QB,opp_pos_residual_roll8,0.009072569266188898,0.02979369550634055,0.004765157455619266,0.001687331409205776,2024
QB,season_to_date_rush_ypc,0.008108627790169187,0.0028623767779866562,6.165423910707476e-4,4.0567825526553286e-4,2024
QB,direct_gap_vs_base_232,0.0019060723463617535,0.0036657236665712154,4.963305970441256e-4,1.0011345023005121e-4,2024
QB,projected_touch_opportunities_232,0.0018324694223019005,0.0011301143268944713,2.5740563809217853e-4,1.9376737135856636e-4,2024
QB,opp_pos_fppg_allowed_roll4,0.0010880774380144231,0.002751757562141558,3.9365557460942685e-4,4.745057964823755e-4,2024
QB,rb_rush_matchup,-6.625596242209042e-4,-0.034439285813573285,-0.004862476723003661,-0.004106842644799584,2024
