target_year,position,prior_oof_n,locked_method,locked_column
2022,QB,0,2.3,honest_final_fppg
2022,RB,0,2.3,honest_final_fppg
2022,WR,0,2.3,honest_final_fppg
2022,TE,0,2.3,honest_final_fppg
2023,QB,633,2.3,honest_final_fppg
2023,RB,1581,2.3,honest_final_fppg
2023,WR,2387,2.3,honest_final_fppg
2023,TE,1207,2.3,honest_final_fppg
2024,QB,1296,2.3,honest_final_fppg
2024,RB,3055,2.3,honest_final_fppg
2024,WR,4863,2.3,honest_final_fppg
2024,TE,2395,2.3,honest_final_fppg
2025,QB,1960,2.3,honest_final_fppg
2025,RB,4591,2.3,honest_final_fppg
2025,WR,7304,2.3,honest_final_fppg
2025,TE,3618,2.3,honest_final_fppg
