target_year,position,locked_method,signal_enabled,lambda,inner_utility,n_signal_features,signal_features,n_response_features
2022,QB,2.3,FALSE,NA,0,0,,0
2022,RB,2.3,FALSE,NA,0,0,,0
2022,WR,2.3,FALSE,NA,0,0,,0
2022,TE,2.3,FALSE,NA,0,0,,0
2023,QB,2.3,FALSE,NA,0,0,,7
2023,RB,2.3,FALSE,NA,0,0,,7
2023,WR,2.3,FALSE,NA,0,0,,7
2023,TE,2.3,FALSE,NA,0,0,,7
2024,QB,2.3,TRUE,5,0.02201975022713919,24,projected_opportunities_232;roll3_pass_attempt_share;roll3_ngs_time_to_throw;roll5_pass_attempts;direct_gap_vs_base_232;roll3_ngs_air_yards;xfp_gap_vs_base_232;expected_fppg_232;season_to_date_fppg;roll5_carries;roll3_ngs_aggressiveness;opp_pos_residual_roll8;roll3_carry_share;season_to_date_rush_ypc;tw_draft_capital_log_24;is_home;tw_combine_athleticism_z_24;season_to_date_pass_ypa;matchup_role_interaction;prior_game_fppg;opportunity_per_snap;projected_touch_opportunities_232;opp_pos_fppg_allowed_roll4;rb_rush_matchup,7
2024,RB,2.3,TRUE,500,0.008764589157241702,24,roll3_carry_share;roll3_offense_pct;projected_opportunities_232;direct_gap_vs_base_232;roll3_ngs_time_to_los;season_to_date_fppg;xfp_gap_vs_base_232;season_carries_prior;roll3_ngs_box_rate;roll5_targets;talent_prior_fppg_24;favorite_rush_interaction;tw_draft_capital_log_24;roll3_target_share;season_targets_prior;season_to_date_rush_ypc;roll3_rush_ypc;roll3_rush_td_rate;season_to_date_catch_rate;opportunity_per_snap;role_fppg_trend;roll3_catch_rate;tw_college_missing_24;prior_rush_td_rate,7
2024,WR,2.3,TRUE,500,0.006018931256643915,24,direct_gap_vs_base_232;projected_opportunities_232;roll5_targets;xfp_gap_vs_base_232;roll5_offense_pct;roll3_ngs_air_yard_share;roll3_ngs_cushion;roll3_ngs_separation;role_fppg_trend;roll3_rec_td_rate;talent_prior_fppg_24;tw_draft_capital_log_24;rb_receiving_matchup;season_to_date_rec_td_rate;matchup_role_interaction;season_to_date_catch_rate;tw_early_declare_heuristic_24;prior_yards_per_target;implied_team_total;prior_catch_rate;opp_pos_residual_roll8;tw_age_at_draft_24;opp_pos_residual_roll4;tw_combine_height_in_24,7
2024,TE,2.3,TRUE,500,0.012387660257232808,24,direct_gap_vs_base_232;roll5_targets;roll3_offense_snaps;tw_draft_capital_log_24;season_targets_prior;xfp_gap_vs_base_232;role_fppg_trend;roll3_ngs_cushion;tw_college_missing_24;roll3_rec_td_rate;projected_td_points_232;season_to_date_rec_td_rate;tw_combine_missing_24;wr_volume_matchup;favorite_rush_interaction;implied_team_total;tw_draft_overall_24;team_skill_questionable_count;roll3_target_share;is_home;def_pass_epa_allowed_roll4;team_spread_line;prior_rec_td_rate;prior_yards_per_target,7
2025,QB,2.3,TRUE,500,0.011880532399556231,24,roll3_pass_attempt_share;projected_opportunities_232;roll3_pass_attempts;roll3_ngs_time_to_throw;tw_draft_capital_log_24;roll3_ngs_air_yards;direct_gap_vs_base_232;season_to_date_fppg;roll5_carries;roll3_ngs_aggressiveness;roll3_carry_share;expected_fppg_232;season_to_date_rush_ypc;prior_game_fppg;season_to_date_pass_ypa;opportunity_per_snap;talent_prior_fppg_24;tw_draft_round_24;season_carries_prior;is_home;roll3_rush_ypc;favorite_rush_interaction;legacy_gap_vs_base_232;projected_touch_opportunities_232,7
2025,RB,2.3,TRUE,500,0.00739405681183166,24,projected_opportunities_232;season_to_date_fppg;roll3_offense_pct;roll3_carry_share;direct_gap_vs_base_232;roll3_ngs_time_to_los;talent_prior_fppg_24;season_carries_prior;tw_draft_capital_log_24;favorite_rush_interaction;xfp_gap_vs_base_232;roll5_targets;season_to_date_rush_ypc;season_targets_prior;roll3_target_share;model22_gap_vs_base_232;roll3_rush_ypc;prior_game_fppg;season_to_date_catch_rate;roll3_catch_rate;role_fppg_trend;response_avg_box_24;opportunity_per_snap;underdog_target_interaction,7
2025,WR,2.3,TRUE,500,0.005951999290278224,24,projected_opportunities_232;roll5_targets;roll3_offense_pct;direct_gap_vs_base_232;roll3_ngs_air_yard_share;roll3_ngs_cushion;roll3_ngs_separation;talent_prior_fppg_24;roll3_rec_td_rate;tw_draft_capital_log_24;tw_early_declare_heuristic_24;season_to_date_catch_rate;roll3_catch_rate;season_to_date_rec_td_rate;projection_spread_232;prior_yards_per_target;matchup_role_interaction;weekly_age;legacy_gap_vs_base_232;is_home;prior_catch_rate;season_to_date_fppg;practice_risk;opp_pos_residual_roll8,7
2025,TE,2.3,TRUE,500,0.01616265828794813,24,roll5_targets;roll3_offense_snaps;season_targets_prior;direct_gap_vs_base_232;tw_draft_capital_log_24;roll3_ngs_cushion;tw_college_missing_24;legacy_gap_vs_base_232;roll3_target_share;role_fppg_trend;model22_gap_vs_base_232;xfp_gap_vs_base_232;projected_opportunities_232;matchup_abs_232;projected_td_points_232;roll3_rec_td_rate;preseason_prior_fppg;wr_volume_matchup;season_to_date_rec_td_rate;favorite_rush_interaction;roll3_carry_share;roll3_team_carries;roll5_fppg;expected_team_plays,7
