position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,target_year
QB,projected_opportunities_232,1296,1,0.5226268007272084,0.4910828924442062,0.19179416062208365,0.09639983973817842,1,0.0968607345269879,0.3033696452209929,2024
QB,roll3_pass_attempt_share,1296,1,0.42032398816464933,0.3671115891366503,0.1665591135934221,0.1188377799425502,1,0.11663498085250246,0.29812227350701914,2024
QB,roll3_offense_pct,1296,1,0.41324625114571834,0.3589768716441384,0.16138441470104486,0.11561577091572472,1,0.11355828143494488,0.2945728730968374,2024
QB,roll5_offense_pct,1296,1,0.4122424600669264,0.3629348499771381,0.1605941011707795,0.11509269313505321,1,0.11314917656902426,0.29423649263429735,2024
QB,roll3_ngs_time_to_throw,1296,1,0.37963734950139155,0.2850247727125492,0.15709520758218137,0.12050235535228772,1,0.11797064481825856,0.29114823127645206,2024
QB,roll3_offense_snaps,1296,1,0.4151912215572012,0.37464776921544424,0.15238130072047643,0.10564170297699257,1,0.10378389166216023,0.28816917463710756,2024
QB,roll5_pass_attempts,1296,1,0.4023971086997225,0.3571937310197659,0.1328241683396412,0.0893434480021734,1,0.08790691987669072,0.2739678329460769,2024
QB,direct_gap_vs_base_232,1296,1,-0.061050883749495154,-0.027268423387127802,0.14512938364766742,0.14864287109295518,1,0.14512410090518194,0.27362467031250104,2024
QB,roll3_pass_attempts,1296,1,0.40364964545703547,0.3634179520377807,0.13057842621251764,0.0867493345218472,1,0.08514174028529749,0.27243184510339286,2024
QB,roll3_ngs_air_yards,1296,1,0.34627537119966956,0.26831470642307165,0.12342123441187,0.09282739042958353,1,0.09009700328577264,0.26665898640851676,2024
QB,xfp_gap_vs_base_232,1296,1,-0.04066401851331395,-0.03160077734972152,0.13650187548316228,0.14082553388883284,1,0.11537284532192137,0.26441829357658536,2024
QB,expected_fppg_232,1296,1,0.5326090148343827,0.5150768770898883,0.13650187548316228,0.03691467838607184,1,0.037218073143586695,0.26181600081646306,2024
QB,season_to_date_fppg,1296,1,0.5238356652417187,0.5099123257164694,0.12951036671806834,0.03756700759960028,1,0.0370681488540121,0.2598038716983702,2024
QB,roll5_carries,1296,1,0.33220552937311765,0.3243456527728433,0.1090294493284349,0.0807227351885404,1,0.0809311947150344,0.2588893049762469,2024
QB,roll3_ngs_aggressiveness,1296,1,0.2674110171675446,0.23424577963555912,0.11107906620294568,0.09334824592870954,1,0.09299889650430176,0.2583580397206113,2024
QB,opp_pos_residual_roll8,1296,1,0.10909961610982045,0.11262384267467775,0.1073427960999318,0.10596772505204247,1,0.10618486244645058,0.24979127658206426,2024
QB,roll3_carry_share,1296,1,0.34393942430336266,0.3287878054799211,0.09583653814411021,0.0652625516697864,1,0.06520789449341016,0.2488029772197541,2024
QB,roll3_carries,1296,1,0.3210261666491354,0.31120211655611774,0.09241279760428847,0.06577227764471785,1,0.0655854203665371,0.2462233687815715,2024
QB,season_to_date_rush_ypc,1296,1,0.2771346435757139,0.2913702576797796,0.09134947798393228,0.07132959362470773,1,0.06949614222274707,0.24528781762285107,2024
QB,tw_draft_capital_log_24,1296,1,0.3393027819410933,0.31776018293600716,0.09128554473691103,0.0615607495535712,1,0.06118609201425013,0.24512551808995123,2024
QB,is_home,1296,1,0.08024957922850516,0.08159446587986098,0.10283552241273583,0.10313698633266778,1,0.10239207516355643,0.24425931009578275,2024
QB,tw_combine_athleticism_z_24,1296,1,0.19890349748853547,0.19058155415575784,0.09226917740267074,0.08189278061163155,1,0.08089480903381836,0.2423411398043971,2024
QB,season_to_date_pass_ypa,1296,1,0.27200680922870224,0.3305291674508014,0.08408306229565819,0.06453521811379029,1,0.0642256762754167,0.2415672081921326,2024
QB,matchup_role_interaction,1296,1,0.11417114945442668,0.11280149403631351,0.09341562887461322,0.0908317896500256,1,0.09117674411698135,0.23918079314584195,2024
