Feature,Gain,Cover,Frequency,position
roll3_fppg,0.3525584960395118,0.053705783642812824,0.04384133611691023,QB
roll5_fppg,0.12629238554586505,0.028392914696019896,0.027139874739039668,QB
implied_team_total,0.07247777424633438,0.0541152579518379,0.06819763395963814,QB
roll3_pass_attempt_share,0.0648104935093611,0.011922438976174935,0.019485038274182326,QB
preseason_prior_fppg,0.053939751771750775,0.07320815004911309,0.055671537926235214,QB
season_to_date_fppg,0.05116001859550922,0.0336171427899202,0.03409881697981907,QB
roll3_pass_attempts,0.047515176359977804,0.01651998171365873,0.020876826722338204,QB
roll3_offense_snaps,0.026943240171156374,0.0038472042334776906,0.009046624913013222,QB
prior_game_fppg,0.023182596937989693,0.03236461048385234,0.025748086290883786,QB
roll3_offense_pct,0.013507744685257344,0.005972779058394285,0.006958942240779402,QB
opp_pos_residual_roll8,0.012942327200384135,0.05296319225432229,0.05149617258176757,QB
qb_pressure_matchup,0.01069336421547363,0.008570948667737416,0.014613778705636743,QB
team_spread_line,0.007580525469933414,0.013937979208620733,0.017397355601948505,QB
roll5_offense_pct,0.007166271501052012,0.005563742468802261,0.008350730688935281,QB
def_pass_success_allowed_roll4,0.005666281067515436,0.03329010786271229,0.028531663187195546,QB
roll3_team_carries,0.0055339998402573224,0.030128188582170444,0.020876826722338204,QB
prior_yards_per_carry,0.005386165788605393,0.01793247492035676,0.019485038274182326,QB
season_to_date_pass_td_rate,0.004905653622781816,0.011691208316011574,0.013917884481558803,QB
roll3_ngs_time_to_throw,0.004716640215114233,0.010346066872567821,0.012526096033402923,QB
season_to_date_rush_ypc,0.004208705056824786,0.01211680121728956,0.016701461377870562,QB
roll3_ngs_aggressiveness,0.004011559834765758,0.017052501843818065,0.018789144050104383,QB
role_fppg_trend,0.00395991202754233,0.02768351295767123,0.018789144050104383,QB
roll3_team_pass_attempts,0.003919624271310736,0.024288510671277262,0.021572720946416143,QB
roll3_carry_share,0.00391731592521636,0.017575432141119306,0.013221990257480862,QB
def_middle_pass_rate_roll4,0.0038269451923193796,0.027457255708663423,0.021572720946416143,QB
def_qb_hit_rate_roll4,0.0037505637793857657,0.017204151259714414,0.020876826722338204,QB
roll5_pass_attempts,0.00331892715105546,0.010230335632010217,0.010438413361169102,QB
roll3_ngs_air_yards,0.0031168127078895908,0.015049062220673742,0.013917884481558803,QB
is_home,0.002949649241484347,0.024700935698104828,0.016701461377870562,QB
roll5_carries,0.002928495296186312,0.014021648056188933,0.010438413361169102,QB
roll3_ngs_cpoe,0.0027311045195015796,0.01572002908210413,0.013221990257480862,QB
def_rush_epa_allowed_roll8,0.0027014881119992694,0.01528597286447849,0.015309672929714684,QB
roll3_carries,0.0026071281662856105,0.016391782505358374,0.010438413361169102,QB
roll3_interception_rate,0.002485009496804152,0.012970758502279493,0.013221990257480862,QB
carry_trend,0.0023301617773417264,0.011652362382772919,0.009742519137091163,QB
expected_team_plays,0.0023197510126841845,0.008492944990970232,0.009742519137091163,QB
expected_team_pass_rate,0.0023090672867640463,0.01437416255012407,0.012526096033402923,QB
season_to_date_rush_td_rate,0.0021992334212482694,0.009200591407734585,0.011830201809324982,QB
def_pass_epa_allowed_roll8,0.002166316061149301,0.005156091990748228,0.006958942240779402,QB
def_explosive_pass_rate_roll4,0.0021357066051021774,0.008645902380671602,0.011134307585247043,QB
def_redzone_pass_td_rate_roll4,0.002123597955084908,0.015380632839604157,0.012526096033402923,QB
def_rush_success_allowed_roll4,0.0020809788665473515,0.011540672825711345,0.011830201809324982,QB
season_carries_prior,0.002016792743966989,0.009316318945082098,0.009742519137091163,QB
season_week,0.0018500184960098683,0.012600283439390944,0.008350730688935281,QB
def_deep_epa_allowed_roll4,0.0018413755699425085,0.009232674538700516,0.011134307585247043,QB
def_deep_pass_rate_roll4,0.0017152936576430402,0.011922793003059871,0.010438413361169102,QB
roll3_fppg_sd,0.001705843451404318,0.0033846147820817377,0.0055671537926235215,QB
roll3_pass_td_rate,0.0016533849381799167,0.0022481540415790757,0.003479471120389701,QB
season_to_date_pass_ypa,0.0015506855285961003,0.008640330530764942,0.008350730688935281,QB
def_sack_rate_roll4,0.0015093385279507476,0.0043078698672300774,0.007654836464857342,QB
def_rush_epa_allowed_roll4,0.001481124279355247,0.007853590952823902,0.008350730688935281,QB
def_redzone_rush_td_rate_roll4,0.0014549813315471302,0.006734411242222496,0.007654836464857342,QB
season_pass_attempts_prior,0.0013595021341461949,0.002985299489306125,0.006263048016701462,QB
opp_pos_residual_roll4,0.0013585516321949443,0.0036699734125765437,0.006958942240779402,QB
def_middle_epa_allowed_roll4,0.001231200284258455,0.004443224788394077,0.007654836464857342,QB
