position,cohort,n,base_MAE,candidate_MAE,base_RMSE,candidate_RMSE,MAE_improvement_pct,RMSE_improvement_pct
QB,All,2624,6.052362254020746,6.052362254020746,7.565682781883292,7.565682781883292,0,0
QB,Relevant,1728,6.136724223674676,6.136724223674676,7.702947570452053,7.702947570452053,0,0
QB,Starter,864,6.574059665552525,6.574059665552525,8.240918196217716,8.240918196217716,0,0
RB,All,6166,4.0667655276073225,4.075414031651695,5.770448753965815,5.767012296638391,-0.21266296238772317,0.05955268773614797
RB,Relevant,4320,4.852688258885198,4.857906919131412,6.52679613831972,6.52216400985707,-0.10754163399344965,0.07097093833610643
RB,Starter,1728,5.9772778194236595,5.980781532466159,7.7104340871082755,7.7055086682676475,-0.05861720248494178,0.06387991629243352
WR,All,9815,3.8141068062044683,3.815609202000824,5.389286380455422,5.389495276921783,-0.03939050143828199,-0.0038761433632276115
WR,Relevant,5760,4.8162065693583935,4.817035169902397,6.348855400607146,6.348761968157974,-0.017204422859994326,0.0014716424186194776
WR,Starter,2592,5.760094737061021,5.760342543158862,7.365283671543389,7.365093667622469,-0.0043021184399500804,0.002579723054708717
TE,All,4905,3.016467807191945,3.015415661985083,4.282400173582694,4.282105690967219,0.03488004096556726,0.006876578636707994
TE,Relevant,2592,3.8775535374416594,3.8780938932416906,5.179928341292967,5.180428846532206,-0.013935482639079625,-0.009662396972745959
TE,Starter,864,4.818262037182616,4.820130121714496,6.352791765906347,6.3532297823675234,-0.038770920250166985,-0.0068948657112778665
