cohort,n,base_MAE,candidate_MAE,base_RMSE,candidate_RMSE,season,position,MAE_improvement_pct,RMSE_improvement_pct
Starter,216,6.425061283773675,6.425061283773675,8.154896242891787,8.154896242891787,2022,QB,0,0
Starter,216,6.396838276128075,6.396838276128075,7.930475716764119,7.930475716764119,2023,QB,0,0
Starter,216,6.712266543720574,6.712266543720574,8.399368449830893,8.399368449830893,2024,QB,0,0
Starter,216,6.762072558587778,6.762072558587778,8.46798457039681,8.46798457039681,2025,QB,0,0
Starter,432,6.09560977950854,6.09560977950854,7.816270411711306,7.816270411711306,2022,RB,0,0
Starter,432,5.860253894468408,5.8618804029193265,7.444345275826205,7.442384032355479,2023,RB,-0.027754914380994575,0.026345412498458263
Starter,432,5.712083381153354,5.708389843629496,7.422512418080631,7.408565920542395,2024,RB,0.06466182787254435,0.18789456659262244
Starter,432,6.241164222564336,6.257246103807271,8.136161559070356,8.132001175228384,2025,RB,-0.2576743804431856,0.05113447922299514
Starter,648,5.768826614140961,5.768826614140961,7.267399543968136,7.267399543968136,2022,WR,0,0
Starter,648,5.877510101526705,5.87850132591807,7.655818285087957,7.655087086146235,2023,WR,-0.016864699068871603,0.009550892073105147
Starter,648,5.804798798033732,5.804798798033732,7.452769115247634,7.452769115247634,2024,WR,0,0
Starter,648,5.589243434542684,5.589243434542684,7.072425115762645,7.072425115762645,2025,WR,0,0
Starter,216,5.192018434849376,5.192018434849376,6.595226877685366,6.595226877685366,2022,TE,0,0
Starter,216,4.764373422396662,4.766374037790433,6.435723743584393,6.436878120380559,2023,TE,-0.041991154269450416,-0.0179370159776845
Starter,216,4.5095763323982645,4.514654485790033,6.034772271119285,6.03776606572133,2024,TE,-0.11260821455190038,-0.049609073342717074
Starter,216,4.8070799590861615,4.80747352842814,6.332283857165625,6.330014068001217,2025,TE,-0.008187285115464975,0.03584471599199045
