position,season,cohort,base_n,base_MAE,base_RMSE,base_correlation,base_rank_correlation,candidate_n,candidate_MAE,candidate_RMSE,candidate_correlation,candidate_rank_correlation,MAE_improvement_pct,RMSE_improvement_pct
QB,2022,All,633,5.82823715066528,7.337626480863592,0.5452940406583645,0.5402619179607727,633,5.795473683124109,7.279688889818636,0.5529272938863593,0.5424139384261489,0.5621505558920391,0.7895958072553334
QB,2022,Relevant,432,5.789050971921194,7.360680234122903,0.3728035315180917,0.361573734867644,432,5.7803967486989025,7.328437938856812,0.37265739881872917,0.3579327705773351,0.14949295254553974,0.43803417945831713
QB,2022,Starter,216,6.468961938019789,8.213039742402296,0.268203826132721,0.30209666135912255,216,6.425061283773675,8.154896242891787,0.2677062544121526,0.2993608502164106,0.6786352225710021,0.7079412901209454
QB,2023,All,663,6.012413342796173,7.4412296499693635,0.5527592014726705,0.5407447212504909,663,5.9877401416401135,7.413413214329463,0.5572555196312519,0.5432779516795329,0.4103710066045637,0.3738150406366666
QB,2023,Relevant,432,6.060313866847978,7.601637041246103,0.34315691961263634,0.32731853219432894,432,6.060577674034071,7.586515327065006,0.34713257006922676,0.32891094700987117,-0.004353028438603684,0.1989270745110221
QB,2023,Starter,216,6.414543712795516,7.961917203721055,0.20846261072056158,0.1771485966984371,216,6.396838276128075,7.930475716764119,0.2180659382105448,0.18872713481507086,0.2760202044008675,0.3948984415743707
QB,2024,All,664,6.0873507059714145,7.648270378548788,0.5718183552727992,0.5362737700762727,664,6.060586076534744,7.627137532427117,0.5757811033464064,0.5387436943069863,0.4396761535427211,0.2763088263843639
QB,2024,Relevant,432,6.310901278563041,7.957151823779527,0.2688773113118534,0.24032515409748234,432,6.318697473593509,7.9520341128828855,0.2697737280906337,0.2422144391363893,-0.12353536660364932,0.06431586338905036
QB,2024,Starter,216,6.711740971361408,8.41816888959446,0.2950948520513129,0.2945859389136294,216,6.712266543720574,8.399368449830893,0.30278926441799414,0.2946627442407051,-0.007830641280832117,0.22333170087387377
QB,2025,All,664,6.387701898960179,7.932767176896609,0.53397359298264635,0.5143932441060116,664,6.353558500612066,7.913961004801259,0.5366911219348621,0.5152828813447933,0.5345177168281914,0.23706950772638682
QB,2025,Relevant,432,6.397507831226444,7.94007416816081,0.2824660882054243,0.2737114804196444,432,6.387224998372225,7.927517967725554,0.28579413300065637,0.2749890134101158,0.16073185255090505,0.15813706735392374
QB,2025,Starter,216,6.776292554840558,8.486998962217221,0.1468105645106081,0.15353572760785822,216,6.762072558587778,8.46798457039681,0.1515819660509004,0.15326303982019213,0.20984920792155887,0.2240414062150845
RB,2022,All,1581,4.423672917268652,5.9714699595455425,0.5875983003797736,0.6406411729626511,1581,4.324724814989508,5.898927647262908,0.5970109605454177,0.6521594510592774,2.236786130658112,1.2148149915193673
RB,2022,Relevant,1080,5.219980534352114,6.738932871538495,0.4943936500595245,0.557164855181657,1080,5.105856262181682,6.653810664485569,0.5072683646315347,0.5722306411169948,2.186296891710479,1.2631407475868313
RB,2022,Starter,432,6.201491757245659,7.911503202907836,0.19960051803265316,0.23221963633171525,432,6.09560977950854,7.816270411711306,0.21058942295824387,0.24084214074331695,1.7073630326672486,1.2037256227302982
RB,2023,All,1474,4.124546428329878,5.69605525799199,0.6240849396482362,0.6946764364329436,1474,4.016641322418613,5.665968131992956,0.6324020580319741,0.7002894896726738,2.6161690209160393,0.5282098686950027
RB,2023,Relevant,1080,4.747915715924507,6.3266226831651755,0.5348705384462432,0.583836361791562,1080,4.65630418529956,6.298586814656317,0.5465080359079207,0.5940551323780955,1.9295104653539226,0.443141149913376
RB,2023,Starter,432,5.916942295525417,7.462847602943467,0.30461210771689473,0.2954513512081237,432,5.860253894468408,7.444345275826205,0.3223678991880196,0.31142938023883154,0.9580691888761333,0.24792583343071817
RB,2024,All,1536,4.044920953341397,5.643206789523632,0.6618385519021741,0.7093916374288477,1536,3.9292045267924403,5.631218192652554,0.6706415886215592,0.7164516609589614,2.8607833844902912,0.21244298354146365
RB,2024,Relevant,1080,4.781563458219199,6.3273426798168915,0.5768922753008384,0.6069428909431499,1080,4.693795253756536,6.320455100653354,0.5896308601635081,0.6175204699384084,1.8355545258276253,0.10885421435301114
RB,2024,Starter,432,5.720751556542952,7.4179262425893695,0.2849332415338014,0.2811756672943033,432,5.712083381153354,7.422512418080631,0.3114656557440527,0.30524049012353194,0.1515216192124982,-0.06182557417368425
RB,2025,All,1575,4.121223853393364,5.869704827942443,0.6531171356009318,0.7344550516526527,1575,3.9888881576699133,5.870222342137215,0.6562672486788756,0.7396342084539428,3.2110775932369395,-0.008816698793914267
RB,2025,Relevant,1080,5.059871125324978,6.8091351915858445,0.541987616747796,0.592074448338495,1080,4.954797334303015,6.819290756726946,0.5475302931600714,0.598633572216975,2.076610024632098,-0.14914618164213506
RB,2025,Starter,432,6.3174981383953535,8.150999812936512,0.3109818637885772,0.3039314709904138,432,6.241164222564336,8.136161559070356,0.3228177105475817,0.31715390108302366,1.2082934439994322,0.1820421323357888
WR,2022,All,2387,4.135879424902065,5.593394811858027,0.540125944094487,0.5831033483653808,2387,4.055365905467292,5.532032117015697,0.5502019818251621,0.5956196662623057,1.9467085754483493,1.0970563835801652
WR,2022,Relevant,1440,5.049161602278671,6.407711239111282,0.4150757097701724,0.4353156170424036,1440,4.9631838884827575,6.335245591625488,0.4285172035362298,0.44830597372185754,1.702811685748228,1.1309131261015553
WR,2022,Starter,648,5.869513284774886,7.364564455609379,0.23732412455500695,0.2515337130253919,648,5.768826614140961,7.267399543968136,0.25485578999840797,0.26870477106398405,1.7154177143631175,1.3193572033609657
WR,2023,All,2476,3.9152116612040193,5.440059690043512,0.5938286952086735,0.6447838639519052,2476,3.8299230027523046,5.441339809037455,0.5971938582076914,0.6481924485364664,2.178392021479791,-0.023531340957269026
WR,2023,Relevant,1440,4.859690152593169,6.419235885573509,0.4766137212994914,0.5026886321476172,1440,4.795251175452082,6.423833507025047,0.4822415645252221,0.5082997237975622,1.325989417385016,-0.07162256588623532
